explained_variance,policy_entropy,policy_loss,nupdates,fps,total_timesteps,value_loss,ep_reward_mean,ep_len_mean
-0.02507185935974121,4.2568159103393555,0.14427396655082703,1,51,0,6.6593170166015625,,
0.250217080116272,4.256172180175781,0.17037434875965118,100,115,8019,0.019317124038934708,3623.49742675,1001.0
0.11354959011077881,4.2142415046691895,-0.14156213402748108,200,113,16119,0.007499924395233393,6686.15094875,1001.0
-0.4180941581726074,4.180869102478027,-0.1565912514925003,300,113,24219,0.0049977852031588554,7841.83868335,1001.0
-0.08875608444213867,4.139369487762451,-0.003334578825160861,400,113,32319,0.015244921669363976,8441.52793067857,1001.0
0.0566830039024353,4.099560260772705,-0.24196211993694305,500,114,40419,0.02021363191306591,8839.199346166668,1001.0
0.15937358140945435,4.061046600341797,-0.043295882642269135,600,114,48519,0.009940391406416893,9169.099062090909,1001.0
0.020337939262390137,4.025819301605225,-0.14225246012210846,700,114,56619,0.009978882037103176,9406.838065846154,1001.0
-0.412227988243103,3.9874215126037598,0.03793457895517349,800,114,64719,0.014383435249328613,9632.116531566666,1001.0
0.16125309467315674,3.959716320037842,0.12438265979290009,900,114,72819,0.012438738718628883,9853.811460220588,1001.0
0.3863162398338318,3.9384846687316895,-0.07064584642648697,1000,114,80919,0.00812557153403759,10010.870275894737,1001.0
-0.0011121034622192383,3.9220070838928223,-0.24212709069252014,1100,114,89019,0.00773894926533103,10171.31376720238,1001.0
