nupdates,total_timesteps,value_loss,policy_entropy,fps,explained_variance,policy_loss,ep_reward_mean,ep_len_mean
1,0,2.9709885120391846,4.2568159103393555,46,-0.04837203025817871,0.1287156045436859,,
100,8019,0.01575474999845028,5.796327114105225,92,0.23051929473876953,-0.2067132443189621,3623.3567657500007,1001.0
200,16119,0.007559893187135458,5.814743995666504,91,0.9316711127758026,-0.11120903491973877,1347.2089403333334,1001.0
300,24219,0.014968852512538433,5.843092441558838,90,0.8680417090654373,0.049825895577669144,1019.89229305,1001.0
400,32319,0.006269502453505993,5.880505084991455,90,-0.09699928760528564,-0.1487208604812622,2424.464671714286,1001.0
500,40419,0.004206073936074972,5.788035869598389,90,0.40895897150039673,-0.006315317004919052,3497.8778626944445,1001.0
600,48519,0.0028048737440258265,5.764636516571045,89,0.5993685722351074,0.0845937728881836,4418.767240931818,1001.0
700,56619,0.0013581758830696344,5.720287799835205,89,0.6470180749893188,-0.28812646865844727,5217.117459230769,1001.0
800,64719,0.000846083858050406,5.658369541168213,89,-0.19947826862335205,0.13535618782043457,5897.409928766666,1001.0
900,72819,0.0009745234856382012,5.614536285400391,89,-0.0691068172454834,0.020665213465690613,6482.010925352942,1001.0
1000,80919,0.0007742860470898449,5.568296909332275,89,-0.2455519437789917,-0.12217801809310913,6979.321330052632,1001.0
1100,89019,0.000446332705905661,5.461674213409424,89,-0.11404180526733398,-0.16045989096164703,7408.97809320238,1001.0
1200,97119,0.0005505435983650386,5.404839038848877,89,0.6177412867546082,-0.05440675467252731,7788.882626456521,1001.0
1300,105219,0.00037172503652982414,5.367488861083984,89,-0.31364309787750244,-0.16079920530319214,8126.1775983200005,1001.0
1400,113319,0.0004741913580801338,5.276472568511963,89,-0.12909793853759766,-0.03241534158587456,8932.848156220001,1001.0
1500,121419,0.00044728658394888043,5.188559532165527,89,0.466283917427063,-0.2591496706008911,9911.01669886,1001.0
1600,129519,0.0006356580997817218,5.1225996017456055,89,0.6152430474758148,0.0031729601323604584,10649.254913359999,1001.0
1700,137619,0.0005774287274107337,5.049899578094482,89,0.25082463026046753,-0.19238848984241486,11068.05879936,1001.0
1800,145719,0.0005909617175348103,4.991966724395752,89,0.10097008943557739,-0.2344052493572235,11432.47187965,1001.0
1900,153819,0.00105319416616112,4.941491603851318,89,-0.21334540843963623,-0.15433341264724731,11686.692664789998,1001.0
2000,161919,0.0005865191342309117,4.88430118560791,88,0.10567080974578857,-0.10579802840948105,11871.73018897,1001.0
2100,170019,0.0002832622267305851,4.824110507965088,89,-0.0680694580078125,-0.03503669798374176,12009.82032249,1001.0
2200,178119,0.0005010077729821205,4.740245342254639,88,-0.34504222869873047,0.08647212386131287,12110.374287390001,1001.0
2300,186219,0.0004278580308891833,4.687127590179443,88,0.4519197344779968,-0.3200596868991852,12194.760133040003,1001.0
2400,194319,0.0004502710944507271,4.62957763671875,89,-0.00454866886138916,-0.3088756799697876,12259.884285880002,1001.0
2500,202419,0.0003994647413492203,4.580880641937256,89,0.03602713346481323,-0.27207517623901367,12300.268037329999,1001.0
2600,210519,0.0005970195634290576,4.521717548370361,89,-0.008836627006530762,-0.13922321796417236,12328.65580992,1001.0
2700,218619,0.0004977856879122555,4.529974460601807,89,0.07224047183990479,-0.2292705476284027,12348.567253859996,1001.0
2800,226719,0.0006357827223837376,4.4930338859558105,89,0.028663277626037598,0.008970391005277634,12369.213004169997,1001.0
2900,234819,0.00037941275513730943,4.474325656890869,89,-0.04970443248748779,-0.3057304620742798,12383.758992039997,1001.0
3000,242919,0.0005614864639937878,4.492496967315674,89,-0.5756688117980957,-0.041336506605148315,12399.01665,1001.0
3100,251019,0.0008598024141974747,4.481201648712158,89,-0.1000291109085083,-0.21096521615982056,12405.063124950004,1001.0
3200,259119,0.0005467245355248451,4.454898357391357,89,0.13481277227401733,-0.0009783804416656494,12410.11191916,1001.0
3300,267219,0.00030274628079496324,4.418033599853516,89,0.058493971824645996,-0.148915633559227,12413.28756926,1001.0
3400,275319,0.0005599440773949027,4.410904407501221,89,-0.011911988258361816,-0.10280564427375793,12416.606926900002,1001.0
3500,283419,0.0006395389209501445,4.371194362640381,89,-0.0844876766204834,-0.15405510365962982,12424.80406972,1001.0
3600,291519,0.0007112621096894145,4.362961292266846,89,0.274072527885437,0.12851692736148834,12427.108058290001,1001.0
3700,299619,0.0006436905823647976,4.3485107421875,89,-0.018244504928588867,0.01781017705798149,12433.70317779,1001.0
3800,307719,0.0008400111692026258,4.379441738128662,89,-0.003960251808166504,-0.18367964029312134,12442.46027281,1001.0
3900,315819,0.0005870264722034335,4.342566967010498,89,0.1129378080368042,-0.06820257008075714,12452.458264239998,1001.0
4000,323919,0.0009050143999047577,4.301069736480713,89,-0.08952701091766357,-0.06241796910762787,12453.095036790002,1001.0
4100,332019,0.0004401273909024894,4.299793720245361,89,0.2564770579338074,-0.021532338112592697,12457.147738149999,1001.0
4200,340119,0.0005052089691162109,4.305058479309082,89,0.08638721704483032,-0.06498619168996811,12464.592553970002,1001.0
4300,348219,0.00024876612587831914,4.277665615081787,89,-0.5804554224014282,-0.05786304175853729,12471.776184500002,1001.0
4400,356319,0.00039466036832891405,4.2584004402160645,89,-0.04748034477233887,-0.36367759108543396,12483.31922886,1001.0
4500,364419,0.00048370068543590605,4.232008457183838,89,0.17079401016235352,-0.06833173334598541,12487.73876187,1001.0
4600,372519,0.0003917213180102408,4.1865315437316895,89,-0.15993118286132812,-0.07082974910736084,12494.188366229997,1001.0
4700,380619,0.0006360633415170014,4.152917385101318,89,0.07427090406417847,-0.14524590969085693,12500.288674640002,1001.0
4800,388719,0.0006406981265172362,4.135623931884766,89,-0.3100624084472656,-0.0881752073764801,12507.79733114,1001.0
4900,396819,0.0006227128906175494,4.102736949920654,89,-0.6503658294677734,-0.12160488218069077,12509.192386259998,1001.0
5000,404919,0.0007001219200901687,4.076653480529785,89,0.12655752897262573,-0.04133797436952591,12505.94321235,1001.0
5100,413019,0.0004167906881775707,4.0532145500183105,89,0.62088742852211,0.06857101619243622,12502.837015239998,1001.0
5200,421119,0.0006215479806996882,4.080605506896973,89,0.3872433304786682,0.1624501645565033,12502.831321619999,1001.0
5300,429219,0.0002525956369936466,4.082221984863281,89,-0.19997155666351318,-0.008450578898191452,12509.729035970004,1001.0
5400,437319,0.00047891438589431345,4.077963352203369,88,0.5332296192646027,-0.037071697413921356,12507.80063668,1001.0
5500,445419,0.00045695388689637184,4.042496204376221,88,0.5066604912281036,-0.03715080767869949,12509.160910800005,1001.0
5600,453519,0.001487445435486734,4.055747032165527,88,-0.3581709861755371,-0.10176954418420792,12512.703601919999,1001.0
5700,461619,0.0002653771953191608,4.024636268615723,88,-0.24618637561798096,-0.055846087634563446,12515.19190898,1001.0
5800,469719,0.00046439896686933935,4.02340841293335,88,0.09256124496459961,-0.10344276577234268,12515.752927030002,1001.0
5900,477819,0.00050645339069888,3.985691547393799,88,-0.06603622436523438,-0.12909816205501556,12515.43465841,1001.0
6000,485919,0.0004824317875318229,3.976839542388916,88,0.09927868843078613,0.16711312532424927,12517.66841826,1001.0
6100,494019,0.0004227262979838997,3.9541358947753906,88,0.3495059609413147,-0.1772865355014801,12520.551614459997,1001.0
6200,502119,0.0004144609847571701,3.934175968170166,88,-0.1145251989364624,-0.2137954980134964,12525.05821826,1001.0
