policy_entropy,policy_loss,nupdates,explained_variance,value_loss,total_timesteps,fps,ep_len_mean,ep_reward_mean
9.932570457458496,0.094339519739151,1,-0.12027299404144287,8.052446365356445,0,70,,
11.209196090698242,0.12956224381923676,100,-0.808600902557373,18.367862701416016,8019,217,1000.0,488.30007337499995
11.218340873718262,-0.047238826751708984,200,-0.04749870300292969,14.43859577178955,16119,221,1000.0,754.263154125
11.18803596496582,-0.35841846466064453,300,0.22102832794189453,13.233322143554688,24219,223,1000.0,1466.1659167083333
11.123665809631348,-0.2329261153936386,400,0.026324868202209473,13.108647346496582,32319,224,1000.0,2949.0170664687503
11.081696510314941,0.3692665696144104,500,-0.13287091255187988,9.276697158813477,40419,225,1000.0,4332.9072040500005
10.981717109680176,-0.05018141120672226,600,-0.06253278255462646,8.194341659545898,48519,225,1000.0,5707.625583333333
10.960661888122559,-0.3591134548187256,700,0.07874786853790283,7.3738861083984375,56619,224,1000.0,6892.994873071429
10.900052070617676,-0.21657878160476685,800,-0.0007325410842895508,6.569231986999512,64719,225,1000.0,7895.466844015624
10.812577247619629,0.0048697590827941895,900,-0.0124053955078125,6.0541582107543945,72819,224,1000.0,8741.737955930555
10.761340141296387,-0.10831359028816223,1000,0.007382094860076904,6.029471397399902,80919,224,1000.0,9492.495133424998
10.769118309020996,-0.23493169248104095,1100,0.3916112184524536,6.194390296936035,89019,224,1000.0,10321.486590045453
10.7722806930542,-0.06459340453147888,1200,0.5793504118919373,6.421372413635254,97119,224,1000.0,11161.787876197915
10.777719497680664,-0.27266836166381836,1300,0.03341817855834961,4.591821193695068,105219,224,1000.0,11975.26428139
10.806365013122559,0.23257935047149658,1400,-0.08178305625915527,4.312574863433838,113319,223,1000.0,13433.995608010002
10.822442054748535,-0.17742598056793213,1500,-2.3014543056488037,4.968942165374756,121419,223,1000.0,14748.472982520003
10.817375183105469,-0.145102858543396,1600,-1.4505054950714111,12.566411972045898,129519,222,1000.0,16135.425300859999
10.786629676818848,0.3383394777774811,1700,-0.9103485345840454,12.30309772491455,137619,221,1000.0,17766.49860561
10.764203071594238,0.06694374978542328,1800,0.006493568420410156,13.011819839477539,145719,220,1000.0,19761.361023019996
10.709012985229492,-0.08412143588066101,1900,-0.023569107055664062,12.845270156860352,153819,219,1000.0,21916.183297159994
10.672576904296875,-0.14786264300346375,2000,0.07484191656112671,12.641382217407227,161919,219,1000.0,24259.95827923
10.620589256286621,0.046038247644901276,2100,0.03652077913284302,12.363531112670898,170019,219,1000.0,26916.46243458
10.502676010131836,-0.23900258541107178,2200,0.02159738540649414,11.957859992980957,178119,219,1000.0,29848.91713178
10.420500755310059,-0.039770618081092834,2300,0.011472761631011963,10.699786186218262,186219,219,1000.0,32871.8122123
10.349355697631836,0.247904971241951,2400,0.04798853397369385,10.443377494812012,194319,219,1000.0,35689.20793931001
10.27301025390625,-0.3527754545211792,2500,-0.07645177841186523,8.976776123046875,202419,219,1000.0,38812.514449480004
10.181260108947754,-0.26160091161727905,2600,0.03951507806777954,8.672860145568848,210519,220,1000.0,42143.19172359
10.130743980407715,-0.029654644429683685,2700,-0.052019596099853516,7.976466178894043,218619,220,1000.0,45556.05002648001
10.112032890319824,-0.34820491075515747,2800,0.054257094860076904,8.555805206298828,226719,220,1000.0,48988.52521466
10.08385944366455,-0.11856558918952942,2900,0.143546462059021,7.83916711807251,234819,221,1000.0,51757.515392299996
9.991812705993652,-0.047163866460323334,3000,-0.04311823844909668,7.666224002838135,242919,221,1000.0,54063.522253090014
9.89819622039795,-0.006891354918479919,3100,-0.0037506818771362305,6.659226894378662,251019,221,1000.0,56167.185487020004
9.833967208862305,-0.2215312421321869,3200,-0.2238931655883789,6.995319366455078,259119,221,1000.0,57904.97564859
9.741279602050781,-0.042323894798755646,3300,-0.12967419624328613,6.746272087097168,267219,221,1000.0,59315.58385832
9.693573951721191,0.23347730934619904,3400,-0.12140560150146484,6.61200475692749,275319,222,1000.0,60433.347408659996
9.59074592590332,0.03954080492258072,3500,0.014213740825653076,6.604228973388672,283419,222,1000.0,61597.73825034999
9.508667945861816,0.13776668906211853,3600,0.08692622184753418,7.011660575866699,291519,222,1000.0,62750.20679484999
9.440558433532715,0.41426920890808105,3700,0.011237084865570068,6.467245578765869,299619,222,1000.0,63924.032990889995
9.353754043579102,-0.35891273617744446,3800,-0.018560051918029785,6.820065975189209,307719,222,1000.0,65121.053104330014
9.26214599609375,-0.16650272905826569,3900,0.056694984436035156,6.936033725738525,315819,222,1000.0,66527.35650423
9.136435508728027,-0.009573951363563538,4000,0.015066027641296387,7.451786041259766,323919,223,1000.0,68128.16901887
8.983458518981934,-0.2983054518699646,4100,0.007329046726226807,7.2881317138671875,332019,223,1000.0,70028.66556021
8.909106254577637,-0.06791405379772186,4200,-0.006692647933959961,8.05591106414795,340119,223,1000.0,72455.81620766
8.75076961517334,-0.14479388296604156,4300,-0.001760244369506836,8.493602752685547,348219,223,1000.0,75255.84366359
8.673233985900879,0.0708601102232933,4400,-0.0009982585906982422,9.387720108032227,356319,223,1000.0,78559.80638869999
8.49753475189209,0.03171920031309128,4500,0.006124258041381836,10.110834121704102,364419,223,1000.0,82387.54620495
8.349844932556152,-0.16873885691165924,4600,0.0022845864295959473,10.187112808227539,372519,224,1000.0,86333.23420948001
8.205315589904785,-0.527788519859314,4700,-0.0009341239929199219,10.462695121765137,380619,224,1000.0,90604.4804122
8.098198890686035,-0.16235214471817017,4800,0.0018143057823181152,10.471575736999512,388719,224,1000.0,94805.82340308001
8.052245140075684,-0.39683470129966736,4900,-0.0032525062561035156,10.433882713317871,396819,224,1000.0,98943.16793185999
7.902764320373535,-0.24740010499954224,5000,-0.002544879913330078,9.74238395690918,404919,224,1000.0,102918.52534973998
7.835375785827637,-0.20935794711112976,5100,0.002313077449798584,9.291007995605469,413019,225,1000.0,106658.29106951001
7.760436058044434,0.26652318239212036,5200,-0.005907177925109863,9.117059707641602,421119,225,1000.0,110236.32885626
7.712328910827637,-0.012277767062187195,5300,-0.014397263526916504,8.797574996948242,429219,225,1000.0,113393.66886773001
7.696787357330322,-0.3705192506313324,5400,-0.010304808616638184,8.334399223327637,437319,225,1000.0,116119.92995638
7.602053642272949,-0.1565188467502594,5500,-0.011629223823547363,8.049230575561523,445419,225,1000.0,118468.81890052
7.559395790100098,-0.332509845495224,5600,-0.008383750915527344,7.758473873138428,453519,225,1000.0,120077.59501433001
7.523219108581543,-0.2984793186187744,5700,-0.009844779968261719,7.6590375900268555,461619,225,1000.0,121190.07141761998
7.515519142150879,-0.11139006912708282,5800,0.002436816692352295,7.505828857421875,469719,225,1000.0,122076.02404981
7.468483924865723,-0.3058164715766907,5900,-0.001148223876953125,7.297396659851074,477819,225,1000.0,122588.71369481999
7.396347999572754,0.06991927325725555,6000,-0.010132551193237305,7.122284889221191,485919,225,1000.0,122873.41122043999
7.398627281188965,-0.1523934304714203,6100,-0.0041849613189697266,7.009347438812256,494019,225,1000.0,123131.22249353
7.4621100425720215,0.22429101169109344,6200,0.0011745095252990723,6.908749580383301,502119,225,1000.0,123345.24117447999
