train/loss_actor,total/steps,reference_actor_Q_std,rollout/return,rollout/Q_mean,reference_action_mean,total/epochs,train/loss_critic,train/param_noise_distance,rollout/return_history,total/duration,reference_Q_mean,rollout/actions_std,total/steps_per_second,rollout/episodes,total/episodes,rollout/actions_mean,rollout/episode_steps,reference_action_std,reference_actor_Q_mean,reference_Q_std
-0.8682414889335632,9998,0.32024985551834106,17.1785465060203,0.5297988653182983,0.2465313822031021,1,0.0006979197496548295,0.0,17.1785465060203,120.50388312339783,0.7305312156677246,0.7719517350196838,82.96828069649752,9.0,9.0,0.029570333659648895,1001.0,0.13486486673355103,0.8484229445457458,0.3604593276977539
-1.4550678730010986,19998,0.3266003131866455,9.292265761887052,1.0124562978744507,0.18222308158874512,1,0.006945624481886625,0.0,9.292265761887052,245.00116515159607,1.2398377656936646,0.5652990937232971,81.62410161448051,19.0,19.0,0.08153791725635529,1001.0,0.5212881565093994,1.3444855213165283,0.29694297909736633
-1.662286400794983,29998,0.3977363109588623,13.226553110021317,1.2244205474853516,0.24790914356708527,1,0.00618935190141201,0.0,13.226553110021317,365.6950101852417,1.6000605821609497,0.5446211695671082,82.03010477174574,29.0,29.0,0.08881871402263641,1001.0,0.5043584704399109,1.6639641523361206,0.3853977918624878
-1.9388139247894287,39998,0.5369962453842163,9.854609021302249,1.4991295337677002,0.4681723117828369,1,0.005931712221354246,0.0,9.854609021302249,487.49555563926697,1.9321597814559937,0.5100446343421936,82.0479274883839,39.0,39.0,0.021408919245004654,1001.0,0.43026578426361084,2.0210213661193848,0.48464637994766235
-2.094106674194336,49998,0.5958382487297058,10.693161832718706,1.6158374547958374,0.3456871509552002,1,0.005795634817332029,0.0,10.693161832718706,609.2826058864594,2.253298759460449,0.5118131637573242,82.06044209526834,49.0,49.0,0.021569618955254555,1001.0,0.6107667684555054,2.313371419906616,0.5946666598320007
-2.5829126834869385,59998,0.4779406189918518,9.866575951808604,1.9599813222885132,-0.1779753416776657,1,0.005624988116323948,0.0,9.866575951808604,732.986486196518,2.579664468765259,0.5340549349784851,81.85416938766616,59.0,59.0,0.009140527807176113,1001.0,0.7876485586166382,2.6622068881988525,0.5584830641746521
-2.819370746612549,69998,0.49654215574264526,8.540493312837896,2.0793988704681396,0.20580178499221802,1,0.008020620793104172,0.0,8.540493312837896,854.4513168334961,2.5788075923919678,0.5992901921272278,81.92157776689372,69.0,69.0,-0.028727563098073006,1001.0,0.9002278447151184,2.6593680381774902,0.4246736764907837
-3.041624069213867,79998,0.5160657167434692,7.521881205824845,2.177841901779175,-0.06482938677072525,1,0.012336531654000282,0.0,7.521881205824845,979.4539182186127,2.567054033279419,0.6315177083015442,81.67612433007243,79.0,79.0,-0.07417658716440201,1001.0,0.8287142515182495,2.5699925422668457,0.5115751028060913
-3.0581939220428467,89998,0.5650941729545593,7.941614962883958,2.2750518321990967,0.15950988233089447,1,0.018653176724910736,0.0,7.941614962883958,1102.3778367042542,2.652954578399658,0.6465333104133606,81.63988516774278,89.0,89.0,-0.03286842629313469,1001.0,0.7311195731163025,2.659752607345581,0.5842612385749817
-3.150372266769409,99998,0.6632261276245117,8.199501642743337,2.386653184890747,0.10920049995183945,1,0.013510304503142834,0.0,8.199501642743337,1227.7395141124725,2.7920594215393066,0.6536574363708496,81.448873193829,99.0,99.0,-0.042053092271089554,1001.0,0.7977055907249451,2.783478260040283,0.6710999608039856
-3.0405471324920654,109998,0.6539692282676697,7.716313467356304,2.471463680267334,-0.056457553058862686,1,0.012216444127261639,0.0,6.864712493876546,1351.2908413410187,2.7999846935272217,0.6533364057540894,81.4021649779245,109.0,109.0,-0.06794300675392151,1001.0,0.8407189846038818,2.811309814453125,0.6461291313171387
-3.317373752593994,119998,0.5602885484695435,7.373291873137575,2.5390372276306152,-0.13418829441070557,1,0.011850838549435139,0.0,7.008686834275174,1479.073524236679,2.970801591873169,0.6477840542793274,81.13051720125179,119.0,119.0,-0.07757817208766937,1001.0,0.6764636635780334,3.065110683441162,0.6054956912994385
-3.435781955718994,129998,0.38648349046707153,7.040773232977951,2.6179230213165283,-0.16794200241565704,1,0.010078519582748413,0.0,5.246897068635374,1608.7907364368439,3.2637572288513184,0.6383962631225586,80.80479148451593,129.0,129.0,-0.09142748266458511,1001.0,0.6577655673027039,3.3810813426971436,0.3951043486595154
-3.3921499252319336,139998,0.35760748386383057,6.59013993594433,2.680900812149048,-0.26175081729888916,1,0.016423935070633888,0.0,5.316996992654741,1738.093001127243,3.38055419921875,0.6288271546363831,80.54689818623288,139.0,139.0,-0.10734541714191437,1001.0,0.5988927483558655,3.434068441390991,0.3639097213745117
-3.339595079421997,149998,0.33064648509025574,6.312826214064497,2.7212305068969727,0.18605440855026245,1,0.007085133343935013,0.0,4.1664617609239345,1867.2602317333221,3.3109583854675293,0.6255440711975098,80.33052782405231,149.0,149.0,-0.10878456383943558,1001.0,0.7714681029319763,3.359294891357422,0.33694127202033997
-3.354635238647461,159998,0.2731192111968994,6.25550164204994,2.7591235637664795,-0.04318733140826225,1,0.01240130327641964,0.0,4.124967799292328,1987.5326368808746,3.2409415245056152,0.6406244039535522,80.50081645506569,159.0,159.0,-0.09861151874065399,1001.0,0.8305649757385254,3.278550624847412,0.281598299741745
-3.2872304916381836,169998,0.2975982129573822,6.467312546559737,2.785074472427368,0.3086003363132477,1,0.012129063718020916,0.0,5.036817817827809,2108.799037218094,3.16171932220459,0.6456941962242126,80.61365592439743,169.0,169.0,-0.07983993738889694,1001.0,0.7212679982185364,3.1808481216430664,0.28834521770477295
