fps,total_timesteps,explained_variance,policy_entropy,nupdates,value_loss,policy_loss,ep_reward_mean,ep_len_mean
257,845859,-0.2789729833602905,11.04625415802002,6000,3.6259992122650146,-0.0633731484413147,113881.81972058002,1000.0
257,859959,-2.2654917240142822,11.067107200622559,6100,3.4677939414978027,-0.0903267189860344,116515.69026144,1000.0
257,874059,-0.014316201210021973,11.093706130981445,6200,3.859800100326538,0.08260384202003479,116628.9938487,1000.0
257,888159,-1.7524266242980957,11.09526538848877,6300,3.5428290367126465,-0.12208963185548782,116782.40157745004,1000.0
257,902259,0.025880873203277588,11.127394676208496,6400,4.027249336242676,-0.42591825127601624,117021.57213650999,1000.0
257,916359,-1.5406203269958496,11.110395431518555,6500,3.665287494659424,-0.06797602027654648,116910.92136010002,1000.0
257,930459,-0.06318771839141846,11.105452537536621,6600,3.8829545974731445,-0.14659979939460754,116884.25629943,1000.0
257,944559,-0.03431737422943115,11.144078254699707,6700,3.912476062774658,0.01498134434223175,116758.94462715999,1000.0
257,958659,0.0031991004943847656,11.153716087341309,6800,3.945887565612793,-0.11096230894327164,116859.27811196,1000.0
257,972759,-0.8204590082168579,11.170548439025879,6900,3.679509162902832,-0.2037440538406372,116962.28393583,1000.0
258,986859,-0.11985838413238525,11.177617073059082,7000,3.7858922481536865,0.012510046362876892,116754.39701434999,1000.0
258,1000959,-0.1468421220779419,11.183653831481934,7100,3.7570717334747314,-0.15516716241836548,117036.49809269002,1000.0
