fps,total_timesteps,explained_variance,policy_entropy,nupdates,value_loss,policy_loss,ep_reward_mean,ep_len_mean
118,0,-0.006076931953430176,9.932570457458496,1,14.552783012390137,-0.17412349581718445,,
292,13959,-2.4418060779571533,10.074910163879395,100,1.6864227056503296,0.05449775606393814,964.6317382857143,1000.0
292,28059,-1531623807.0,10.115171432495117,200,1.2265820503234863,0.06809356063604355,2247.372364607143,1000.0
286,42159,-39.8869743347168,10.185389518737793,300,4.124882221221924,0.045874595642089844,3301.9016734285715,1000.0
285,56259,-0.12364828586578369,10.221525192260742,400,5.167294502258301,0.1143382117152214,4692.497835625,1000.0
285,70359,-0.09021055698394775,10.244908332824707,500,5.561408996582031,-0.08236064016819,6686.742458900001,1000.0
284,84459,0.09400278329849243,10.224522590637207,600,4.603888988494873,-0.14299128949642181,8751.333440785715,1000.0
283,98559,0.04877740144729614,10.205241203308105,700,5.079946517944336,0.08761084824800491,10779.84034315306,1000.0
283,112659,-0.042885422706604004,10.256026268005371,800,3.0511040687561035,-0.17213226854801178,14050.085666399998,1000.0
283,126759,-4.387275695800781,10.264237403869629,900,4.759579181671143,-0.025408528745174408,18499.6156768,1000.0
283,140859,-15.540725708007812,10.279586791992188,1000,8.49011516571045,-0.06606100499629974,25939.820935829994,1000.0
282,154959,-20.93561553955078,10.294102668762207,1100,4.842313289642334,-0.34157299995422363,31110.884568360005,1000.0
281,169059,-23.76358985900879,10.303614616394043,1200,4.1905694007873535,0.017755359411239624,35401.948766479996,1000.0
281,183159,-27.865888595581055,10.323328971862793,1300,5.971346855163574,-0.24782207608222961,44026.617750820005,1000.0
280,197259,-41.64726638793945,10.341526985168457,1400,5.256021499633789,-0.11133087426424026,53120.91580286,1000.0
280,211359,-49.14679718017578,10.387740135192871,1500,1.3912965059280396,-0.2751271724700928,57814.31761912001,1000.0
279,225459,-39.537906646728516,10.400766372680664,1600,5.351552963256836,-0.04669123515486717,66150.62095391001,1000.0
278,239559,-0.00933694839477539,10.429708480834961,1700,7.297183990478516,0.04815467447042465,71885.4715797,1000.0
278,253659,0.03236573934555054,10.412932395935059,1800,6.433904647827148,-0.3005732595920563,80561.31001323,1000.0
277,267759,-0.0828632116317749,10.362485885620117,1900,5.9302802085876465,-0.0038425102829933167,89152.05952434002,1000.0
276,281859,-2.7426326274871826,10.310867309570312,2000,4.9368157386779785,-0.20963716506958008,94441.65946519001,1000.0
276,295959,-0.09376895427703857,10.294508934020996,2100,4.872346878051758,-0.024486713111400604,96881.16187593002,1000.0
275,310059,-0.0030809640884399414,10.282807350158691,2200,4.61953067779541,-0.14818163216114044,102418.41943525997,1000.0
274,324159,0.1722920536994934,10.271214485168457,2300,4.401644706726074,0.024897441267967224,106043.34195939003,1000.0
274,338259,-1.3306386470794678,10.259857177734375,2400,4.014048099517822,-0.19545120000839233,108787.52193944002,1000.0
273,352359,-1.9456171989440918,10.257123947143555,2500,3.610247850418091,-0.15844279527664185,109367.81313652,1000.0
272,366459,-1.6754333972930908,10.307363510131836,2600,3.8207945823669434,-0.38082680106163025,109993.16240499001,1000.0
271,380559,-0.5251872539520264,10.332948684692383,2700,3.5757479667663574,0.233484148979187,110964.60654277001,1000.0
