value_loss,policy_loss,policy_entropy,total_timesteps,nupdates,explained_variance,fps,ep_len_mean,ep_reward_mean
3.3515326976776123,-0.07098792493343353,9.932570457458496,0,1,-0.13414013385772705,113,,
4.614097595214844,-0.08080193400382996,9.950479507446289,13959,100,-0.26582014560699463,282,1000.0,432.0853344285714
7.0020670890808105,-0.42081597447395325,9.947892189025879,28059,200,0.04097551107406616,282,1000.0,881.0814686428572
11.171235084533691,-0.040554046630859375,9.879929542541504,42159,300,0.021801292896270752,282,1000.0,2888.679454452381
8.775930404663086,-0.09678387641906738,9.873560905456543,56259,400,0.056992948055267334,282,1000.0,4988.465485535714
7.474755764007568,-0.12308722734451294,9.89826488494873,70359,500,0.2269619107246399,282,1000.0,7033.2711985
6.677884101867676,0.022493451833724976,9.862318992614746,84459,600,-0.024710655212402344,282,1000.0,8853.073399428571
6.72690486907959,-0.11207115650177002,9.885249137878418,98559,700,0.35529881715774536,282,1000.0,10791.95613732653
5.881743431091309,-0.22445887327194214,9.909011840820312,112659,800,-1.113393783569336,282,1000.0,13738.56873691
13.272089004516602,0.07356949150562286,9.899994850158691,126759,900,-0.055274009704589844,282,1000.0,18078.44698986
12.507240295410156,-0.2544398307800293,9.779709815979004,140859,1000,0.011343002319335938,277,1000.0,24978.09274717
10.862844467163086,-0.015003800392150879,9.636465072631836,154959,1100,-0.03093242645263672,276,1000.0,32361.313152529998
9.42336368560791,-0.23856091499328613,9.512284278869629,169059,1200,0.031504154205322266,276,1000.0,40081.98135562
9.20557975769043,-0.017667464911937714,9.346651077270508,183159,1300,-0.034807443618774414,277,1000.0,49032.696006820006
8.687727928161621,-0.0499093271791935,9.195734977722168,197259,1400,0.006473064422607422,278,1000.0,58113.794059910004
7.5914716720581055,-0.051028888672590256,9.062484741210938,211359,1500,0.006359994411468506,279,1000.0,67566.14613835
7.270688056945801,-0.11472238600254059,8.913103103637695,225459,1600,-0.06590235233306885,279,1000.0,76830.10583249
6.813856601715088,-0.45375487208366394,8.750244140625,239559,1700,0.0006473660469055176,280,1000.0,83404.40173032
6.910735130310059,-0.1576443612575531,8.621031761169434,253659,1800,-0.09075665473937988,280,1000.0,89503.2988229
6.715672492980957,-0.017804600298404694,8.44473934173584,267759,1900,0.0008525252342224121,281,1000.0,95417.36740679001
6.706554412841797,-0.002157539129257202,8.347228050231934,281859,2000,0.05373191833496094,281,1000.0,100136.93974023
6.781379699707031,-0.20824910700321198,8.165314674377441,295959,2100,0.008210420608520508,281,1000.0,104408.32501369998
6.819819450378418,-0.16907742619514465,8.020483016967773,310059,2200,-0.0041304826736450195,282,1000.0,108706.35586887
6.712189674377441,-0.10629255324602127,7.919722080230713,324159,2300,-0.010540246963500977,282,1000.0,112596.09220609
6.59488582611084,0.06592464447021484,7.78095006942749,338259,2400,-0.008373618125915527,281,1000.0,115945.77687885001
6.255874156951904,-0.16089095175266266,7.671821117401123,352359,2500,-0.000764012336730957,281,1000.0,118370.76549343
6.100485801696777,0.06613679975271225,7.598503589630127,366459,2600,0.008754909038543701,281,1000.0,120364.99118366001
5.990562915802002,-0.21570846438407898,7.550407886505127,380559,2700,0.006826460361480713,282,1000.0,121800.22372164
5.89171838760376,-0.2841074466705322,7.510293960571289,394659,2800,0.006016254425048828,282,1000.0,122846.34829619
5.812621593475342,-0.14077523350715637,7.487031936645508,408759,2900,0.0021771788597106934,283,1000.0,123406.77019578998
5.701230525970459,0.19569872319698334,7.449586868286133,422859,3000,-0.00829017162322998,283,1000.0,123732.59314071001
5.6193413734436035,-0.15877950191497803,7.387579441070557,436959,3100,-0.004355430603027344,284,1000.0,123814.79759476999
5.598628520965576,-0.23939085006713867,7.354454517364502,451059,3200,0.002819359302520752,284,1000.0,123889.80419301
5.5600457191467285,0.022727176547050476,7.299096584320068,465159,3300,0.0028766989707946777,285,1000.0,124081.37549266999
5.576077461242676,-0.10625599324703217,7.250709056854248,479259,3400,0.00030624866485595703,285,1000.0,124118.36290906003
5.531400203704834,-0.08022722601890564,7.237128734588623,493359,3500,-0.01146852970123291,285,1000.0,124140.21540500002
5.525114059448242,-0.016839373856782913,7.199325084686279,507459,3600,0.004213213920593262,286,1000.0,124203.24188051
5.467592239379883,-0.0682566687464714,7.209327220916748,521559,3700,-0.005212664604187012,286,1000.0,124219.77796420001
5.453522682189941,0.02623707801103592,7.176385879516602,535659,3800,-0.006552338600158691,286,1000.0,124251.74882405998
5.439874172210693,0.03485262393951416,7.1403422355651855,549759,3900,-0.019124150276184082,287,1000.0,124359.18584543999
5.521363258361816,0.12870889902114868,7.205230236053467,563859,4000,-0.01024329662322998,287,1000.0,124426.18878613997
5.521172523498535,0.02558811753988266,7.280279159545898,577959,4100,-0.0034949779510498047,287,1000.0,124468.46872429
5.569320201873779,-0.21101923286914825,7.322341442108154,592059,4200,0.002047598361968994,288,1000.0,124438.03347888999
5.579174995422363,0.05189940333366394,7.286931991577148,606159,4300,0.0074707865715026855,288,1000.0,124496.15400255001
5.570774078369141,0.10491268336772919,7.315826416015625,620259,4400,-0.0001748800277709961,288,1000.0,124377.58473324002
5.62867546081543,-0.04566870257258415,7.287651538848877,634359,4500,7.021427154541016e-05,288,1000.0,124496.66761436
5.668956756591797,-0.21595486998558044,7.252077102661133,648459,4600,-0.006422758102416992,289,1000.0,124585.90462471999
5.695772171020508,-0.10942743718624115,7.264297962188721,662559,4700,-0.006381630897521973,289,1000.0,124595.13073272
5.691872596740723,0.023123562335968018,7.224714279174805,676659,4800,0.004672527313232422,289,1000.0,124657.08695321997
5.688404560089111,-0.02007022500038147,7.206413745880127,690759,4900,-0.0001842975616455078,289,1000.0,124700.12060969001
5.671818733215332,0.027509517967700958,7.237092971801758,704859,5000,-0.002166152000427246,289,1000.0,124671.38068599999
5.689486026763916,0.13077238202095032,7.279233932495117,718959,5100,-0.005041837692260742,289,1000.0,124800.6267242
5.649692058563232,0.12718689441680908,7.3204216957092285,733059,5200,-0.003363966941833496,290,1000.0,124816.23325875
5.631207466125488,-0.28851017355918884,7.342300891876221,747159,5300,-0.0004559755325317383,290,1000.0,124583.92516231
5.689634799957275,-0.11840681731700897,7.388632774353027,761259,5400,-0.0028073787689208984,290,1000.0,124413.40293608
5.785103797912598,0.16528944671154022,7.398957252502441,775359,5500,-0.004037380218505859,290,1000.0,124382.93084691
5.783127307891846,-0.11913998425006866,7.3964104652404785,789459,5600,0.00032770633697509766,290,1000.0,124403.43790661002
5.89486026763916,-0.055362898856401443,7.439842700958252,803559,5700,0.0009927153587341309,290,1000.0,124419.99258808
5.920490264892578,-0.005182050168514252,7.513398170471191,817659,5800,-0.0031228065490722656,291,1000.0,124520.37457061998
5.946566581726074,-0.04946756362915039,7.5291619300842285,831759,5900,0.002101600170135498,291,1000.0,124629.69844323998
5.940315246582031,-0.014565862715244293,7.515328407287598,845859,6000,-0.004697680473327637,291,1000.0,124898.94451439999
5.991054534912109,-0.08938253670930862,7.550935745239258,859959,6100,0.0032538771629333496,291,1000.0,124985.75596717001
