fps,total_timesteps,policy_entropy,policy_loss,nupdates,value_loss,explained_variance,ep_reward_mean,ep_len_mean
52,0,4.2568159103393555,-0.27034467458724976,1,5.157361030578613,0.027749180793762207,,
111,8019,4.271911144256592,-0.0929349958896637,100,0.05102680251002312,-0.05941367149353027,3679.61303825,1001.0
109,16119,4.245905876159668,-0.23171740770339966,200,0.005046776030212641,0.4574686884880066,6454.477749333332,1001.0
108,24219,4.191094398498535,-0.1564917266368866,300,0.006728769280016422,0.30724555253982544,7730.909225000001,1001.0
108,32319,4.173564434051514,-0.15846475958824158,400,0.013935208320617676,-0.14792144298553467,8413.819043142856,1001.0
108,40419,4.1445698738098145,0.10147985816001892,500,0.011573543772101402,-0.36099302768707275,8858.434379416669,1001.0
108,48519,4.1148600578308105,0.0036627501249313354,600,0.00368971424177289,-0.05810058116912842,9210.255469795455,1001.0
108,56619,4.06937837600708,-0.03484034538269043,700,0.00903092510998249,-0.07668638229370117,9477.196205365386,1001.0
108,64719,4.046398162841797,-0.04428626969456673,800,0.009902635589241982,0.5387493669986725,9700.855717266666,1001.0
108,72819,4.009437561035156,-0.31334778666496277,900,0.008089679293334484,0.17924422025680542,9905.53105489706,1001.0
108,80919,3.9873504638671875,-0.06455199420452118,1000,0.004547928925603628,0.5157264769077301,10106.532508605264,1001.0
108,89019,3.95582914352417,-0.22067900002002716,1100,0.006394693162292242,0.5216044187545776,10286.023640083335,1001.0
108,97119,3.930881977081299,-0.05175059288740158,1200,0.00214965408667922,0.5698841512203217,10448.779039543479,1001.0
108,105219,3.895325183868408,-0.1597459316253662,1300,0.0030564561020582914,0.5229275524616241,10596.20618456,1001.0
108,113319,3.86765718460083,-0.05371181666851044,1400,0.002933995332568884,0.6286174952983856,11167.94755751,1001.0
108,121419,3.8265509605407715,-0.2701324224472046,1500,0.00363219459541142,-0.06365406513214111,11410.35357836,1001.0
108,129519,3.8062057495117188,-0.10437489300966263,1600,0.0037312216591089964,0.578614205121994,11614.00529024,1001.0
108,137619,3.7790236473083496,-0.21108460426330566,1700,0.001549611217342317,0.6008517146110535,11799.045042379998,1001.0
108,145719,3.749579906463623,0.01896287500858307,1800,0.0036666051018983126,0.4760323166847229,11965.784706040002,1001.0
107,153819,3.712108612060547,-0.19870132207870483,1900,0.0033882292918860912,-0.6516315937042236,12109.912650040002,1001.0
107,161919,3.656376361846924,-0.03374335169792175,2000,0.003512005554512143,0.21342629194259644,12237.678163800003,1001.0
107,170019,3.6178040504455566,-0.12733611464500427,2100,0.001597205875441432,0.3568727374076843,12359.903343410004,1001.0
107,178119,3.5986647605895996,-0.37759965658187866,2200,0.002668048720806837,-0.31017208099365234,12457.876528339999,1001.0
107,186219,3.547569751739502,0.15046657621860504,2300,0.0025893771089613438,-0.1759779453277588,12542.178946560001,1001.0
108,194319,3.531437397003174,-0.094805046916008,2400,0.0019277209648862481,-0.3138618469238281,12613.97793873,1001.0
108,202419,3.520864486694336,-0.0410178080201149,2500,0.0020382017828524113,-0.09504759311676025,12677.85380756,1001.0
108,210519,3.4961800575256348,-0.2683750092983246,2600,0.0025780396535992622,0.42561399936676025,12722.11973792,1001.0
108,218619,3.4721016883850098,-0.21091902256011963,2700,0.002466385019943118,0.04761970043182373,12780.271115520001,1001.0
108,226719,3.473357677459717,-0.14473789930343628,2800,0.0020449317526072264,0.5073919296264648,12826.43211668,1001.0
108,234819,3.4672369956970215,0.17410048842430115,2900,0.002909499453380704,0.5507577061653137,12874.06327694,1001.0
108,242919,3.4487462043762207,-0.20727433264255524,3000,0.0017362681683152914,0.48789751529693604,12909.207477000002,1001.0
108,251019,3.446293354034424,-0.05970427393913269,3100,0.002135027665644884,0.6150799095630646,12942.198424520002,1001.0
108,259119,3.4362845420837402,0.06490380316972733,3200,0.0021689110435545444,0.572998434305191,12968.90001075,1001.0
108,267219,3.4336438179016113,-0.1581946462392807,3300,0.0016006138175725937,0.6051899790763855,13005.047661379996,1001.0
108,275319,3.403571605682373,-0.11943793296813965,3400,0.001817727810703218,0.6241528391838074,13038.575400190002,1001.0
