policy_entropy,value_loss,total_timesteps,explained_variance,policy_loss,fps,nupdates,ep_len_mean,ep_reward_mean
4.2568159103393555,4.165102958679199,0,-0.018429040908813477,-0.06741128116846085,50,1,,
4.406213283538818,0.029900401830673218,8019,0.8271557986736298,-0.06784041225910187,111,100,1001.0,7706.0059215
4.433337211608887,0.01693682372570038,16119,0.13288575410842896,-0.20727312564849854,110,200,1001.0,4593.418878583333
4.4140400886535645,0.004945290740579367,24219,-0.05077695846557617,0.003310292959213257,110,300,1001.0,5981.6868291499995
4.325775623321533,0.006368344184011221,32319,0.04000979661941528,-0.05990833044052124,110,400,1001.0,7052.498882714286
4.353054523468018,0.003679319517686963,40419,-1.7810354232788086,-0.023920614272356033,110,500,1001.0,7843.933750972223
4.274753093719482,0.006198134273290634,48519,0.10816776752471924,-0.349496454000473,110,600,1001.0,8354.849957795454
4.286872863769531,0.00458443583920598,56619,0.19086873531341553,-0.2299504280090332,110,700,1001.0,8814.741170692309
4.237807750701904,0.004883116111159325,64719,0.5154512226581573,-0.08344723284244537,110,800,1001.0,9207.809023266665
4.215968608856201,0.0035700052976608276,72819,0.6371454298496246,-0.026840360835194588,110,900,1001.0,9462.113492058825
4.229236125946045,0.005541050340980291,80919,0.6129725575447083,-0.10664819180965424,110,1000,1001.0,9710.69394506579
4.226673603057861,0.009512864053249359,89019,0.30463624000549316,-0.15016888082027435,110,1100,1001.0,9927.007966535715
4.284954071044922,0.0059198341332376,97119,0.5488785803318024,0.03804154694080353,110,1200,1001.0,9565.911735456522
4.3241353034973145,0.006633095443248749,105219,0.2526545524597168,0.1150454431772232,110,1300,1001.0,9518.94393834
4.325054168701172,0.003781083272770047,113319,0.7540723085403442,-0.03959989920258522,110,1400,1001.0,10020.29118154
4.335186958312988,0.0049843257293105125,121419,0.09935146570205688,0.06728455424308777,110,1500,1001.0,10528.87261284
4.368801593780518,0.003482432570308447,129519,0.7779703289270401,-0.12435737252235413,110,1600,1001.0,10723.480454559998
4.3505635261535645,0.0028401738964021206,137619,0.8266595751047134,0.1727035790681839,110,1700,1001.0,10871.227435779998
