policy_entropy,value_loss,explained_variance,total_timesteps,fps,policy_loss,nupdates,ep_reward_mean,ep_len_mean
10.947440147399902,0.06700853258371353,-0.4082869291305542,558819,271,-0.20603735744953156,6900,6756.970440210001,1000.0
10.9725980758667,0.07979200780391693,-0.5206818580627441,566919,271,-0.25213027000427246,7000,7978.781107299999,1000.0
10.963752746582031,0.10160120576620102,0.07844555377960205,575019,271,-0.510800838470459,7100,9289.345385829998,1000.0
10.986505508422852,0.13862207531929016,-0.1632310152053833,583119,271,-0.3003461956977844,7200,10703.558912539998,1000.0
10.955131530761719,0.1601707488298416,-0.1369544267654419,591219,270,0.17709478735923767,7300,12265.842447219999,1000.0
10.942832946777344,0.19887471199035645,-0.15551459789276123,599319,270,-0.12730179727077484,7400,13812.19035044,1000.0
10.932952880859375,0.18627074360847473,-0.10311496257781982,607419,270,0.12312992662191391,7500,15309.900158550001,1000.0
10.952496528625488,0.221293643116951,-0.08879375457763672,615519,270,-0.5543150305747986,7600,16757.11993668,1000.0
10.974997520446777,0.2580417990684509,-0.09247040748596191,623619,270,-0.2963789701461792,7700,18088.21398625,1000.0
11.000515937805176,0.27899011969566345,-0.05892300605773926,631719,270,-0.3237684965133667,7800,19304.45547802,1000.0
11.040397644042969,0.29477399587631226,-0.09327363967895508,639819,269,0.02070225030183792,7900,20516.537002480003,1000.0
11.018929481506348,0.29575076699256897,0.0020328760147094727,647919,269,-0.3749631941318512,8000,21730.418125179996,1000.0
11.039406776428223,0.34464818239212036,-0.06444108486175537,656019,269,-0.08870892226696014,8100,22872.814264209996,1000.0
11.04626178741455,0.38838136196136475,-0.17820847034454346,664119,269,-0.29904183745384216,8200,23870.519976680003,1000.0
11.061141014099121,0.3673657774925232,0.007681906223297119,672219,269,-0.22324401140213013,8300,24860.0199522,1000.0
11.068718910217285,0.44672203063964844,-0.09878671169281006,680319,269,-0.07650330662727356,8400,25876.23333682,1000.0
11.07197380065918,0.5642517805099487,-0.008998870849609375,688419,268,-0.2690503001213074,8500,26986.435423680003,1000.0
11.053640365600586,0.6101215481758118,-0.07741963863372803,696519,268,0.2423810064792633,8600,28157.92427808,1000.0
11.050615310668945,0.666700541973114,-0.04556548595428467,704619,268,0.06764779984951019,8700,29306.715293740006,1000.0
11.067109107971191,0.6728798151016235,-0.03197681903839111,712719,268,0.1194930374622345,8800,30623.680895199996,1000.0
11.062026977539062,1.0089099407196045,-0.03511548042297363,720819,268,0.01964535564184189,8900,32076.5382136,1000.0
11.067407608032227,1.1577184200286865,-0.11942172050476074,728919,268,-0.05383951961994171,9000,33516.41141559999,1000.0
11.091835021972656,1.1078099012374878,0.08282101154327393,737019,268,-0.3709186315536499,9100,35140.80782769,1000.0
11.065863609313965,1.2023741006851196,-0.016629338264465332,745119,268,-0.17021524906158447,9200,35949.70747703,1000.0
11.069046974182129,0.9974521398544312,0.06250667572021484,753219,267,0.06053658574819565,9300,36999.638221049994,1000.0
11.098464965820312,1.2238566875457764,0.03803145885467529,761319,267,-0.31250351667404175,9400,37757.61670748999,1000.0
11.110861778259277,1.1415739059448242,0.056442856788635254,769419,267,-0.24173425137996674,9500,38410.763095300004,1000.0
11.147551536560059,1.376232385635376,-0.021103978157043457,777519,267,0.223154678940773,9600,39205.2640449,1000.0
11.173398971557617,1.3047977685928345,-0.12388551235198975,785619,267,-0.2631761133670807,9700,39490.22417537001,1000.0
11.175010681152344,1.3111474514007568,-0.08608853816986084,793719,267,0.15821808576583862,9800,39822.084669870004,1000.0
11.182297706604004,1.294753074645996,0.12807577848434448,801819,267,-0.0658690333366394,9900,40091.06467988001,1000.0
11.173911094665527,1.119463324546814,0.010228753089904785,809919,267,0.3181203007698059,10000,40571.030035430005,1000.0
11.180480003356934,1.3932478427886963,0.044584453105926514,818019,267,-0.23972563445568085,10100,40575.24869816999,1000.0
11.219437599182129,1.3521013259887695,0.008641481399536133,826119,267,-0.1349189132452011,10200,40551.86935078,1000.0
11.212333679199219,1.2167354822158813,-0.059479713439941406,834219,267,-0.31849339604377747,10300,40674.1093821,1000.0
11.216412544250488,1.4632009267807007,0.1696597933769226,842319,266,-0.2729668617248535,10400,41017.02496795,1000.0
11.2258939743042,1.6680946350097656,-0.0688471794128418,850419,266,-0.007596902549266815,10500,41728.04804143,1000.0
11.269455909729004,1.7463645935058594,0.18547528982162476,858519,266,-0.10768432915210724,10600,42432.95883222,1000.0
11.275464057922363,1.8011977672576904,0.24721360206604004,866619,266,0.3464752435684204,10700,43257.27966925,1000.0
11.268338203430176,1.6879465579986572,-0.007977962493896484,874719,266,-0.343540757894516,10800,43809.00394873999,1000.0
11.27559757232666,1.8275423049926758,0.06554514169692993,882819,266,-0.32148945331573486,10900,44437.712403829995,1000.0
11.287711143493652,1.719300627708435,0.0030577778816223145,890919,266,-0.06698529422283173,11000,45180.36106613,1000.0
11.265710830688477,2.176774501800537,-0.018108487129211426,899019,266,-0.13570073246955872,11100,45785.023484230005,1000.0
11.238386154174805,2.012302875518799,0.12725210189819336,907119,266,-0.641814112663269,11200,46499.851792949994,1000.0
11.267905235290527,1.9737037420272827,-0.0010268688201904297,915219,266,-0.2595447897911072,11300,47303.05496735,1000.0
11.269789695739746,2.057934284210205,-0.004932045936584473,923319,266,-0.12934227287769318,11400,47644.63617648001,1000.0
11.282323837280273,1.8882758617401123,0.03772073984146118,931419,266,-0.08261776715517044,11500,47579.243454229996,1000.0
11.302789688110352,2.038066864013672,0.0874253511428833,939519,266,-0.21836230158805847,11600,47350.49229902,1000.0
11.296097755432129,2.1672115325927734,-0.07786715030670166,947619,266,-0.16720348596572876,11700,47787.34208952999,1000.0
11.303037643432617,2.0021846294403076,0.04240298271179199,955719,266,-0.24604934453964233,11800,47473.505871199995,1000.0
11.348837852478027,1.9862282276153564,0.0580863356590271,963819,266,-0.1201382428407669,11900,47862.47161292999,1000.0
11.363356590270996,2.3750243186950684,-0.20409774780273438,971919,266,-0.37143027782440186,12000,47882.73085148999,1000.0
11.389670372009277,2.3163864612579346,0.07023078203201294,980019,265,0.16378584504127502,12100,48165.34925202999,1000.0
11.415215492248535,2.198125123977661,0.020669996738433838,988119,265,0.031392939388751984,12200,48443.77609010998,1000.0
11.415127754211426,1.8199383020401,-0.0353398323059082,996219,265,0.07818222790956497,12300,48263.71857931,1000.0
