fps,policy_loss,nupdates,value_loss,policy_entropy,total_timesteps,explained_variance,ep_reward_mean,ep_len_mean
86,-0.04828576743602753,1,13.492236137390137,9.932570457458496,0,-0.0029598474502563477,,
254,0.10651694238185883,100,7.523916721343994,10.095629692077637,8019,-0.013412952423095703,713.77498825,1000.0
258,-0.15211227536201477,200,8.789840698242188,10.09264850616455,16119,-0.1874687671661377,1445.0543083125,1000.0
255,-0.17416267096996307,300,11.398306846618652,10.033059120178223,24219,-0.06658422946929932,3332.2245142916668,1000.0
255,-0.226701557636261,400,8.669974327087402,9.961565971374512,32319,-0.05041706562042236,5075.78510778125,1000.0
254,-0.19394060969352722,500,7.530360221862793,9.896119117736816,40419,-0.09282779693603516,6599.635949,1000.0
253,-0.39813894033432007,600,6.501251220703125,9.788253784179688,48519,-0.07034289836883545,7727.072261666668,1000.0
254,-0.27097734808921814,700,5.932801723480225,9.665617942810059,56619,0.008310139179229736,8688.625842678572,1000.0
253,-0.0134715735912323,800,6.184028148651123,9.590088844299316,64719,0.07322877645492554,9594.704921281249,1000.0
254,-0.11187932640314102,900,5.820929527282715,9.55942440032959,72819,-0.006039023399353027,10292.542574027779,1000.0
254,-0.2985997796058655,1000,5.984667778015137,9.505722999572754,80919,-0.0016006231307983398,10984.9070282,1000.0
254,-0.2071237564086914,1100,6.124621868133545,9.445660591125488,89019,0.14959824085235596,11585.253698613638,1000.0
254,-0.35144296288490295,1200,6.109310150146484,9.453460693359375,97119,-0.44008123874664307,12077.509792947916,1000.0
254,0.03041667491197586,1300,5.82637882232666,9.479781150817871,105219,-1.1631691455841064,13005.42074536,1000.0
253,-0.4556857943534851,1400,6.035581111907959,9.46208381652832,113319,-2.8015637397766113,14426.910772559999,1000.0
252,-0.4960821568965912,1500,9.164666175842285,9.455300331115723,121419,-0.5464558601379395,15717.787094270001,1000.0
250,-0.08110242336988449,1600,8.8109769821167,9.483390808105469,129519,-0.3040297031402588,16845.51779154,1000.0
249,0.2304229438304901,1700,8.692362785339355,9.383172035217285,137619,-0.05140864849090576,17866.0204473,1000.0
247,-0.29969191551208496,1800,8.497615814208984,9.341703414916992,145719,-0.08297061920166016,18899.457087920004,1000.0
246,0.11911675333976746,1900,8.470149040222168,9.309958457946777,153819,0.013969063758850098,19964.93236576,1000.0
245,0.2644656300544739,2000,8.76854133605957,9.267990112304688,161919,0.009457767009735107,21169.35464807,1000.0
244,-0.29079359769821167,2100,9.085641860961914,9.201605796813965,170019,-0.020545244216918945,22425.342447630002,1000.0
244,-0.4251316487789154,2200,9.027828216552734,9.184409141540527,178119,-0.022796034812927246,23706.41930599,1000.0
243,-0.2688532769680023,2300,9.591809272766113,9.132048606872559,186219,-0.0950692892074585,25288.157787720003,1000.0
243,-0.5794392824172974,2400,9.82503604888916,9.088528633117676,194319,0.030943095684051514,27213.75152574,1000.0
244,-0.06742825359106064,2500,10.334050178527832,9.063234329223633,202419,-0.019722700119018555,29475.89418229,1000.0
244,-0.3085970878601074,2600,12.029802322387695,8.92755126953125,210519,0.04034459590911865,31962.89020025,1000.0
244,-0.24849028885364532,2700,11.057148933410645,8.828115463256836,218619,-0.031804442405700684,34394.04927734,1000.0
245,0.08988633006811142,2800,11.71927261352539,8.67163372039795,226719,-0.007038235664367676,37059.045647369996,1000.0
246,-0.22894710302352905,2900,11.74470329284668,8.532156944274902,234819,0.006917715072631836,40122.28829303,1000.0
