EpThisIter,EpRewMean,optimgain,meankl,surrgain,EpLenMean,entloss,entropy,explained_variance_tdlam_before,EpisodesSoFar,TimestepsSoFar,TimeElapsed
1,446.214989,0.09310929,0.0112378355,0.09310929,1000.0,0.0,9.933591,-0.4643005132675171,1,1024,5.692025661468506
1,369.205511,0.097696275,0.010532849,0.097696275,1000.0,0.0,9.914304,-1.4864628314971924,2,2048,10.032780647277832
1,397.683106,0.12186222,0.010930207,0.12186222,1000.0,0.0,9.91516,-0.08299028873443604,3,3072,14.44438624382019
1,413.42970125,0.114618696,0.011595716,0.114618696,1000.0,0.0,9.911129,-1.2985248565673828,4,4096,18.732213735580444
1,418.977765,0.11910299,0.011150898,0.11910299,1000.0,0.0,9.920398,-0.7691700458526611,5,5120,23.195074796676636
1,439.14582466666667,0.1314221,0.012021506,0.1314221,1000.0,0.0,9.927112,-0.1936875581741333,6,6144,27.868342399597168
1,450.9048517142857,0.11440563,0.011269765,0.11440563,1000.0,0.0,9.935781,-1.412750005722046,7,7168,32.044275522232056
1,450.68530825,0.12353853,0.01188972,0.12353853,1000.0,0.0,9.936084,-0.6077929735183716,8,8192,36.55031943321228
1,447.83698166666665,0.13359646,0.012089351,0.13359646,1000.0,0.0,9.928552,-0.4859805107116699,9,9216,40.92315936088562
1,463.7980208,0.1387631,0.01201701,0.1387631,1000.0,0.0,9.915969,-0.583341121673584,10,10240,45.26506042480469
1,471.9591179090909,0.12501228,0.011220574,0.12501228,1000.0,0.0,9.932901,-0.6488854885101318,11,11264,49.667070388793945
1,465.65791575,0.1454325,0.0127460975,0.1454325,1000.0,0.0,9.933426,-0.24330425262451172,12,12288,54.00494360923767
1,467.00743869230763,0.1274079,0.012314878,0.1274079,1000.0,0.0,9.933591,-1.4339954853057861,13,13312,58.320414781570435
1,459.3614866428571,0.1556144,0.012215473,0.1556144,1000.0,0.0,9.917274,-1.0344772338867188,14,14336,62.68732523918152
1,459.54734673333326,0.12143638,0.011882249,0.12143638,1000.0,0.0,9.942505,-0.2864501476287842,15,15360,67.07948541641235
1,459.3239995,0.20559478,0.013625974,0.20559478,1000.0,0.0,9.948437,-0.45149528980255127,16,16384,71.36493110656738
1,455.86309864705885,0.16800359,0.012076107,0.16800359,1000.0,0.0,9.9502325,-0.022937536239624023,17,17408,75.66750884056091
1,463.57403583333337,0.1340703,0.012881857,0.1340703,1000.0,0.0,9.941491,-0.3349066972732544,18,18432,79.95334267616272
1,457.98622557894737,0.124729455,0.0126502365,0.124729455,1000.0,0.0,9.934949,-0.40907037258148193,19,19456,84.0752637386322
1,452.88452774999996,0.113725305,0.012854507,0.113725305,1000.0,0.0,9.9277725,-0.0607142448425293,20,20480,88.48034620285034
1,462.4010186190476,0.12860979,0.012261781,0.12860979,1000.0,0.0,9.921433,-0.10683119297027588,21,21504,92.90137791633606
1,461.4855756818182,0.12040591,0.012735067,0.12040591,1000.0,0.0,9.905444,-0.07966649532318115,22,22528,97.25304079055786
1,467.13558191304344,0.12876879,0.013953916,0.12876879,1000.0,0.0,9.915077,-0.3223918676376343,23,23552,101.63793516159058
1,464.50159391666665,0.13176033,0.012693297,0.13176033,1000.0,0.0,9.915038,-0.2686954736709595,24,24576,106.00555229187012
