fps,total_timesteps,explained_variance,policy_entropy,value_loss,nupdates,ep_len_mean,ep_reward_mean
195,128,-0.18393206596374512,9.932570457458496,4.321975231170654,1,,
194,12800,-1.0573086738586426,9.934625625610352,0.17255254089832306,100,500.0,213.45466845833334
194,25600,-0.3824254274368286,9.928380012512207,0.4079711139202118,200,500.0,217.14385125
192,38400,-1.7047796249389648,9.930913925170898,0.26334303617477417,300,500.0,219.9257335
192,51200,-1.289623737335205,9.942453384399414,0.2500087320804596,400,500.0,217.30072613000002
191,64000,-0.3511587381362915,9.959051132202148,0.45396888256073,500,500.0,221.50039515999998
192,76800,-0.37197649478912354,9.980138778686523,0.3675857186317444,600,500.0,227.62710254
193,89600,-0.8528468608856201,9.998518943786621,0.3454190790653229,700,500.0,229.60137080999996
193,102400,-0.028703808784484863,10.004167556762695,0.2637256383895874,800,500.0,239.29210867
194,115200,-0.26870059967041016,10.004186630249023,0.3620256185531616,900,500.0,253.31390417
194,128000,-0.5114928483963013,9.980981826782227,5.977362632751465,1000,500.0,308.96068912
194,140800,0.13058382272720337,9.89146614074707,0.09366214275360107,1100,500.0,543.8684339
194,153600,-0.13617432117462158,9.842645645141602,0.008796722628176212,1200,500.0,1056.76319624
193,166400,0.058434903621673584,9.802679061889648,0.02106894738972187,1300,500.0,1832.41737382
192,179200,-0.26491546630859375,9.830031394958496,0.01972159370779991,1400,500.0,2556.99493899
191,192000,-0.16147804260253906,9.870972633361816,7.718500137329102,1500,500.0,3177.81003148
190,204800,-0.1563889980316162,9.889806747436523,0.0051595186814665794,1600,500.0,3432.65402085
190,217600,0.0046378374099731445,9.894277572631836,0.06072620302438736,1700,500.0,3631.7216028799994
189,230400,0.17294597625732422,9.86266040802002,0.004430389031767845,1800,500.0,3788.8956711400006
189,243200,0.06180328130722046,9.907590866088867,0.029293563216924667,1900,500.0,3917.07461005
188,256000,-0.02018105983734131,9.896917343139648,5.922518730163574,2000,500.0,4038.679148940001
188,268800,-0.019339680671691895,9.919404029846191,0.10039103031158447,2100,500.0,4175.311669550001
188,281600,-0.024933815002441406,9.932256698608398,0.024819154292345047,2200,500.0,4316.47983175
188,294400,0.01007002592086792,9.922947883605957,0.021390408277511597,2300,500.0,4540.8716453
188,307200,0.07542133331298828,9.941083908081055,0.038015954196453094,2400,500.0,4772.31797759
188,320000,0.01496344804763794,9.992685317993164,7.502560615539551,2500,500.0,5092.31934008
188,332800,0.017570316791534424,10.018487930297852,0.06003006175160408,2600,500.0,5307.75213703
188,345600,-0.025800466537475586,10.033285140991211,0.040867190808057785,2700,500.0,5530.661103959998
188,358400,0.022900760173797607,10.003034591674805,0.04732343927025795,2800,500.0,5753.9234518799985
188,371200,-0.009427309036254883,10.01508617401123,0.011895633302628994,2900,500.0,5868.238353919999
187,384000,0.02765357494354248,9.987493515014648,7.658835411071777,3000,500.0,6155.088247519998
187,396800,0.1441975235939026,9.967890739440918,0.025785064324736595,3100,500.0,6324.711611269999
187,409600,0.016522705554962158,9.968145370483398,0.008677530102431774,3200,500.0,6551.9966746300015
187,422400,-0.007566571235656738,9.947942733764648,0.02808988280594349,3300,500.0,6753.653756919999
187,435200,-0.021260380744934082,9.944421768188477,0.13140462338924408,3400,500.0,6981.53400912
187,448000,-0.017454862594604492,9.929076194763184,8.45944595336914,3500,500.0,7265.599408279999
187,460800,0.11573058366775513,9.928823471069336,0.057519711554050446,3600,500.0,7468.01306081
187,473600,0.01608031988143921,9.896322250366211,0.1509898155927658,3700,500.0,7713.11276308
187,486400,0.009242534637451172,9.883367538452148,0.19800548255443573,3800,500.0,7737.470056929999
187,499200,-0.03306150436401367,9.877096176147461,0.04962751641869545,3900,500.0,7906.780508379999
