fps,total_timesteps,policy_loss,explained_variance,value_loss,nupdates,policy_entropy,ep_len_mean,ep_reward_mean
70,0,-0.3339272141456604,-0.08221006393432617,3.025920867919922,1,9.932570457458496,,
228,8019,-0.29517021775245667,-0.9576151371002197,3.093191623687744,100,9.589044570922852,1000.0,410.944783875
228,16119,-0.42590057849884033,-0.02817380428314209,2.37870454788208,200,9.626107215881348,1000.0,383.614921125
229,24219,-0.05458962917327881,0.03475528955459595,2.4414029121398926,300,9.643081665039062,1000.0,386.0247965416667
230,32319,-0.12777486443519592,-0.8202934265136719,3.535283327102661,400,9.630339622497559,1000.0,394.42632775
230,40419,-0.019390426576137543,-0.009336233139038086,2.473928928375244,500,9.657492637634277,1000.0,409.542467525
230,48519,-0.26197826862335205,0.042838335037231445,3.3189144134521484,600,9.665733337402344,1000.0,445.03744339583335
230,56619,0.08042249083518982,-0.037357211112976074,5.836091041564941,700,9.635331153869629,1000.0,573.6882833392857
230,64719,-0.1606496423482895,0.2192620038986206,14.931269645690918,800,9.599200248718262,1000.0,1028.665067890625
230,72819,-0.07901745289564133,0.0048482418060302734,17.908723831176758,900,9.506135940551758,1000.0,1932.164779347222
229,80919,-0.21980533003807068,-0.0044983625411987305,13.91111946105957,1000,9.475454330444336,1000.0,2918.494276875
228,89019,0.44816944003105164,-0.009738445281982422,8.865004539489746,1100,9.500692367553711,1000.0,3883.7128003409093
227,97119,-0.6451349854469299,0.10732293128967285,7.42133092880249,1200,9.524521827697754,1000.0,4800.22579146875
227,105219,-0.021747887134552002,0.19339072704315186,6.040148735046387,1300,9.492920875549316,1000.0,5911.011012099999
226,113319,-0.45798468589782715,0.2958325147628784,5.738246440887451,1400,9.48126220703125,1000.0,7176.018548440002
226,121419,0.01191023737192154,-0.03611624240875244,5.071547031402588,1500,9.458647727966309,1000.0,8363.758350420001
226,129519,-0.2377249002456665,0.029884934425354004,4.382777214050293,1600,9.387466430664062,1000.0,9541.639430440002
226,137619,-0.3744960427284241,-0.004593968391418457,4.071950435638428,1700,9.34951114654541,1000.0,10753.630201389999
226,145719,0.042320795357227325,-0.23632490634918213,3.8791072368621826,1800,9.330626487731934,1000.0,11957.514720589998
226,153819,0.05573088675737381,0.016777217388153076,3.9891228675842285,1900,9.308548927307129,1000.0,13141.726382969997
225,161919,0.09461380541324615,0.40948981046676636,4.459747791290283,2000,9.290284156799316,1000.0,14443.007459469996
225,170019,-0.20903821289539337,-0.771428108215332,5.110886573791504,2100,9.273367881774902,1000.0,15304.385582339999
225,178119,-0.07884889096021652,-1.0177414417266846,4.706995964050293,2200,9.230209350585938,1000.0,15968.790855529995
224,186219,-0.17312417924404144,-4.62832498550415,5.515500545501709,2300,9.225937843322754,1000.0,16514.59770323
224,194319,0.24649542570114136,0.5548811852931976,4.167130470275879,2400,9.239502906799316,1000.0,16981.010063579997
224,202419,-0.512487530708313,-2.92390513420105,7.372475624084473,2500,9.202605247497559,1000.0,17736.08427095
223,210519,-0.2530800998210907,-3.9779839515686035,5.488604545593262,2600,9.211578369140625,1000.0,18263.82957369
223,218619,0.04206465929746628,-3.155583381652832,6.107458591461182,2700,9.20125675201416,1000.0,18870.94802485
223,226719,0.17187470197677612,-11.128921508789062,8.891916275024414,2800,9.15023136138916,1000.0,19468.236640260002
222,234819,-0.2941884398460388,-6.835502624511719,6.553618431091309,2900,9.113699913024902,1000.0,20457.59665992
222,242919,-0.07533600926399231,-7.6014251708984375,8.120768547058105,3000,9.109320640563965,1000.0,21676.41179005
221,251019,0.01562575250864029,-5.462421417236328,7.563873291015625,3100,9.083189964294434,1000.0,22459.965423339996
221,259119,-0.12728917598724365,-5.527462959289551,6.073065280914307,3200,9.070497512817383,1000.0,23236.465212580002
221,267219,0.01905933767557144,-5.156066417694092,6.101944923400879,3300,9.037737846374512,1000.0,23878.890982129997
221,275319,-0.07699119299650192,-16.556859970092773,6.1409807205200195,3400,9.040923118591309,1000.0,24230.35836316999
220,283419,-0.030871611088514328,0.43038517236709595,3.545464277267456,3500,9.032981872558594,1000.0,25043.37204151
220,291519,-0.14951825141906738,-4.526608943939209,5.222678184509277,3600,9.064995765686035,1000.0,25147.06409705
220,299619,0.1764155924320221,-1.6868562698364258,7.540884971618652,3700,8.967490196228027,1000.0,26018.048778040004
220,307719,-0.1322709321975708,-2.6404531002044678,5.683673858642578,3800,8.918601036071777,1000.0,26398.573624279998
220,315819,0.30518364906311035,-4.150290489196777,8.607522010803223,3900,8.860915184020996,1000.0,27901.764029629998
219,323919,0.10501816123723984,-21.10072135925293,6.6611223220825195,4000,8.822617530822754,1000.0,28783.47023685
219,332019,0.07390499114990234,-5.380753040313721,7.884113311767578,4100,8.778478622436523,1000.0,29447.571995419996
219,340119,-0.3800312876701355,-15.829387664794922,4.159997463226318,4200,8.763958930969238,1000.0,29017.345041719997
219,348219,-0.48112791776657104,-11.102510452270508,8.946515083312988,4300,8.741116523742676,1000.0,29956.42977083
219,356319,-0.2794446647167206,-5.601822853088379,8.842893600463867,4400,8.681410789489746,1000.0,31330.12883739
218,364419,-0.126556396484375,0.22689318656921387,12.068414688110352,4500,8.60777473449707,1000.0,33520.87188392
218,372519,0.014068692922592163,-0.04259490966796875,11.637117385864258,4600,8.554618835449219,1000.0,36511.048723529995
218,380619,-0.24512463808059692,-0.2166656255722046,12.715174674987793,4700,8.46651554107666,1000.0,39292.47925622
217,388719,0.09583200514316559,-1.3407037258148193,13.007662773132324,4800,8.379839897155762,1000.0,43506.25319319
217,396819,-0.029097113758325577,-0.4252837896347046,13.623692512512207,4900,8.304854393005371,1000.0,47061.64139184
217,404919,-0.26230764389038086,-0.16412663459777832,12.627362251281738,5000,8.172858238220215,1000.0,50019.922345739986
217,413019,-0.07080355286598206,-12.713632583618164,10.400906562805176,5100,8.106522560119629,1000.0,52759.40757755999
216,421119,-0.08737032860517502,-0.4591783285140991,11.80469799041748,5200,8.021714210510254,1000.0,56545.542218549985
216,429219,0.1966421902179718,0.014569699764251709,12.518470764160156,5300,7.970049858093262,1000.0,60718.42816728
216,437319,-0.09305174648761749,0.01098567247390747,11.76508617401123,5400,7.905648231506348,1000.0,65519.452028349995
216,445419,-0.02967052534222603,-0.1488053798675537,11.29039478302002,5500,7.868969917297363,1000.0,70342.31056519
216,453519,-0.3380064368247986,-0.015564322471618652,11.109006881713867,5600,7.820648193359375,1000.0,75103.42336228
216,461619,-0.08799201250076294,0.2287246584892273,11.696798324584961,5700,7.829083442687988,1000.0,79854.07189626
217,469719,-0.0764349177479744,-0.007707834243774414,11.954730987548828,5800,7.719809532165527,1000.0,84142.84183344999
217,477819,0.0688561350107193,-0.026131391525268555,11.577061653137207,5900,7.677414894104004,1000.0,87970.48035513
217,485919,-0.2665742039680481,-0.0012164115905761719,10.670201301574707,6000,7.554539680480957,1000.0,91377.39153525997
