nupdates,total_timesteps,fps,value_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
1,128,162,2.066622734069824,-0.032095909118652344,9.932570457458496,,
100,12800,200,0.7397602796554565,-0.2678922414779663,9.939682960510254,500.0,212.67153420833333
200,25600,197,0.5801635384559631,-0.23574697971343994,9.919740676879883,500.0,208.78981435416665
300,38400,193,0.3780481219291687,-0.5271255970001221,9.966660499572754,500.0,219.44456071052628
400,51200,192,0.4914538860321045,-0.38262903690338135,9.990477561950684,500.0,223.95678322
500,64000,190,2.612306833267212,-0.7681273221969604,9.86182689666748,500.0,242.84354069
600,76800,191,1.015931487083435,-0.1967639923095703,9.774099349975586,500.0,296.14088986
700,89600,191,0.11489725112915039,-0.004756450653076172,9.477869033813477,500.0,629.0388192900001
800,102400,190,0.006850073114037514,0.06199926137924194,9.361948013305664,500.0,1425.7221971400002
900,115200,189,0.007846096530556679,-0.009869575500488281,9.356111526489258,500.0,2142.62984892
1000,128000,188,6.396693706512451,-0.009436607360839844,9.258927345275879,500.0,2939.3665307399997
1100,140800,188,0.001726249698549509,-0.0761789083480835,9.402244567871094,500.0,3282.9576829900006
1200,153600,188,0.024831421673297882,0.08831906318664551,9.679529190063477,500.0,3315.33275965
1300,166400,187,0.0009556039003655314,0.25839757919311523,9.941560745239258,500.0,3313.4821849400005
1400,179200,186,0.012301269918680191,0.08086603879928589,10.074950218200684,500.0,3245.03602591
1500,192000,185,5.179813861846924,0.005020737648010254,10.205215454101562,500.0,3308.4639345700007
1600,204800,185,0.0003184960805810988,0.3623347282409668,10.362115859985352,500.0,3297.003323300001
1700,217600,185,1.961983070941642e-05,-0.005240440368652344,10.399577140808105,500.0,3202.47525224
1800,230400,184,0.001300963805988431,0.2676053047180176,10.73576831817627,500.0,3096.09422946
1900,243200,184,0.00034634917392395437,0.3754425048828125,10.997147560119629,500.0,2914.6834099300004
2000,256000,184,4.466740131378174,0.004283130168914795,11.278559684753418,500.0,2920.8863819099997
2100,268800,184,0.0006181398639455438,-0.030152440071105957,11.683618545532227,500.0,3030.131603969999
2200,281600,184,0.00021061470033600926,-0.1447659730911255,11.68397331237793,500.0,3024.3379993500002
2300,294400,183,0.005197382066398859,0.08577543497085571,11.999842643737793,500.0,3271.61695085
2400,307200,183,0.18939122557640076,-0.0016684532165527344,11.813631057739258,500.0,3462.44867326
2500,320000,183,7.984860420227051,-0.01870739459991455,11.905354499816895,500.0,3631.2045621099996
2600,332800,183,0.380493700504303,0.01704251766204834,11.886960983276367,500.0,3831.1055352599997
2700,345600,182,0.023914247751235962,0.09196346998214722,11.85194206237793,500.0,3897.8487888600002
2800,358400,182,0.019608113914728165,0.016976356506347656,11.823808670043945,500.0,4136.55319533
2900,371200,182,0.0025921338237822056,-0.4361156225204468,11.899018287658691,500.0,4079.72986161
3000,384000,182,1.2739466428756714,-0.0829610824584961,12.187424659729004,500.0,3610.03784831
3100,396800,182,0.0019407186191529036,0.020274698734283447,12.085265159606934,500.0,3584.3852933399994
3200,409600,182,0.09400336444377899,0.022995412349700928,12.453902244567871,500.0,3249.40437055
3300,422400,181,0.025633875280618668,0.022212445735931396,12.514328002929688,500.0,3838.31946544
3400,435200,181,0.0045084273442626,-0.2827622890472412,12.635390281677246,500.0,4622.4439729000005
3500,448000,181,6.291652202606201,0.05475801229476929,12.608504295349121,500.0,4373.1626638
3600,460800,181,0.0020114807412028313,-0.22078728675842285,12.648395538330078,500.0,4393.455859199999
3700,473600,181,0.0016583624528720975,0.06675267219543457,12.749619483947754,500.0,3743.4686255399997
3800,486400,181,0.0031877749133855104,-0.08309650421142578,12.933116912841797,500.0,3001.5063837000007
3900,499200,181,0.0034310074988752604,-0.05337679386138916,13.253971099853516,500.0,3007.191732150001
