explained_variance,policy_loss,total_timesteps,fps,policy_entropy,value_loss,nupdates,ep_len_mean,ep_reward_mean
0.038021981716156006,-0.06822087615728378,0,71,9.932570457458496,5.036531925201416,1,,
-0.12032198905944824,-0.152327761054039,8019,229,10.002917289733887,1.1694717407226562,100,1000.0,708.737341625
0.026103496551513672,-0.09590047597885132,16119,234,9.978102684020996,4.104018211364746,200,1000.0,2289.8771671249997
-0.2927161455154419,-0.2618202567100525,24219,232,9.910721778869629,5.815878868103027,300,1000.0,4055.6302966250005
0.02389150857925415,-0.22498095035552979,32319,230,9.871476173400879,5.405138969421387,400,1000.0,5492.041177031249
0.05141633749008179,-0.03268580883741379,40419,226,9.875494003295898,7.167754173278809,500,1000.0,7227.095548875001
0.046556711196899414,-0.02726234495639801,48519,223,9.824217796325684,7.619959831237793,600,1000.0,8746.892172437501
0.014960289001464844,-0.2863619029521942,56619,222,9.824300765991211,6.9830427169799805,700,1000.0,10378.555995267858
-0.011769771575927734,-0.3027675747871399,64719,220,9.815110206604004,7.594409942626953,800,1000.0,11900.377919296876
0.056513845920562744,-0.09389211982488632,72819,219,9.762871742248535,8.262216567993164,900,1000.0,13415.352560777777
0.008117377758026123,-0.27758288383483887,80919,219,9.717413902282715,7.681309700012207,1000,1000.0,14950.910685812501
0.069205641746521,-0.10258666425943375,89019,219,9.691999435424805,7.858193874359131,1100,1000.0,16691.161735545455
0.03137218952178955,0.23129430413246155,97119,219,9.642258644104004,7.567457675933838,1200,1000.0,18021.15623997917
0.03790348768234253,-0.4864729940891266,105219,220,9.536490440368652,6.942830562591553,1300,1000.0,20091.33460802
0.022822201251983643,0.1331218183040619,113319,220,9.453543663024902,7.440987586975098,1400,1000.0,23224.656723390002
0.04493993520736694,-0.2833910584449768,121419,220,9.356926918029785,8.05791187286377,1500,1000.0,26179.4991409
-0.044037818908691406,-0.18119345605373383,129519,221,9.300902366638184,8.338696479797363,1600,1000.0,29053.817206239997
0.016763746738433838,-0.48742783069610596,137619,221,9.280019760131836,8.162663459777832,1700,1000.0,31819.168540840004
0.0043402910232543945,-0.29987427592277527,145719,221,9.188153266906738,7.5671796798706055,1800,1000.0,34573.49606397
0.008074045181274414,-0.23964571952819824,153819,221,9.074414253234863,7.998269557952881,1900,1000.0,37292.720226770005
-0.06599223613739014,-0.019307248294353485,161919,221,8.99009895324707,7.273799896240234,2000,1000.0,40026.89548038
0.010490953922271729,-0.36367377638816833,170019,221,8.934588432312012,7.7887773513793945,2100,1000.0,42702.192766269996
-0.0074530839920043945,0.03777895122766495,178119,222,8.857245445251465,8.47291374206543,2200,1000.0,45472.85198008
-0.002819657325744629,-0.08615585416555405,186219,222,8.815330505371094,7.870502471923828,2300,1000.0,48029.9015276
-0.03713691234588623,-0.27060002088546753,194319,222,8.708281517028809,7.758840084075928,2400,1000.0,50506.652198829994
0.01020139455795288,-0.09861000627279282,202419,222,8.673233032226562,7.679949760437012,2500,1000.0,53379.50277806
