total_timesteps,policy_entropy,fps,nupdates,explained_variance,value_loss,policy_loss,ep_reward_mean,ep_len_mean
0,9.932570457458496,70,1,-0.025897741317749023,3.4964823722839355,0.11060047149658203,,
8019,10.718393325805664,246,100,-0.4744514226913452,0.31550660729408264,-0.1015777587890625,3777.92193475,1000.0
16119,10.736754417419434,270,200,-0.2301638126373291,0.940363883972168,-0.7103564739227295,3527.4466388125,1000.0
24219,10.744215965270996,266,300,-11.963675498962402,1.9498984813690186,-0.4285734295845032,3642.6845132916665,1000.0
32319,10.786307334899902,265,400,-0.0654611587524414,3.0965163707733154,-0.3277064859867096,4074.7849205312496,1000.0
40419,10.737593650817871,269,500,-0.03606557846069336,6.610730171203613,-0.1316671222448349,5347.103208099999,1000.0
48519,10.680327415466309,269,600,-0.06260049343109131,7.138375759124756,-0.1669369637966156,6491.101190958333,1000.0
56619,10.637757301330566,270,700,-0.0048329830169677734,6.640521049499512,-0.41596654057502747,7388.935880803571,1000.0
64719,10.529195785522461,271,800,0.004639923572540283,6.554325103759766,0.18522700667381287,8147.158702078124,1000.0
72819,10.485013961791992,273,900,-0.013181805610656738,6.4000372886657715,-0.030102096498012543,8773.494470930555,1000.0
80919,10.469344139099121,274,1000,-0.008646965026855469,6.371310234069824,-0.314647912979126,9245.6104605,1000.0
89019,10.4215726852417,274,1100,0.03626281023025513,6.018927574157715,-0.017385683953762054,9647.196376818181,1000.0
97119,10.358741760253906,275,1200,-0.03243851661682129,5.982052326202393,-0.1757764220237732,9982.663971864584,1000.0
105219,10.305703163146973,275,1300,0.014280200004577637,5.994275093078613,-0.09662552177906036,10418.81447361,1000.0
113319,10.237848281860352,276,1400,-0.04354369640350342,6.058420658111572,-0.17340433597564697,11454.138975980002,1000.0
121419,10.194742202758789,276,1500,-0.021925926208496094,6.131491661071777,-0.2071998417377472,12223.17943826,1000.0
129519,10.154915809631348,276,1600,0.005355119705200195,6.194588661193848,0.045500315725803375,13087.600402680002,1000.0
137619,10.145514488220215,277,1700,-0.022240757942199707,6.215882778167725,-0.26308324933052063,13533.030772560001,1000.0
145719,10.14663028717041,276,1800,-0.0037485361099243164,6.274900913238525,-0.2607702612876892,13752.504955420001,1000.0
153819,10.116868019104004,276,1900,0.0008288025856018066,6.321654796600342,0.29690539836883545,13893.515750779998,1000.0
161919,10.153138160705566,277,2000,-0.01111149787902832,6.445779323577881,0.13866841793060303,13995.233450699998,1000.0
170019,10.119211196899414,277,2100,-0.015407800674438477,6.691821098327637,-0.049536529928445816,14064.150165479998,1000.0
178119,10.135643005371094,277,2200,2.378225326538086e-05,6.757910251617432,-0.4534323513507843,14111.20585046,1000.0
186219,10.100265502929688,277,2300,-0.0108259916305542,6.803619384765625,-0.021095454692840576,14182.765098099999,1000.0
194319,10.044036865234375,277,2400,-0.026053905487060547,6.812891960144043,-0.31427067518234253,14249.399809339999,1000.0
202419,10.084386825561523,278,2500,-0.035080552101135254,6.708380699157715,-0.22795677185058594,14269.190604889998,1000.0
210519,10.095415115356445,278,2600,-0.01656365394592285,6.830899715423584,0.2696123719215393,14301.214782160001,1000.0
218619,10.06484317779541,278,2700,-0.0070487260818481445,6.8576202392578125,-0.4052911102771759,14306.019352239997,1000.0
226719,10.104157447814941,278,2800,-0.008242130279541016,6.992184638977051,0.12364234030246735,14348.95841673,1000.0
234819,10.114969253540039,278,2900,-0.0016970634460449219,7.2252936363220215,-0.4542768597602844,14390.36924631,1000.0
242919,10.106058120727539,277,3000,-0.007840275764465332,7.338086128234863,0.04128523916006088,14421.383073620002,1000.0
251019,10.1357421875,276,3100,0.006512641906738281,7.50189208984375,0.35362929105758667,14453.294098829998,1000.0
259119,10.127572059631348,276,3200,0.006323754787445068,7.633431911468506,-0.25429975986480713,14513.53704294,1000.0
267219,10.171098709106445,276,3300,0.007023870944976807,7.753664970397949,-0.07756929099559784,14567.944222959997,1000.0
275319,10.159010887145996,275,3400,-0.012194633483886719,7.950023651123047,-0.3398260176181793,14596.312830989998,1000.0
283419,10.159361839294434,275,3500,0.008337974548339844,7.838496208190918,-0.33981096744537354,14626.43101976,1000.0
291519,10.162897109985352,274,3600,0.004512131214141846,7.862310886383057,0.04597478359937668,14669.308434870001,1000.0
299619,10.18972110748291,274,3700,0.0024251937866210938,8.209479331970215,0.020670205354690552,14727.915753640002,1000.0
307719,10.230490684509277,273,3800,0.01112145185470581,8.339468002319336,0.004832319915294647,14805.650127620003,1000.0
315819,10.297951698303223,273,3900,-0.004136562347412109,8.451311111450195,-0.13870152831077576,14827.17120173,1000.0
323919,10.345309257507324,272,4000,-0.005377411842346191,8.206269264221191,-0.12389998883008957,14848.35848629,1000.0
332019,10.399618148803711,272,4100,-0.0004132986068725586,8.285538673400879,0.12418518215417862,14883.17866648,1000.0
340119,10.405738830566406,272,4200,0.009266495704650879,8.455220222473145,-0.2768651843070984,14934.988597100002,1000.0
348219,10.416644096374512,271,4300,-0.003547072410583496,8.389976501464844,0.0046375468373298645,14936.49634791,1000.0
356319,10.461518287658691,271,4400,-0.025543689727783203,8.389389038085938,-0.03763262927532196,14926.55243138,1000.0
364419,10.442254066467285,271,4500,-0.00817263126373291,8.436555862426758,0.1762881875038147,14929.01303323,1000.0
372519,10.48972225189209,271,4600,-0.0032656192779541016,8.60011100769043,-0.022793874144554138,14932.53077139,1000.0
380619,10.534235000610352,270,4700,0.03597360849380493,8.839696884155273,-0.6517422795295715,14937.08899911,1000.0
388719,10.547762870788574,270,4800,-0.003721952438354492,8.859207153320312,0.2194303274154663,14968.088206250002,1000.0
396819,10.54217529296875,270,4900,0.003313302993774414,8.736581802368164,-0.07086438685655594,14954.22722599,1000.0
404919,10.591646194458008,270,5000,-0.009093403816223145,8.84096622467041,0.0759199932217598,14990.88318248,1000.0
413019,10.612253189086914,270,5100,-0.006826043128967285,8.876317024230957,0.0670391246676445,14935.238584490002,1000.0
421119,10.58513069152832,269,5200,-0.009087681770324707,8.902639389038086,0.07329526543617249,14970.966528469999,1000.0
429219,10.636374473571777,269,5300,0.004356503486633301,8.798795700073242,-0.006123274564743042,14998.350935379998,1000.0
437319,10.695371627807617,269,5400,0.0046277642250061035,9.20231819152832,-0.2265263944864273,15045.991167990001,1000.0
445419,10.722586631774902,269,5500,0.005000770092010498,9.197218894958496,-0.4628739655017853,15056.74544461,1000.0
453519,10.73514461517334,269,5600,0.017422914505004883,9.266914367675781,-0.09569015353918076,15109.461227990003,1000.0
461619,10.79384708404541,268,5700,-0.010097980499267578,9.382678985595703,0.005117237567901611,15145.671272329997,1000.0
469719,10.780645370483398,268,5800,0.006789445877075195,9.563966751098633,-0.2707682251930237,15189.44112057,1000.0
477819,10.77230167388916,268,5900,0.0009263753890991211,9.5631103515625,-0.2816315293312073,15233.37937124,1000.0
485919,10.760537147521973,268,6000,-0.002284526824951172,9.76756763458252,-0.012114480137825012,15273.094399730002,1000.0
494019,10.777044296264648,268,6100,0.0024266839027404785,9.829582214355469,-0.3183748722076416,15309.394060700002,1000.0
502119,10.785463333129883,268,6200,0.001226186752319336,9.779594421386719,-0.08838837593793869,15353.857885350002,1000.0
510219,10.773910522460938,268,6300,0.00432509183883667,9.802990913391113,-0.17087501287460327,15383.884109250002,1000.0
518319,10.815484046936035,267,6400,-0.01671779155731201,9.857118606567383,0.19882595539093018,15461.370544449997,1000.0
526419,10.868751525878906,267,6500,0.005296647548675537,9.876606941223145,-0.26513901352882385,15505.092817239998,1000.0
534519,10.906110763549805,267,6600,0.008633315563201904,9.858607292175293,-0.08827377110719681,15521.59432119,1000.0
542619,10.92543888092041,267,6700,0.0012922286987304688,9.894681930541992,0.11960470676422119,15541.504262519999,1000.0
550719,10.957212448120117,267,6800,-0.001271963119506836,9.937115669250488,-0.4518427848815918,15580.418709380003,1000.0
558819,10.983643531799316,267,6900,0.017166435718536377,10.005717277526855,-0.14744500815868378,15604.549247610003,1000.0
566919,10.989218711853027,267,7000,0.021359801292419434,10.0358247756958,-0.13939467072486877,15601.571634010004,1000.0
575019,11.005011558532715,267,7100,-0.015866994857788086,9.98533821105957,-0.008858375251293182,15597.30412457,1000.0
583119,11.021939277648926,266,7200,0.02341616153717041,10.007482528686523,-0.3379269242286682,15598.39816216,1000.0
591219,11.018965721130371,266,7300,-0.006798267364501953,10.048288345336914,-0.018693946301937103,15597.212577610002,1000.0
599319,11.052970886230469,266,7400,-0.004941105842590332,10.100390434265137,0.11031436920166016,15581.476849900002,1000.0
