policy_loss,explained_variance,value_loss,policy_entropy,fps,nupdates,total_timesteps,ep_reward_mean,ep_len_mean
-0.18166233599185944,0.017322838306427002,3.8239078521728516,4.2568159103393555,57,1,0,,
-0.09626833349466324,0.21259617805480957,0.005302923731505871,3.3760428428649902,119,100,8019,7724.593355249999,1001.0
-0.2483956515789032,0.8346846550703049,0.008000172674655914,3.3551807403564453,116,200,16119,8482.254058416665,1001.0
0.02548857033252716,0.4059223532676697,0.010089993476867676,3.271815776824951,115,300,24219,9020.12780525,1001.0
-0.14113299548625946,0.6462354958057404,0.010805757716298103,3.2560715675354004,114,400,32319,9589.86344367857,1001.0
0.14280450344085693,-0.751030445098877,0.013057430274784565,3.168322801589966,114,500,40419,9985.86960475,1001.0
-0.2719455361366272,0.16164934635162354,0.019526973366737366,3.145740270614624,113,600,48519,10325.93919815909,1001.0
0.1257656216621399,-0.06780779361724854,0.0025652472395449877,3.074599504470825,113,700,56619,10496.257438634617,1001.0
-0.043810002505779266,0.36802470684051514,0.04354893043637276,3.1240384578704834,113,800,64719,10336.786579183334,1001.0
-0.08610650151968002,0.2779492139816284,0.011086859740316868,3.1471502780914307,113,900,72819,10009.176648250002,1001.0
-0.12986820936203003,0.8257787972688675,0.00819635670632124,3.1645889282226562,113,1000,80919,10060.745714394738,1001.0
-0.293007493019104,-0.6936919689178467,0.00839019101113081,3.1554951667785645,112,1100,89019,10183.13386225,1001.0
0.05002753064036369,0.995652187615633,0.005286417435854673,3.16090989112854,113,1200,97119,10323.920982913045,1001.0
-0.17265209555625916,0.9193428456783295,0.0016222897684201598,3.156625747680664,113,1300,105219,10385.76320658,1001.0
-0.12167154252529144,0.5625305473804474,0.0033668584655970335,3.149435520172119,113,1400,113319,10646.571963260001,1001.0
0.019130200147628784,0.19606906175613403,0.0015316850040107965,3.134849786758423,113,1500,121419,10945.250297669998,1001.0
-0.06922982633113861,0.6506213843822479,0.002105888444930315,3.1353371143341064,113,1600,129519,11078.870618099998,1001.0
-0.14203651249408722,-0.4004697799682617,0.0027912273071706295,3.117816925048828,113,1700,137619,11123.975039910001,1001.0
0.022617347538471222,-0.2981147766113281,0.0029388361144810915,3.0861382484436035,113,1800,145719,11194.04834878,1001.0
