fps,nupdates,value_loss,policy_loss,total_timesteps,policy_entropy,explained_variance,ep_len_mean,ep_reward_mean
108,1,0.4472258985042572,-0.3281048536300659,0,9.932570457458496,-0.2672363519668579,,
220,100,0.5489658117294312,-0.22622138261795044,13959,9.440333366394043,-49.332855224609375,1000.0,5.408133928571429
217,200,0.48325788974761963,0.03698597848415375,28059,9.482939720153809,-9.998299598693848,1000.0,5.64237042857143
217,300,0.23118466138839722,0.17081525921821594,42159,9.520903587341309,-2.7778172492980957,1000.0,5.4101052619047625
215,400,0.08422035723924637,-0.04236866533756256,56259,9.612531661987305,-149.69300842285156,1000.0,5.345721785714285
218,500,0.3628377616405487,0.09553482383489609,70359,9.652085304260254,0.2666212320327759,1000.0,6.310160842857144
220,600,1.1467690467834473,-0.034310586750507355,84459,9.688199996948242,-0.01698315143585205,1000.0,8.195840750000002
222,700,1.6006455421447754,-0.1633155643939972,98559,9.697988510131836,0.010809123516082764,1000.0,9.800780418367347
224,800,3.177281618118286,0.04020968824625015,112659,9.751802444458008,-0.04594743251800537,1000.0,12.399728389999998
226,900,9.274951934814453,0.1320924162864685,126759,9.809404373168945,-0.08206522464752197,1000.0,16.67824469
229,1000,53.00584411621094,0.06217697262763977,140859,9.880598068237305,0.08548629283905029,1000.0,26.9926279
232,1100,151.62913513183594,0.11717275530099869,154959,9.907362937927246,0.0009126067161560059,1000.0,62.48646486000001
236,1200,187.04296875,0.055319979786872864,169059,9.926912307739258,-0.0011175870895385742,1000.0,158.99693956
239,1300,313.7654724121094,-0.1787046194076538,183159,9.931533813476562,8.404254913330078e-06,1000.0,322.39122197999995
241,1400,324.5340270996094,-0.05326302722096443,197259,9.943299293518066,5.960464477539062e-07,1000.0,542.30902625
244,1500,514.2952880859375,-0.024332605302333832,211359,9.950871467590332,5.364418029785156e-07,1000.0,924.5088150700001
246,1600,899.8846435546875,-0.006211087107658386,225459,9.970823287963867,2.8789043426513672e-05,1000.0,1333.3708669799996
248,1700,633.0156860351562,-0.05085878074169159,239559,9.986276626586914,0.0,1000.0,1779.4715668099996
250,1800,780.4671630859375,0.07859767973423004,253659,9.995058059692383,2.384185791015625e-07,1000.0,2264.4740707
252,1900,655.1090087890625,-0.303580105304718,267759,10.02299976348877,1.3113021850585938e-06,1000.0,2722.83361102
254,2000,894.3525390625,-0.20902687311172485,281859,10.029576301574707,1.1920928955078125e-07,1000.0,3216.8392993199986
255,2100,1123.724609375,-0.21617066860198975,295959,10.031858444213867,4.76837158203125e-07,1000.0,3690.06727779
257,2200,1276.3677978515625,-0.6445988416671753,310059,10.039794921875,4.172325134277344e-07,1000.0,4061.15411015
258,2300,986.3469848632812,-0.032712072134017944,324159,10.047785758972168,-2.384185791015625e-07,1000.0,4423.58769621
259,2400,1215.438232421875,-0.08958481252193451,338259,10.056193351745605,2.980232238769531e-07,1000.0,4790.73586589
260,2500,1467.5867919921875,0.06694001704454422,352359,10.067479133605957,-1.1920928955078125e-07,1000.0,5115.6918293300005
261,2600,1533.5135498046875,0.08732742816209793,366459,10.076520919799805,-1.1920928955078125e-07,1000.0,5425.716371139999
262,2700,1549.050537109375,-0.160263791680336,380559,10.077959060668945,0.0,1000.0,5687.45502449
263,2800,1472.6734619140625,-0.26467365026474,394659,10.07848072052002,0.0,1000.0,5901.1703701199995
264,2900,1562.4971923828125,-0.25049400329589844,408759,10.080159187316895,1.7881393432617188e-07,1000.0,6104.10496757
264,3000,1637.5059814453125,0.049023568630218506,422859,10.086355209350586,-1.1920928955078125e-07,1000.0,6264.502726660001
265,3100,1435.4708251953125,0.040383368730545044,436959,10.087346076965332,-1.1920928955078125e-07,1000.0,6428.86801263
266,3200,1510.9893798828125,-0.08940111100673676,451059,10.098825454711914,2.384185791015625e-07,1000.0,6566.64950637
267,3300,1625.252197265625,-0.07367226481437683,465159,10.105631828308105,-1.1920928955078125e-07,1000.0,6685.237408610002
267,3400,1651.5384521484375,-0.13230443000793457,479259,10.115906715393066,0.0,1000.0,6793.1847763099995
268,3500,1545.8048095703125,-0.22886863350868225,493359,10.120351791381836,-4.76837158203125e-07,1000.0,6899.264748850001
268,3600,1609.6810302734375,-0.14961308240890503,507459,10.126951217651367,2.980232238769531e-07,1000.0,6994.548084860001
269,3700,1643.89794921875,0.0407838299870491,521559,10.127092361450195,-1.1920928955078125e-07,1000.0,7078.545273770001
269,3800,1714.35693359375,-0.15109001100063324,535659,10.133818626403809,3.5762786865234375e-07,1000.0,7133.67058345
270,3900,1773.131591796875,-0.13426664471626282,549759,10.135619163513184,3.5762786865234375e-07,1000.0,7205.51102812
270,4000,1900.4937744140625,0.04642476886510849,563859,10.139866828918457,-3.5762786865234375e-07,1000.0,7270.297016559999
271,4100,1961.6231689453125,-0.16666267812252045,577959,10.145674705505371,2.980232238769531e-07,1000.0,7330.943606650002
271,4200,1960.380859375,-0.19535955786705017,592059,10.150345802307129,4.172325134277344e-07,1000.0,7376.6295079599995
272,4300,2100.745849609375,-0.1272328794002533,606159,10.157557487487793,-1.1920928955078125e-07,1000.0,7407.129841449999
272,4400,2190.901611328125,-0.001795358955860138,620259,10.160277366638184,0.0,1000.0,7437.71880272
273,4500,2247.379638671875,-0.19370508193969727,634359,10.163289070129395,-2.384185791015625e-07,1000.0,7475.363501099999
273,4600,2262.33984375,0.106517493724823,648459,10.169601440429688,0.0,1000.0,7502.950508759998
273,4700,2438.67529296875,-0.30781713128089905,662559,10.171426773071289,2.980232238769531e-07,1000.0,7543.069191699999
274,4800,2495.209228515625,-0.06840455532073975,676659,10.173029899597168,-2.384185791015625e-07,1000.0,7583.41241928
274,4900,2641.87841796875,0.02842090278863907,690759,10.178370475769043,-1.1920928955078125e-07,1000.0,7613.42490568
274,5000,2701.92138671875,-0.15017369389533997,704859,10.183995246887207,0.0,1000.0,7631.75509991
275,5100,2855.33642578125,-0.0690164864063263,718959,10.191054344177246,0.0,1000.0,7647.773299189999
275,5200,3009.914306640625,0.10808876901865005,733059,10.196487426757812,0.0,1000.0,7675.443513190001
275,5300,3170.51318359375,-0.006943926215171814,747159,10.20146369934082,0.0,1000.0,7707.972109099999
