nupdates,value_loss,explained_variance,policy_loss,total_timesteps,fps,policy_entropy,ep_reward_mean,ep_len_mean
1700,0.0008172140223905444,-0.34014904499053955,-0.23074869811534882,56067,167,9.865764617919922,5.628384925925927,1000.0
1800,0.0025975159369409084,-0.6598086357116699,-0.2758074700832367,59367,169,9.838973045349121,6.117335947368421,1000.0
1900,0.0026175868697464466,-14.148530960083008,0.3240189254283905,62667,170,9.819604873657227,6.628647616666667,1000.0
2000,1.0009599924087524,0.0173947811126709,0.0749119371175766,65967,170,9.795919418334961,7.1446950625,1000.0
2100,0.0005724597722291946,-27.15097999572754,-0.06030188873410225,69267,171,9.791526794433594,7.559886626865673,1000.0
2200,0.08195526152849197,-0.7835012674331665,-0.42183563113212585,72567,172,9.734362602233887,8.264135142857144,1000.0
2300,0.006217995658516884,-0.41236352920532227,0.06192809343338013,75867,173,9.691226959228516,8.820762150684933,1000.0
2400,0.05679190903902054,-0.27063679695129395,-0.6343130469322205,79167,174,9.655609130859375,9.286527802631579,1000.0
2500,1.5737216472625732,0.09399443864822388,-0.29314160346984863,82467,173,9.607601165771484,9.936880687499999,1000.0
2600,0.017887013033032417,-11.007150650024414,-0.835822343826294,85767,174,9.571953773498535,10.662477819277107,1000.0
2700,0.0016055817250162363,-1.0146484375,-0.1350824236869812,89067,174,9.555716514587402,10.635483302325582,1000.0
2800,0.0014296500012278557,-0.8131610155105591,-0.3051973283290863,92367,175,9.531267166137695,10.493682325842697,1000.0
