fps,nupdates,policy_entropy,explained_variance,total_timesteps,value_loss,ep_reward_mean,ep_len_mean
283,72300,21.70250129699707,-0.21273434162139893,1446000,239.26693725585938,7694.12493427,1000.0
282,72400,21.715465545654297,0.043593645095825195,1448000,744288.375,7779.313315829999,1000.0
283,72500,21.6658935546875,0.06585538387298584,1450000,103.28608703613281,7779.313315829999,1000.0
282,72600,21.624446868896484,0.00803983211517334,1452000,873465.375,7977.46283384,1000.0
283,72700,21.62246322631836,0.9905994758009911,1454000,291.8793029785156,7977.46283384,1000.0
282,72800,21.621429443359375,-90.88008117675781,1456000,452098.4375,8061.004995179999,1000.0
283,72900,21.618453979492188,0.9888103269040585,1458000,353.2920837402344,8061.004995179999,1000.0
282,73000,21.63909912109375,-89.39408874511719,1460000,694986.875,8241.182556,1000.0
283,73100,21.548704147338867,0.04084903001785278,1462000,77.97894287109375,8241.182556,1000.0
282,73200,21.58780288696289,0.19235020875930786,1464000,862917.0,8385.81017135,1000.0
283,73300,21.57898712158203,0.9987358441576362,1466000,149.52359008789062,8385.81017135,1000.0
282,73400,21.587526321411133,-186.69720458984375,1468000,744720.3125,8554.121175240001,1000.0
283,73500,21.58356285095215,0.8801048323512077,1470000,271.95458984375,8554.121175240001,1000.0
282,73600,21.57516098022461,-0.6866248846054077,1472000,1034749.6875,8748.404136230001,1000.0
283,73700,21.566003799438477,0.48824310302734375,1474000,96.13154602050781,8748.404136230001,1000.0
282,73800,21.520824432373047,0.05190616846084595,1476000,1094013.875,8906.491136999999,1000.0
283,73900,21.520597457885742,0.0014585256576538086,1478000,276.15093994140625,8906.491136999999,1000.0
282,74000,21.50339698791504,0.006708383560180664,1480000,1090953.75,9051.069597360001,1000.0
283,74100,21.494230270385742,0.021824002265930176,1482000,44.83649444580078,9051.069597360001,1000.0
282,74200,21.468536376953125,0.014011383056640625,1484000,1102406.375,9217.41491919,1000.0
282,74300,21.48443603515625,-0.10782814025878906,1486000,36.927635192871094,9217.41491919,1000.0
282,74400,21.465246200561523,0.007103919982910156,1488000,1116355.625,9414.72409568,1000.0
282,74500,21.485868453979492,0.005038142204284668,1490000,128.42283630371094,9414.72409568,1000.0
282,74600,21.510496139526367,0.15811777114868164,1492000,1124596.5,9613.605166509999,1000.0
282,74700,21.511493682861328,0.05424821376800537,1494000,195.3645782470703,9613.605166509999,1000.0
282,74800,21.525392532348633,0.3698576092720032,1496000,1130449.625,9818.91443145,1000.0
282,74900,21.50823974609375,0.3451991081237793,1498000,59.59112548828125,9818.91443145,1000.0
282,75000,21.473196029663086,0.0022382140159606934,1500000,1130318.25,9981.21421268,1000.0
282,75100,21.459426879882812,0.9872787743806839,1502000,86.0841293334961,9981.21421268,1000.0
282,75200,21.458148956298828,-23.56578254699707,1504000,1030217.375,10041.28015426,1000.0
282,75300,21.443767547607422,0.02735757827758789,1506000,164.98593139648438,10041.28015426,1000.0
282,75400,21.439470291137695,0.034748375415802,1508000,1164902.375,10284.22395593,1000.0
282,75500,21.437480926513672,0.9742378480732441,1510000,76.25978088378906,10284.22395593,1000.0
282,75600,21.433639526367188,0.000698089599609375,1512000,1172151.125,10562.576163000002,1000.0
282,75700,21.43111801147461,0.9993136513512582,1514000,44.78488540649414,10562.576163000002,1000.0
282,75800,21.433822631835938,-293.0643310546875,1516000,933357.125,10671.281387390001,1000.0
282,75900,21.425045013427734,0.9900394212454557,1518000,122.2253646850586,10671.281387390001,1000.0
282,76000,21.403873443603516,-22.910045623779297,1520000,1041416.625,10835.39787789,1000.0
282,76100,21.367828369140625,0.02893918752670288,1522000,67.1259765625,10835.39787789,1000.0
282,76200,21.350767135620117,-0.006382346153259277,1524000,1215428.0,10944.99154721,1000.0
282,76300,21.324249267578125,-0.0024431943893432617,1526000,80.29312896728516,10944.99154721,1000.0
282,76400,21.30855941772461,0.005106747150421143,1528000,1240879.25,11056.87265232,1000.0
282,76500,21.306560516357422,0.995097725186497,1530000,57.292442321777344,11056.87265232,1000.0
282,76600,21.303512573242188,-84.29150390625,1532000,624115.125,11035.290342839999,1000.0
282,76700,21.28704071044922,0.7943940758705139,1534000,9.134922981262207,11035.290342839999,1000.0
282,76800,21.21870994567871,-0.002024531364440918,1536000,1243131.75,11167.000685300001,1000.0
282,76900,21.21068572998047,-0.05625307559967041,1538000,127.7637710571289,11167.000685300001,1000.0
282,77000,21.22357940673828,-216.5059356689453,1540000,964255.8125,11308.724869509999,1000.0
282,77100,21.20855712890625,0.9945130296982825,1542000,144.43527221679688,11308.724869509999,1000.0
282,77200,21.2056884765625,-21.61492919921875,1544000,1142032.5,11466.641618080002,1000.0
282,77300,21.198692321777344,0.9999305802484741,1546000,16.410383224487305,11466.641618080002,1000.0
282,77400,21.197181701660156,-203.3601531982422,1548000,999672.6875,11520.663437520001,1000.0
282,77500,21.177427291870117,0.06059837341308594,1550000,19.484088897705078,11520.663437520001,1000.0
282,77600,21.18535614013672,-129.73477172851562,1552000,1020101.6875,11530.068620889999,1000.0
282,77700,21.178970336914062,0.9916719375178218,1554000,131.6288299560547,11530.068620889999,1000.0
282,77800,21.160926818847656,-0.00047791004180908203,1556000,1277986.5,11753.56273967,1000.0
282,77900,21.136009216308594,-0.0001360177993774414,1558000,169.0547637939453,11753.56273967,1000.0
282,78000,21.092147827148438,-102.85002136230469,1560000,1064484.75,11848.80332037,1000.0
282,78100,21.09246063232422,0.9997755689546466,1562000,29.92364501953125,11848.80332037,1000.0
282,78200,21.091882705688477,-1296.1063232421875,1564000,485799.3125,11756.660937600001,1000.0
282,78300,21.0555477142334,0.0440787672996521,1566000,79.42817687988281,11756.660937600001,1000.0
282,78400,21.064599990844727,-0.0034499168395996094,1568000,1308110.125,11830.649815200002,1000.0
282,78500,21.061723709106445,0.9989758464507759,1570000,148.1897735595703,11830.649815200002,1000.0
282,78600,21.056888580322266,-164.1392822265625,1572000,893682.3125,11785.88062592,1000.0
282,78700,21.044076919555664,0.006600737571716309,1574000,176.55471801757812,11785.88062592,1000.0
282,78800,21.01862144470215,-0.0035431385040283203,1576000,1328150.0,11850.623266379998,1000.0
282,78900,21.021135330200195,0.9995684839377645,1578000,39.9127082824707,11850.623266379998,1000.0
282,79000,21.025651931762695,-199.4132080078125,1580000,1068062.375,11844.705225500002,1000.0
