explained_variance,fps,nupdates,value_loss,policy_entropy,policy_loss,total_timesteps,ep_len_mean,ep_reward_mean
-0.00675201416015625,127,1,0.759595513343811,9.932570457458496,-0.10360042750835419,0,,
-13.708789825439453,272,100,2.458589553833008,9.98582649230957,-0.25938665866851807,13959,1000.0,7.349671571428572
-0.33588647842407227,266,200,0.5472294688224792,10.025747299194336,-0.021767757833003998,28059,1000.0,6.225551464285714
0.2723338007926941,264,300,1.902554988861084,10.035857200622559,-0.15722930431365967,42159,1000.0,8.538661761904763
-0.11441004276275635,259,400,11.622153282165527,10.045002937316895,0.041219279170036316,56259,1000.0,16.623934517857144
-5.342031002044678,251,500,7.1848931312561035,10.018284797668457,-0.11325040459632874,70359,1000.0,23.03672312857143
0.037425875663757324,246,600,7.0437774658203125,9.985871315002441,-0.315286785364151,84459,1000.0,28.499617047619047
0.0010254383087158203,242,700,5.7453694343566895,9.898076057434082,-0.17790445685386658,98559,1000.0,32.84306565306123
-0.004338741302490234,239,800,5.0799641609191895,9.89495849609375,0.02505570650100708,112659,1000.0,39.46367308000001
0.00594562292098999,237,900,4.6827263832092285,9.895490646362305,-0.06847122311592102,126759,1000.0,46.80482255
-0.021524667739868164,236,1000,4.446559906005859,9.943296432495117,0.15199236571788788,140859,1000.0,52.968737729999994
0.0028778910636901855,235,1100,4.288405895233154,9.979108810424805,-0.019446149468421936,154959,1000.0,55.65174365
0.02459317445755005,234,1200,4.276258945465088,10.041203498840332,0.0357045903801918,169059,1000.0,56.44131397999999
-0.027301907539367676,233,1300,4.3674235343933105,10.100118637084961,0.1260107457637787,183159,1000.0,56.69768149000001
0.0029753446578979492,232,1400,4.613561630249023,10.115190505981445,-0.18352264165878296,197259,1000.0,56.665120559999984
0.002368450164794922,231,1500,4.569117069244385,10.151982307434082,-0.12458664178848267,211359,1000.0,56.53476005
-0.017199993133544922,231,1600,4.697027683258057,10.161958694458008,-0.30851179361343384,225459,1000.0,56.18657926
-0.017130017280578613,231,1700,5.3031158447265625,10.196105003356934,-0.1367282271385193,239559,1000.0,56.43666147999999
-0.12972629070281982,230,1800,5.652080535888672,10.129007339477539,-0.10638655722141266,253659,1000.0,56.731123
-0.47485387325286865,230,1900,5.564844131469727,10.145856857299805,-0.2712123394012451,267759,1000.0,56.93210335999999
-1.2308380603790283,230,2000,5.590418338775635,10.18480110168457,0.11412271857261658,281859,1000.0,56.82778864000001
-13.361725807189941,230,2100,4.144847393035889,10.287297248840332,-0.020999915897846222,295959,1000.0,56.0102925
-1.6232678890228271,230,2200,5.78018856048584,10.312417984008789,0.0226675346493721,310059,1000.0,55.88127283
-0.624335527420044,230,2300,6.197803020477295,10.365605354309082,-0.12470877170562744,324159,1000.0,56.209142459999995
-2.1419384479522705,230,2400,5.8147053718566895,10.414586067199707,-0.18116885423660278,338259,1000.0,56.0249415
-1.8052074909210205,230,2500,5.703701496124268,10.418595314025879,-0.08484257757663727,352359,1000.0,55.47170097
-0.8286521434783936,229,2600,5.980525970458984,10.514493942260742,-0.17319892346858978,366459,1000.0,55.47170248
-0.7056020498275757,229,2700,5.602655410766602,10.575932502746582,-0.02236916869878769,380559,1000.0,55.470876829999995
-0.8067251443862915,229,2800,6.151308536529541,10.680872917175293,0.2413625717163086,394659,1000.0,55.44598641
-0.15821969509124756,229,2900,7.455552577972412,10.71495246887207,-0.05647251754999161,408759,1000.0,56.038486889999994
-0.20135855674743652,229,3000,7.686316013336182,10.79645824432373,-0.2517954707145691,422859,1000.0,56.11804271000001
-0.5565418004989624,229,3100,7.350271224975586,10.85399341583252,-0.22625675797462463,436959,1000.0,56.117896689999995
-0.3684016466140747,229,3200,7.375571250915527,10.913029670715332,0.15652447938919067,451059,1000.0,56.503666620000004
-0.48217082023620605,229,3300,7.511518955230713,10.946431159973145,-0.27715370059013367,465159,1000.0,55.87406276000001
-0.25160717964172363,229,3400,6.898895263671875,10.978483200073242,-0.11607766151428223,479259,1000.0,55.47662353999999
-0.0601193904876709,229,3500,7.472472190856934,11.033564567565918,-0.33695679903030396,493359,1000.0,55.71478846000001
-0.1487889289855957,229,3600,7.999726295471191,11.111598014831543,0.04076646268367767,507459,1000.0,55.80595394000001
-0.12627851963043213,229,3700,8.24339485168457,11.213719367980957,0.04416007548570633,521559,1000.0,55.773479099999996
-0.004552364349365234,229,3800,8.710549354553223,11.286437034606934,-0.1798747479915619,535659,1000.0,56.01759873
-0.008150339126586914,229,3900,8.99972915649414,11.359715461730957,-0.04833722114562988,549759,1000.0,56.13688069
-0.027774453163146973,229,4000,9.114140510559082,11.41987133026123,0.26105010509490967,563859,1000.0,57.21782061
-0.16851472854614258,229,4100,8.60344409942627,11.449480056762695,-0.06986404210329056,577959,1000.0,57.725670810000004
-0.15315783023834229,229,4200,8.941039085388184,11.533143997192383,-0.014504678547382355,592059,1000.0,58.119650359999994
-0.14667630195617676,229,4300,9.411229133605957,11.628788948059082,-0.11520320177078247,606159,1000.0,58.2829076
-0.14553916454315186,229,4400,9.443008422851562,11.675047874450684,-0.2670394778251648,620259,1000.0,58.243067780000004
-0.039691805839538574,229,4500,9.610383987426758,11.687793731689453,-0.10239254683256149,634359,1000.0,58.21502016
-0.12593138217926025,229,4600,9.88853931427002,11.728116989135742,-0.3550418019294739,648459,1000.0,58.22384397
0.0011415481567382812,229,4700,9.94201946258545,11.753474235534668,-0.14964887499809265,662559,1000.0,58.18661269999998
-0.012702226638793945,229,4800,9.440834999084473,11.754302024841309,0.10124921053647995,676659,1000.0,58.08160007999999
-0.013998627662658691,229,4900,9.51523208618164,11.830689430236816,-0.1619434803724289,690759,1000.0,58.08754502
-0.010147571563720703,228,5000,9.645845413208008,11.835322380065918,0.019374415278434753,704859,1000.0,58.06939646000001
-0.058861732482910156,228,5100,10.046751976013184,11.862334251403809,-0.12695899605751038,718959,1000.0,58.02928875999999
-0.015011429786682129,228,5200,10.104401588439941,11.900416374206543,-0.2682395875453949,733059,1000.0,58.052195440000006
-0.01611459255218506,228,5300,9.994818687438965,11.897273063659668,-0.18884198367595673,747159,1000.0,58.07843957
-0.02059626579284668,228,5400,10.064696311950684,11.934131622314453,-0.2597293257713318,761259,1000.0,58.13632161
-0.037537336349487305,228,5500,10.335604667663574,11.954072952270508,-0.34580478072166443,775359,1000.0,58.253630990000005
-0.014268755912780762,228,5600,10.713574409484863,11.984695434570312,-0.0816521942615509,789459,1000.0,58.38286394
-0.0026613473892211914,228,5700,11.0405912399292,12.04055404663086,0.066072016954422,803559,1000.0,58.455850489999996
-0.004800200462341309,228,5800,11.36063003540039,12.078434944152832,-0.24628981947898865,817659,1000.0,58.56659417000001
0.0017136931419372559,228,5900,11.211202621459961,12.069350242614746,-0.02642807364463806,831759,1000.0,58.63848831999999
-0.0009565353393554688,228,6000,11.738662719726562,12.095674514770508,-0.2501785457134247,845859,1000.0,58.75471066999999
0.012504279613494873,228,6100,11.88573932647705,12.151432037353516,-0.27214115858078003,859959,1000.0,58.74355485
-0.020242691040039062,228,6200,11.749031066894531,12.154404640197754,0.01669786125421524,874059,1000.0,58.715571849999975
0.003739655017852783,228,6300,11.985526084899902,12.141453742980957,-0.03351590037345886,888159,1000.0,58.65946376
-0.011851906776428223,227,6400,12.085253715515137,12.137405395507812,0.01462460309267044,902259,1000.0,58.715635029999994
0.003636777400970459,227,6500,12.433273315429688,12.160248756408691,-0.21271805465221405,916359,1000.0,58.88700362000002
-0.031086087226867676,227,6600,12.731644630432129,12.161564826965332,-0.0077586546540260315,930459,1000.0,59.127535169999994
-0.012731075286865234,227,6700,13.040301322937012,12.219664573669434,-0.14678579568862915,944559,1000.0,59.47140254
0.023920059204101562,227,6800,14.41611099243164,12.238724708557129,-0.2860991954803467,958659,1000.0,60.88794619000001
0.010916829109191895,227,6900,15.50031566619873,12.2449951171875,0.16657136380672455,972759,1000.0,63.015905169999996
-0.032662034034729004,227,7000,16.215126037597656,12.259577751159668,-0.02180318534374237,986859,1000.0,65.58346153
-0.06758606433868408,227,7100,15.861079216003418,12.26655101776123,-0.04301678389310837,1000959,1000.0,68.27967747000001
