total_timesteps,policy_entropy,fps,value_loss,nupdates,explained_variance,ep_len_mean,ep_reward_mean
634500,42.30210876464844,298,0.01286028977483511,42300,0.279910147190094,1000.0,633.4059875700001
636000,42.40052032470703,298,3800.06787109375,42400,0.0006583929061889648,1000.0,633.69545734
637500,42.47108459472656,298,0.004810731392353773,42500,0.26790833473205566,1000.0,633.69545734
639000,42.53450012207031,298,3762.3837890625,42600,-0.03467857837677002,1000.0,633.9532626999999
640500,42.57508850097656,298,0.005756126716732979,42700,0.01237642765045166,1000.0,633.9532626999999
642000,42.61750793457031,298,3823.236572265625,42800,0.00905919075012207,1000.0,632.63003331
643500,42.70347213745117,298,0.0035981335677206516,42900,-2.108253240585327,1000.0,632.63003331
645000,42.76819610595703,298,3852.611572265625,43000,-0.013608813285827637,1000.0,632.43496028
646500,42.86503601074219,298,0.015468750149011612,43100,0.39286094903945923,1000.0,632.43496028
648000,42.938232421875,298,3796.8193359375,43200,0.09212034940719604,1000.0,632.2785212599999
649500,42.95188903808594,298,0.03213975578546524,43300,0.2913163900375366,1000.0,632.2785212599999
651000,43.030845642089844,298,3844.87646484375,43400,0.022781550884246826,1000.0,632.35412897
652500,43.10761642456055,298,0.05150819569826126,43500,0.08930379152297974,1000.0,632.35412897
654000,43.16228103637695,298,3801.78076171875,43600,0.0033029913902282715,1000.0,631.62240446
655500,43.23321533203125,298,0.004533397499471903,43700,0.2703399658203125,1000.0,631.62240446
657000,43.32154083251953,298,3805.767333984375,43800,0.008960545063018799,1000.0,631.78272754
658500,43.37995529174805,298,0.0010506617836654186,43900,0.6452961564064026,1000.0,631.78272754
660000,43.42768859863281,298,3756.031494140625,44000,-0.015040278434753418,1000.0,631.6860252500001
661500,43.513614654541016,298,0.0771106630563736,44100,0.05492204427719116,1000.0,631.6860252500001
663000,43.59493637084961,298,3811.78759765625,44200,-0.03725790977478027,1000.0,631.5564461900001
664500,43.69605255126953,298,0.009636225178837776,44300,-0.9627771377563477,1000.0,631.5564461900001
666000,43.77303695678711,298,3831.7578125,44400,-0.017776012420654297,1000.0,631.5688090799999
667500,43.852962493896484,298,0.0014964104630053043,44500,0.09181416034698486,1000.0,631.5688090799999
669000,43.88762283325195,298,3855.193115234375,44600,0.09801137447357178,1000.0,632.1686647
670500,43.92967987060547,298,0.0029355990700423717,44700,-0.07912802696228027,1000.0,632.1686647
672000,43.98305130004883,298,3836.8818359375,44800,-0.003375530242919922,1000.0,632.06930068
673500,44.04810333251953,298,0.01619301363825798,44900,0.15449708700180054,1000.0,632.06930068
675000,44.07628631591797,298,3830.099365234375,45000,0.013675034046173096,1000.0,632.00577889
676500,44.15940856933594,298,0.004756837617605925,45100,-0.6066114902496338,1000.0,632.00577889
678000,44.256656646728516,298,3848.79638671875,45200,-0.0031675100326538086,1000.0,631.4863389
679500,44.34468078613281,298,0.006274892948567867,45300,-0.09317278861999512,1000.0,631.4863389
681000,44.40255355834961,298,3734.370361328125,45400,-0.0671536922454834,1000.0,631.39217159
682500,44.462646484375,298,0.01841691881418228,45500,-0.2979252338409424,1000.0,631.39217159
684000,44.499977111816406,298,3731.4521484375,45600,-0.06298506259918213,1000.0,631.41761975
685500,44.52888488769531,298,0.008106875233352184,45700,0.3172450065612793,1000.0,631.41761975
687000,44.580379486083984,298,3745.3349609375,45800,-0.3963233232498169,1000.0,631.57669208
688500,44.61482620239258,298,0.03069734014570713,45900,-0.7344233989715576,1000.0,631.57669208
690000,44.677711486816406,298,3853.31201171875,46000,-0.02510356903076172,1000.0,631.6512552300001
691500,44.73265838623047,298,0.014084277674555779,46100,0.12944841384887695,1000.0,631.6512552300001
693000,44.804832458496094,298,3853.957763671875,46200,-0.0031136274337768555,1000.0,631.92826127
694500,44.88697814941406,298,0.0044296663254499435,46300,-0.1566997766494751,1000.0,631.92826127
696000,44.98521041870117,298,3822.180908203125,46400,0.005697727203369141,1000.0,631.89928278
697500,45.11351776123047,298,0.00658872677013278,46500,0.5031450092792511,1000.0,631.89928278
