total_timesteps,explained_variance,nupdates,fps,policy_entropy,policy_loss,value_loss,ep_reward_mean,ep_len_mean
761259,0.0033665895462036133,5400,284,11.058577537536621,-0.3121461868286133,4.540346145629883,15793.91933539,1000.0
775359,0.0014970898628234863,5500,285,11.123677253723145,-0.2646886110305786,4.534581661224365,15800.903362710002,1000.0
789459,0.007639825344085693,5600,285,11.162837028503418,-0.2274031788110733,4.559797286987305,15843.73356079,1000.0
803559,0.0037159323692321777,5700,286,11.213790893554688,-0.19425559043884277,4.603708267211914,15889.00552163,1000.0
817659,-0.00023567676544189453,5800,286,11.276524543762207,0.12832215428352356,4.635836124420166,15969.538043129998,1000.0
831759,-0.015614509582519531,5900,287,11.344843864440918,-0.05826818197965622,4.682618141174316,15993.303140189999,1000.0
845859,-0.0075005292892456055,6000,287,11.468277931213379,-0.07429194450378418,4.815021514892578,16043.889369109997,1000.0
859959,0.006432175636291504,6100,287,11.50147533416748,-0.3000025749206543,4.860552787780762,16076.65188145,1000.0
874059,0.02134019136428833,6200,288,11.55754566192627,-0.05949907749891281,4.952303409576416,16104.376180409996,1000.0
888159,-0.0002943277359008789,6300,288,11.579635620117188,-0.3513425588607788,5.040891170501709,16104.10809314,1000.0
902259,-0.00531005859375,6400,289,11.611756324768066,0.4308765232563019,5.0778632164001465,16110.937404589997,1000.0
916359,-0.020130038261413574,6500,289,11.626221656799316,-0.24616922438144684,5.043092250823975,16067.400359059999,1000.0
930459,-0.0042542219161987305,6600,289,11.699402809143066,0.08315426111221313,5.057126998901367,16065.91640952,1000.0
944559,0.00772547721862793,6700,290,11.742350578308105,-0.44957032799720764,4.997958660125732,16072.303568849999,1000.0
958659,0.0002276301383972168,6800,290,11.768111228942871,-0.07972449064254761,4.930856227874756,16033.90265576,1000.0
972759,-0.0009392499923706055,6900,290,11.789108276367188,-0.0054971277713775635,4.851424694061279,16026.224739770003,1000.0
986859,-0.0003399848937988281,7000,291,11.805222511291504,0.058515019714832306,4.802891731262207,16046.264985840002,1000.0
1000959,0.0042078495025634766,7100,291,11.80586051940918,-0.23755736649036407,4.771831512451172,16074.948299730004,1000.0
