total_timesteps,explained_variance,nupdates,fps,policy_entropy,policy_loss,value_loss,ep_reward_mean,ep_len_mean
0,0.11228686571121216,1,109,9.932570457458496,-0.5174955725669861,19.240493774414062,,
13959,-470.41351318359375,100,275,9.945566177368164,-0.16010314226150513,0.9207744002342224,285.0328847857143,1000.0
28059,-245.35244750976562,200,279,9.976241111755371,-0.27586886286735535,0.8433113098144531,290.5316900357143,1000.0
42159,-300.5361633300781,300,280,10.015737533569336,-0.2894023060798645,0.7012849450111389,264.63528740476187,1000.0
56259,-6078.65625,400,282,10.052186012268066,-0.16985809803009033,0.5210773348808289,239.82987675000004,1000.0
70359,-11300.921875,500,284,10.07130241394043,-0.21729610860347748,0.45196741819381714,273.4966851142857,1000.0
84459,-11.858121871948242,600,204,10.085240364074707,-0.3441566228866577,1.1860897541046143,302.3738276071428,1000.0
98559,0.29096853733062744,700,187,10.087057113647461,-0.004980802536010742,1.7535732984542847,428.2188188877551,1000.0
112659,0.3921411633491516,800,195,10.095942497253418,-0.18364405632019043,4.167501926422119,612.28333032,1000.0
126759,0.001298666000366211,900,203,10.161642074584961,-0.12170453369617462,10.209890365600586,1146.5073448599999,1000.0
140859,-0.101173996925354,1000,210,10.189485549926758,-0.0721021518111229,11.444422721862793,1958.5956996800003,1000.0
154959,0.11638712882995605,1100,215,10.208521842956543,-0.10309954732656479,10.045689582824707,3243.63212764,1000.0
169059,0.044853806495666504,1200,221,10.148275375366211,-0.2357034683227539,10.437434196472168,4872.45323088,1000.0
183159,0.017057955265045166,1300,225,10.086549758911133,-0.227283775806427,9.584476470947266,6821.724312649999,1000.0
197259,-0.024286270141601562,1400,230,10.016386985778809,-0.5456136465072632,7.982740879058838,8788.74118603,1000.0
211359,0.0009630918502807617,1500,233,9.977296829223633,-0.023674823343753815,6.631533145904541,10694.56917739,1000.0
225459,0.002762138843536377,1600,237,9.949427604675293,-0.20202529430389404,5.6865668296813965,12307.647084069999,1000.0
239559,-0.002093672752380371,1700,240,9.959761619567871,-0.06409899145364761,5.075407028198242,13662.65160179,1000.0
253659,-0.020786285400390625,1800,243,9.953550338745117,-0.02722317725419998,4.549099922180176,14528.5675846,1000.0
267759,-0.0033228397369384766,1900,246,9.928953170776367,-0.036802198737859726,4.169997215270996,15021.78296667,1000.0
281859,0.008863985538482666,2000,248,9.901875495910645,-0.10178133100271225,3.935762643814087,15189.364553880003,1000.0
295959,-0.02151668071746826,2100,250,9.903352737426758,0.07705774158239365,3.8269975185394287,15243.06849207,1000.0
310059,0.005370497703552246,2200,253,9.867631912231445,-0.2504262626171112,3.732495069503784,15256.718904250001,1000.0
324159,0.006596684455871582,2300,254,9.8289794921875,-0.15895770490169525,3.6550276279449463,15243.876714630002,1000.0
338259,-0.005890250205993652,2400,256,9.859400749206543,-0.01072092354297638,3.6156089305877686,15246.904446749999,1000.0
352359,0.021311402320861816,2500,258,9.916921615600586,-0.13213561475276947,3.600367546081543,15288.819823459999,1000.0
366459,-0.007390022277832031,2600,260,9.961362838745117,0.11745623499155045,3.5404114723205566,15383.428894570003,1000.0
380559,-0.0008935928344726562,2700,261,9.9403076171875,0.03086131066083908,3.5523879528045654,15438.565702509999,1000.0
394659,0.0022385716438293457,2800,263,9.964442253112793,-0.20482772588729858,3.521898031234741,15490.31296075,1000.0
408759,0.0024753212928771973,2900,264,9.937504768371582,-0.029579877853393555,3.516554594039917,15540.81924186,1000.0
422859,0.009312927722930908,3000,265,10.002347946166992,-0.2528409957885742,3.5349130630493164,15624.540076740002,1000.0
436959,0.010982155799865723,3100,267,10.081289291381836,-0.12886106967926025,3.548713207244873,15638.768411539997,1000.0
451059,-0.0005717277526855469,3200,268,10.153227806091309,0.14134454727172852,3.591550350189209,15587.45340254,1000.0
465159,-0.007134795188903809,3300,269,10.19798469543457,-0.16120629012584686,3.632176160812378,15564.302288940002,1000.0
479259,-0.0025069713592529297,3400,270,10.243281364440918,-0.15848325192928314,3.6797091960906982,15544.92443042,1000.0
493359,-0.008698463439941406,3500,271,10.336782455444336,-0.17104019224643707,3.662245512008667,15515.551086500001,1000.0
507459,-0.00917506217956543,3600,272,10.358139991760254,-0.10726527869701385,3.6685638427734375,15537.690234970001,1000.0
521559,0.011722028255462646,3700,273,10.339533805847168,-0.11097699403762817,3.769712209701538,15555.894962030003,1000.0
535659,-0.010430097579956055,3800,274,10.428452491760254,-0.3134862780570984,3.8570613861083984,15576.34004528,1000.0
549759,0.002793431282043457,3900,275,10.503522872924805,-0.2888435125350952,3.961636781692505,15623.927820730001,1000.0
563859,-0.017420530319213867,4000,276,10.456812858581543,0.2746424973011017,3.9466822147369385,15597.54504876,1000.0
577959,-0.004478931427001953,4100,276,10.499814987182617,0.19736933708190918,4.025962829589844,15563.51730961,1000.0
592059,-0.036548614501953125,4200,277,10.556248664855957,-0.20188277959823608,3.964407444000244,15574.626573290001,1000.0
606159,-0.017766118049621582,4300,278,10.559733390808105,-0.4747115969657898,3.9618778228759766,15489.53812137,1000.0
620259,-0.007860660552978516,4400,279,10.598739624023438,-0.05266299098730087,3.982560873031616,15401.812119370003,1000.0
634359,-0.002520322799682617,4500,279,10.616978645324707,-0.18745958805084229,4.073170185089111,15390.52766483,1000.0
648459,-0.004136085510253906,4600,280,10.680174827575684,0.1625586450099945,4.111822605133057,15425.512431690002,1000.0
662559,-0.0014051198959350586,4700,281,10.711100578308105,-0.05531905218958855,4.169288158416748,15461.202838590001,1000.0
676659,0.0037789344787597656,4800,281,10.809294700622559,-0.28729182481765747,4.248022079467773,15509.266262779996,1000.0
690759,-0.0028357505798339844,4900,282,10.81245231628418,-0.31090137362480164,4.252290725708008,15512.06033809,1000.0
704859,0.0034192800521850586,5000,282,10.820246696472168,-0.30670270323753357,4.304191589355469,15579.492156329998,1000.0
718959,0.004858970642089844,5100,283,10.90345287322998,0.005341462790966034,4.372008323669434,15624.259531249998,1000.0
733059,0.0038024187088012695,5200,283,10.997679710388184,-0.20292550325393677,4.434819221496582,15699.76839075,1000.0
747159,-0.007799386978149414,5300,284,11.060105323791504,-0.09047906845808029,4.511165618896484,15730.469422250002,1000.0
