total/epochs,reference_action_std,reference_action_mean,total/steps_per_second,rollout/return,rollout/episodes,reference_actor_Q_mean,total/steps,rollout/actions_mean,reference_actor_Q_std,train/param_noise_distance,rollout/episode_steps,rollout/Q_mean,reference_Q_std,total/duration,reference_Q_mean,rollout/return_history,train/loss_actor,rollout/actions_std,train/loss_critic,total/episodes
1,0.8986443877220154,0.15715637803077698,137.65280131064281,6.6415435833544505,10.0,0.47807541489601135,9998,0.19378003478050232,0.4444877505302429,0.0,1000.0,0.30236557126045227,0.20068588852882385,72.63201260566711,0.3875812888145447,6.6415435833544505,-0.4574584662914276,0.9090285897254944,0.006610576994717121,10.0
1,0.9034531712532043,0.4285476505756378,139.94624816981835,4.12186742931317,20.0,0.6591363549232483,19998,0.2749980092048645,0.31457027792930603,0.0,1000.0,0.5064553022384644,0.46195992827415466,142.89772152900696,0.7825939655303955,4.12186742931317,-0.7455196976661682,0.92023104429245,0.01161059457808733,20.0
1,0.9034867882728577,0.42857709527015686,141.75211589940736,3.0496946103067484,30.0,0.6721277236938477,29998,0.32618892192840576,0.22386372089385986,0.0,1000.0,0.6337722539901733,0.2508023679256439,211.62294340133667,0.6715940237045288,3.0496946103067484,-0.7816614508628845,0.917550802230835,0.003814270254224539,30.0
1,0.7676696181297302,0.37056636810302734,142.689082554099,2.550815495450422,40.0,1.5030183792114258,39998,0.35282716155052185,0.6237571239471436,0.0,1000.0,0.6925411820411682,0.4626302421092987,280.3157696723938,1.3069484233856201,2.550815495450422,-1.155705213546753,0.9014623165130615,0.004486126825213432,40.0
1,0.7684167623519897,0.5792080760002136,141.5259232803252,2.4387041424086964,50.0,1.5424866676330566,49998,0.3361724019050598,0.8896170854568481,0.0,1000.0,0.8795390129089355,0.7503857612609863,353.27803444862366,1.4545903205871582,2.4387041424086964,-1.5321950912475586,0.8981282114982605,0.019569020718336105,50.0
1,0.7969269752502441,0.42842546105384827,140.578896613951,2.7425016500904804,60.0,1.4732365608215332,59998,0.35354840755462646,0.18585273623466492,0.0,1000.0,1.0133787393569946,0.35469183325767517,426.79236674308777,1.5163675546646118,2.7425016500904804,-1.642250657081604,0.8975651860237122,0.004204841796308756,60.0
1,0.9098367691040039,0.2433469593524933,139.97985529162486,3.1449144348807816,70.0,1.8999766111373901,69998,0.3369424343109131,0.4372725486755371,0.0,1000.0,1.0890834331512451,0.40249964594841003,500.05766797065735,1.8809802532196045,3.1449144348807816,-2.1718087196350098,0.9025800824165344,0.004837032873183489,70.0
1,0.961543619632721,0.1439942568540573,139.3130234208032,3.478144580995547,80.0,1.7839443683624268,79998,0.31265610456466675,0.4900085926055908,0.0,1000.0,1.13425874710083,0.4680989384651184,574.2320282459259,1.9313467741012573,3.478144580995547,-1.934114694595337,0.9154070615768433,0.006375265307724476,80.0
1,0.8888697624206543,0.3760211765766144,139.3503507235983,5.4256489982634255,90.0,1.942899465560913,89998,0.31428736448287964,0.4930223524570465,0.0,1000.0,1.189178705215454,0.4276658892631531,645.8397810459137,1.8775907754898071,5.4256489982634255,-1.69150972366333,0.910628080368042,0.015154902823269367,90.0
1,0.9024415612220764,0.3282529413700104,139.71393361577077,5.566752562973335,100.0,2.190403461456299,99998,0.3296009302139282,0.33388903737068176,0.0,1000.0,1.2403236627578735,0.3518714904785156,715.7339100837708,2.0519814491271973,5.566752562973335,-2.0355639457702637,0.8943569660186768,0.005268767010420561,100.0
1,0.7236531376838684,0.6755379438400269,139.38630728357253,6.159134644321814,110.0,2.816093921661377,109998,0.3311637341976166,0.20645539462566376,0.0,1000.0,1.4182565212249756,0.15502245724201202,789.1592950820923,2.6856794357299805,6.110893750418549,-3.010371685028076,0.8916892409324646,0.024444058537483215,110.0
