total_timesteps,value_loss,fps,policy_loss,policy_entropy,explained_variance,nupdates,ep_reward_mean,ep_len_mean
0,2.2798149585723877,79,-0.16014999151229858,9.932570457458496,-0.04005908966064453,1,,
8019,2.9045355319976807,231,-0.32795631885528564,10.327712059020996,-872087.25,100,346.16770975,1000.0
16119,1.573622465133667,220,0.05186465382575989,10.394347190856934,-0.24630653858184814,200,257.2218670625,1000.0
24219,1.4464032649993896,207,-0.18216857314109802,10.368752479553223,0.1337384581565857,300,259.6000710833334,1000.0
32319,3.074228048324585,211,0.11665723472833633,10.407959938049316,-0.18754732608795166,400,306.98454678125,1000.0
40419,6.864092826843262,213,-0.04752108454704285,10.475251197814941,0.07480061054229736,500,400.54300432499997,1000.0
48519,7.9596147537231445,217,0.0475882887840271,10.498414039611816,0.025880873203277588,600,492.13698895833335,1000.0
56619,7.857565879821777,218,-0.1905740350484848,10.462103843688965,-0.03329873085021973,700,610.29233225,1000.0
64719,10.816864967346191,219,-0.12954260408878326,10.435187339782715,0.013446986675262451,800,863.4171579218751,1000.0
72819,22.256366729736328,221,0.05178789049386978,10.456411361694336,0.0659722089767456,900,1682.9185863611112,1000.0
80919,19.11336898803711,223,-0.12655220925807953,10.43710994720459,-0.04490697383880615,1000,3146.2436394375,1000.0
89019,14.044204711914062,224,-0.5971572399139404,10.415657043457031,0.0027539730072021484,1100,4822.851950375,1000.0
97119,11.375182151794434,224,0.01558946818113327,10.340987205505371,-0.0361558198928833,1200,6578.183111479167,1000.0
105219,9.005852699279785,225,0.07038875669240952,10.277680397033691,0.00289839506149292,1300,8788.62849255,1000.0
113319,9.211784362792969,226,0.2653113603591919,10.243544578552246,0.021666526794433594,1400,11750.4308154,1000.0
121419,8.221464157104492,227,-0.0672091543674469,10.20728874206543,0.017017364501953125,1500,14899.18216737,1000.0
129519,7.643050193786621,227,-0.15316753089427948,10.108366012573242,-0.023066401481628418,1600,18584.2438752,1000.0
137619,7.713894844055176,228,-0.0975022092461586,10.029733657836914,-0.006059408187866211,1700,22622.571531419995,1000.0
145719,7.066412448883057,229,-0.188121035695076,9.981417655944824,0.010995149612426758,1800,26879.55807313,1000.0
153819,7.518255710601807,230,0.08326037973165512,9.965106010437012,-0.033768534660339355,1900,31300.406572159998,1000.0
161919,6.292691707611084,231,-0.26219046115875244,9.916731834411621,0.0261075496673584,2000,35469.430307439994,1000.0
170019,5.640969753265381,231,-0.281471312046051,9.837981224060059,-0.017088770866394043,2100,39747.00518832,1000.0
178119,4.933289527893066,232,-0.1254967749118805,9.803667068481445,-0.016638517379760742,2200,42848.507467400006,1000.0
186219,2.921997547149658,232,0.19758087396621704,9.829246520996094,-0.3977386951446533,2300,44136.582200569996,1000.0
194319,2.3395791053771973,231,0.05151202529668808,9.79528522491455,-2.164111852645874,2400,45249.68608194,1000.0
202419,3.050969362258911,231,-0.34561654925346375,9.79752254486084,0.024188518524169922,2500,47092.14346581,1000.0
210519,3.6089680194854736,231,-0.4577956795692444,9.807355880737305,-0.08946990966796875,2600,49119.232281569995,1000.0
218619,4.101528644561768,232,0.054290443658828735,9.766310691833496,-0.017957091331481934,2700,51165.124053290005,1000.0
226719,4.216818809509277,232,-0.013321220874786377,9.702893257141113,-0.010276317596435547,2800,52868.55377893998,1000.0
234819,4.2691497802734375,232,0.02231408655643463,9.653281211853027,-0.06481492519378662,2900,54244.45818875999,1000.0
242919,4.538537502288818,232,-0.1055585965514183,9.620924949645996,-0.017351150512695312,3000,55334.25182202,1000.0
251019,4.4237871170043945,233,-0.29315823316574097,9.579931259155273,0.0029556751251220703,3100,56207.25045617001,1000.0
259119,4.591641426086426,233,-0.5173758864402771,9.538556098937988,-0.015360355377197266,3200,57615.44414349001,1000.0
267219,4.572665214538574,233,-0.050362732261419296,9.513840675354004,-0.03260207176208496,3300,58705.72173116,1000.0
275319,4.438071250915527,233,0.06975634396076202,9.475543022155762,0.016499042510986328,3400,60181.16789253,1000.0
283419,4.9369425773620605,234,-0.2794393301010132,9.439629554748535,0.015148282051086426,3500,62071.32450611,1000.0
291519,4.5280656814575195,234,-0.16004745662212372,9.401715278625488,-0.05653679370880127,3600,64464.898105619985,1000.0
299619,4.758013725280762,235,0.14514406025409698,9.397127151489258,-0.07549881935119629,3700,66821.81884968,1000.0
307719,4.84857702255249,235,0.1595175862312317,9.378905296325684,-0.024679064750671387,3800,68623.66273906999,1000.0
315819,4.964712619781494,236,0.1852015256881714,9.386273384094238,-0.04137718677520752,3900,69559.2545793,1000.0
323919,4.287970066070557,236,-0.025093592703342438,9.4266357421875,0.03553485870361328,4000,69762.60856198,1000.0
332019,4.423254489898682,236,-0.013985030353069305,9.38950252532959,0.007247030735015869,4100,70511.58722078998,1000.0
340119,4.372804641723633,236,0.0986783504486084,9.3775634765625,0.004422128200531006,4200,71191.06900016998,1000.0
348219,4.536482810974121,237,-0.21210575103759766,9.320554733276367,-0.0127793550491333,4300,71917.65727842,1000.0
356319,4.576351165771484,237,-0.44374793767929077,9.294236183166504,-0.046384334564208984,4400,72495.48483414,1000.0
364419,4.585323810577393,237,0.0011160597205162048,9.29272174835205,-0.04716014862060547,4500,72588.76061027999,1000.0
372519,4.626946449279785,237,-0.359236478805542,9.298981666564941,-0.007217526435852051,4600,73151.04613694,1000.0
380619,4.799191474914551,237,0.11561581492424011,9.276519775390625,-0.03436565399169922,4700,73639.02705167,1000.0
388719,4.537904262542725,238,0.1003139540553093,9.244856834411621,0.004889249801635742,4800,74163.12215544,1000.0
396819,4.292586326599121,238,-0.2234794795513153,9.243597030639648,-0.17711102962493896,4900,73909.04367180001,1000.0
404919,4.592938423156738,238,-0.1676291972398758,9.25537109375,-0.047479867935180664,5000,74133.23387376,1000.0
413019,4.377419471740723,238,-0.11084336787462234,9.269043922424316,-0.0006197690963745117,5100,74465.80244198,1000.0
421119,4.413570404052734,239,-0.30320215225219727,9.262235641479492,-0.017992138862609863,5200,75305.6281956,1000.0
429219,4.384329795837402,239,-0.031257517635822296,9.20706844329834,-0.07893061637878418,5300,75411.38575895,1000.0
437319,4.503063201904297,239,-0.03900953754782677,9.216429710388184,-0.049137115478515625,5400,75604.75715153,1000.0
445419,4.625840187072754,240,-0.2500239610671997,9.190682411193848,0.02360004186630249,5500,75829.31868132,1000.0
453519,4.592316150665283,240,-0.10449832677841187,9.209012031555176,-0.018421053886413574,5600,76011.26537108999,1000.0
461619,4.642984390258789,240,-0.053304579108953476,9.24623966217041,-0.055794477462768555,5700,76132.28792040999,1000.0
469719,4.64440393447876,240,-0.24717256426811218,9.262833595275879,-0.011298656463623047,5800,76292.36381626001,1000.0
477819,4.725344181060791,240,0.19039219617843628,9.28342342376709,-0.07089066505432129,5900,76352.73891111002,1000.0
485919,4.607921600341797,241,-0.13347741961479187,9.279108047485352,-0.027684926986694336,6000,76649.88270431,1000.0
494019,4.6597514152526855,241,-0.03999397158622742,9.26104736328125,0.02958613634109497,6100,76134.85712561003,1000.0
502119,4.633017063140869,241,-0.00844370573759079,9.258200645446777,-0.06092643737792969,6200,76881.07424421,1000.0
510219,4.463967800140381,241,-0.13626602292060852,9.227556228637695,-0.019520282745361328,6300,76887.94768753,1000.0
518319,4.324665546417236,241,0.044126205146312714,9.229240417480469,-0.32456696033477783,6400,76217.22430929,1000.0
526419,4.6345038414001465,241,-0.4445275664329529,9.218130111694336,0.004615366458892822,6500,76518.03123345,1000.0
534519,4.63163423538208,240,0.06989312916994095,9.251327514648438,0.025374650955200195,6600,76673.63630946,1000.0
542619,4.972020626068115,240,0.08585381507873535,9.220345497131348,-0.03663837909698486,6700,76937.75580487,1000.0
550719,5.12723970413208,240,0.42796236276626587,9.206350326538086,-0.0596698522567749,6800,77231.84295796,1000.0
558819,5.091300964355469,241,-0.0996374860405922,9.214890480041504,0.024663269519805908,6900,77482.45753181,1000.0
566919,5.026084899902344,241,0.14158806204795837,9.216437339782715,-0.0024667978286743164,7000,77783.47728466001,1000.0
575019,5.103333473205566,241,0.01235230267047882,9.196953773498535,0.03740119934082031,7100,77161.59033194999,1000.0
583119,4.880248069763184,241,0.06409043073654175,9.209968566894531,-0.003466963768005371,7200,77304.57534002999,1000.0
591219,4.930442810058594,240,0.284268856048584,9.240456581115723,0.02148759365081787,7300,78166.43534709,1000.0
599319,4.964757442474365,240,0.08628053218126297,9.226180076599121,-0.06141626834869385,7400,78362.49916636999,1000.0
607419,4.9800310134887695,240,0.05955805629491806,9.232355117797852,-0.034693241119384766,7500,78592.58172247,1000.0
615519,5.043703556060791,240,-0.06382101774215698,9.204911231994629,-0.0008640289306640625,7600,78740.83485027,1000.0
623619,5.308309078216553,240,0.14434704184532166,9.205312728881836,-0.0036629438400268555,7700,79710.97391355,1000.0
631719,5.112757205963135,240,-0.14245998859405518,9.200408935546875,0.04201817512512207,7800,79944.31464296,1000.0
639819,5.248236656188965,240,-0.2775193750858307,9.182534217834473,0.00932091474533081,7900,80122.62898667,1000.0
647919,5.462302207946777,240,-0.09223458170890808,9.192597389221191,0.0198061466217041,8000,80083.45583830001,1000.0
656019,5.2406325340271,240,0.10904363542795181,9.21543025970459,-0.04147017002105713,8100,80298.36516179,1000.0
664119,5.34572696685791,240,0.2724299430847168,9.239263534545898,-0.0006171464920043945,8200,80608.7831126,1000.0
672219,5.394466400146484,240,-0.6633021831512451,9.273064613342285,-0.032547831535339355,8300,81551.73438709001,1000.0
680319,5.443525314331055,240,-0.43492040038108826,9.257529258728027,0.010265827178955078,8400,81583.44804779002,1000.0
688419,5.396450042724609,240,-0.006068892776966095,9.270110130310059,0.0203169584274292,8500,81611.61653022,1000.0
696519,5.348062038421631,240,-0.217902272939682,9.250045776367188,-0.014827370643615723,8600,81611.75532572,1000.0
704619,5.564305782318115,240,-0.4798816442489624,9.265022277832031,0.018969357013702393,8700,81673.03430907,1000.0
712719,5.562079429626465,240,0.03318655490875244,9.276673316955566,-0.025179743766784668,8800,81744.4436978,1000.0
720819,5.583110809326172,240,-0.16658295691013336,9.29276180267334,0.035214245319366455,8900,81877.42856044999,1000.0
728919,5.442885398864746,240,0.05439329892396927,9.272017478942871,-0.022639155387878418,9000,81883.29706981001,1000.0
737019,5.4905242919921875,240,0.05840994417667389,9.288183212280273,-0.010112762451171875,9100,81966.88100582,1000.0
745119,5.513785362243652,240,-0.5384721755981445,9.284150123596191,-0.01259922981262207,9200,82102.52513141,1000.0
753219,5.5879058837890625,240,-0.17920833826065063,9.267193794250488,-0.04181718826293945,9300,82207.69478639,1000.0
761319,5.690928936004639,240,-0.22284077107906342,9.234169006347656,-0.020525813102722168,9400,82302.99353893,1000.0
769419,5.526890754699707,240,-0.17634066939353943,9.2573823928833,-0.018214941024780273,9500,82320.93119975002,1000.0
777519,5.667305946350098,240,-0.5112472772598267,9.232942581176758,-0.030356645584106445,9600,82422.42167743,1000.0
785619,5.661623477935791,240,0.06973189115524292,9.241543769836426,-0.010378599166870117,9700,82669.79597769999,1000.0
793719,5.726731777191162,240,-0.18799906969070435,9.247591018676758,-0.0005617141723632812,9800,82850.20655646,1000.0
801819,5.846476078033447,240,-0.07022082060575485,9.2153902053833,-8.869171142578125e-05,9900,83127.86888734,1000.0
809919,5.5861101150512695,240,-0.17978021502494812,9.22938346862793,-0.020362019538879395,10000,83367.15820836001,1000.0
818019,5.696780204772949,240,0.1915539801120758,9.217196464538574,-0.06421792507171631,10100,83593.49561488001,1000.0
826119,5.801996231079102,239,-0.22549991309642792,9.245956420898438,0.009814143180847168,10200,83734.23023586,1000.0
834219,5.783681869506836,239,0.15023589134216309,9.2760591506958,-0.017328262329101562,10300,83830.61662820999,1000.0
842319,5.78344202041626,239,-0.4066096246242523,9.249131202697754,0.04015129804611206,10400,83831.60501762,1000.0
850419,5.949376106262207,239,-0.2310473471879959,9.247000694274902,0.028729140758514404,10500,83961.83349319,1000.0
858519,5.886196136474609,239,0.23467504978179932,9.241292953491211,0.005603969097137451,10600,84020.61835896998,1000.0
866619,5.9810261726379395,239,0.027849070727825165,9.243193626403809,0.025436460971832275,10700,84099.35746111999,1000.0
874719,5.960343837738037,240,0.1251956820487976,9.255820274353027,0.02826446294784546,10800,84293.77276365999,1000.0
882819,6.125147819519043,240,-0.026074625551700592,9.255963325500488,-0.012208104133605957,10900,84424.86805496,1000.0
890919,5.995846271514893,240,-0.26539725065231323,9.277122497558594,-0.0003933906555175781,11000,84420.62013574998,1000.0
899019,5.94044828414917,240,-0.398070365190506,9.295181274414062,-0.021570444107055664,11100,84358.44981091999,1000.0
907119,6.130350589752197,240,-0.10467931628227234,9.272253036499023,0.04910004138946533,11200,84345.32043267,1000.0
915219,5.917971611022949,240,-0.05073976144194603,9.291214942932129,0.01614677906036377,11300,84395.76547268,1000.0
923319,6.204384803771973,240,-0.4209150969982147,9.288870811462402,-0.030684947967529297,11400,84427.30388580002,1000.0
931419,6.092592716217041,240,0.3808077275753021,9.305817604064941,-0.0077707767486572266,11500,84532.77886979001,1000.0
939519,6.228630065917969,240,0.24643519520759583,9.310677528381348,-0.0027135610580444336,11600,84622.18112694999,1000.0
947619,5.780884742736816,240,-0.46502402424812317,9.301384925842285,0.014060795307159424,11700,84636.97390362,1000.0
955719,6.0004143714904785,240,-0.2245197892189026,9.321989059448242,-0.011612653732299805,11800,84593.49775839999,1000.0
963819,5.974419593811035,240,-0.4180005192756653,9.334074974060059,0.022855818271636963,11900,84668.56859714,1000.0
971919,6.085350036621094,240,-0.05334605649113655,9.3399019241333,0.0022011399269104004,12000,84821.51262191002,1000.0
980019,5.866117477416992,240,-0.18883855640888214,9.32723331451416,0.01031494140625,12100,84860.25523602002,1000.0
988119,5.921797752380371,240,-0.27984902262687683,9.342988967895508,0.012104809284210205,12200,84986.45793923,1000.0
996219,5.925318717956543,240,0.1427459716796875,9.34521770477295,0.02355402708053589,12300,85151.52588831,1000.0
1004319,5.639260292053223,241,0.10559301823377609,9.348101615905762,-0.020560145378112793,12400,85296.42540907001,1000.0
1012419,5.736559867858887,241,0.1516704559326172,9.34812068939209,-0.026037216186523438,12500,85346.83283822,1000.0
