nupdates,explained_variance,policy_entropy,policy_loss,fps,value_loss,total_timesteps,ep_reward_mean,ep_len_mean
1,-0.06602656841278076,9.932570457458496,0.1331217736005783,60,5.649322032928467,0,,
100,-0.5251518487930298,9.932579040527344,-0.21965673565864563,223,0.6809433698654175,8019,457.00274125,1000.0
200,-1.6452548503875732,9.932607650756836,-0.15492524206638336,228,0.44356369972229004,16119,441.58126874999994,1000.0
300,-3.1635093688964844,9.932622909545898,-0.1366964876651764,227,0.24989838898181915,24219,442.76735812499993,1000.0
400,-1.5058093070983887,9.93263053894043,-0.5767366886138916,227,0.19413280487060547,32319,432.57528959374997,1000.0
500,-9.9895601272583,9.932656288146973,-0.434865802526474,228,0.19281220436096191,40419,435.72207285,1000.0
600,-2.4178028106689453,9.932700157165527,0.13313573598861694,228,0.3780135214328766,48519,431.63741283333337,1000.0
700,-4.106426239013672,9.932738304138184,-0.13307271897792816,228,0.24560682475566864,56619,429.25078848214287,1000.0
800,-1.3099946975708008,9.932799339294434,-0.010896019637584686,228,0.3767085671424866,64719,434.548554984375,1000.0
900,-1.5971391201019287,9.932851791381836,-0.11852381378412247,228,0.37476977705955505,72819,437.7085650277778,1000.0
1000,-2.5278851985931396,9.932876586914062,-0.19976936280727386,228,0.25767526030540466,80919,438.1475376,1000.0
1100,-2.477205753326416,9.93288516998291,0.18759989738464355,228,0.3049730658531189,89019,442.2571909999999,1000.0
1200,-0.8394793272018433,9.932930946350098,-0.12274429947137833,229,0.6080803275108337,97119,442.9117374791667,1000.0
1300,-0.44864141941070557,9.932971000671387,-0.2585979402065277,229,0.8716040849685669,105219,442.1675635799999,1000.0
1400,-4.643898963928223,9.932984352111816,-0.10937231779098511,229,0.21291711926460266,113319,441.24592366999997,1000.0
1500,-3.1657228469848633,9.93300724029541,-0.21511666476726532,229,0.1896052211523056,121419,442.67242176,1000.0
1600,-1.2810113430023193,9.933059692382812,0.30881425738334656,229,0.3161512017250061,129519,443.57642626,1000.0
1700,-1.368593692779541,9.933095932006836,-0.38549190759658813,229,0.19748307764530182,137619,445.15986634,1000.0
1800,-0.9420992136001587,9.933117866516113,0.11428146809339523,228,0.4431399405002594,145719,446.63068653000005,1000.0
1900,-95.25904083251953,9.933113098144531,0.06951519846916199,228,0.17472462356090546,153819,449.1594722900001,1000.0
2000,-10.921320915222168,9.933156967163086,-0.09730743616819382,228,0.1693560630083084,161919,441.8754676,1000.0
2100,-3.7295169830322266,9.933205604553223,-0.38804176449775696,228,0.1832035779953003,170019,444.39661001,1000.0
2200,-0.45798051357269287,9.933218955993652,-0.36293166875839233,229,0.6644169688224792,178119,443.92775112,1000.0
2300,-12.68307876586914,9.933234214782715,0.009149588644504547,229,0.17502278089523315,186219,443.3901563000001,1000.0
2400,-9.04472827911377,9.93325138092041,-0.1784982830286026,228,0.17827953398227692,194319,441.4989261700001,1000.0
2500,-6.345479488372803,9.933300971984863,0.14739564061164856,229,0.18211130797863007,202419,440.20517322000006,1000.0
2600,-3.487520694732666,9.933324813842773,0.04056704789400101,229,0.27265891432762146,210519,444.07561102,1000.0
2700,-1.125516653060913,9.933341026306152,-0.05183422565460205,229,0.30647557973861694,218619,444.09444682000003,1000.0
2800,-1.7094683647155762,9.933356285095215,-0.02970673143863678,228,0.35311034321784973,226719,450.51192131999994,1000.0
2900,-1.4848089218139648,9.933393478393555,-0.1845969259738922,228,0.3344126045703888,234819,450.02515681999995,1000.0
3000,-0.6082806587219238,9.933403968811035,-0.03787468746304512,228,0.4833560883998871,242919,449.00922944000007,1000.0
3100,-9.315925598144531,9.933432579040527,-0.20043575763702393,229,0.23348645865917206,251019,447.53074700000013,1000.0
3200,-1.6731059551239014,9.933472633361816,0.03762423247098923,229,0.27135196328163147,259119,451.71486911000005,1000.0
3300,-0.27536821365356445,9.933500289916992,0.14924733340740204,228,0.6403666734695435,267219,454.5267473800001,1000.0
3400,-30.282930374145508,9.933510780334473,0.24519270658493042,228,0.1567682921886444,275319,450.12821792,1000.0
3500,-13.20454216003418,9.93351936340332,0.18251043558120728,228,0.2746419310569763,283419,451.2428476600001,1000.0
3600,-12.802338600158691,9.933531761169434,-0.4999217391014099,229,0.1720249354839325,291519,453.6570014700001,1000.0
3700,-583.9085693359375,9.933538436889648,-0.20673170685768127,229,0.14109598100185394,299619,449.5039139600001,1000.0
3800,-2.179481029510498,9.933547019958496,-0.3885444402694702,229,0.19072389602661133,307719,448.9456082499999,1000.0
3900,-1.0817325115203857,9.933563232421875,-0.49526888132095337,229,0.32259196043014526,315819,449.49392742,1000.0
4000,-3.028296947479248,9.93356990814209,0.07676245272159576,229,0.18455129861831665,323919,449.85350579000004,1000.0
4100,-3.0097427368164062,9.933576583862305,-0.29119420051574707,229,0.3050003945827484,332019,444.22094817000004,1000.0
4200,-35.7365837097168,9.933600425720215,-0.06817488372325897,229,0.2049623280763626,340119,446.0062340699999,1000.0
4300,-0.8528798818588257,9.933602333068848,0.04269767552614212,229,0.44176816940307617,348219,448.14564171999996,1000.0
4400,-20.30780029296875,9.933616638183594,-0.545304000377655,229,0.13730372488498688,356319,448.60895346000007,1000.0
4500,-0.9554141759872437,9.933626174926758,0.2173972725868225,229,0.5894610285758972,364419,451.56984961999996,1000.0
4600,-12.805482864379883,9.933640480041504,0.4243590831756592,229,0.16359767317771912,372519,454.0631681500001,1000.0
4700,-2.334089994430542,9.933653831481934,-0.2729966938495636,229,0.36942803859710693,380619,457.33005454,1000.0
4800,-1.0412116050720215,9.933667182922363,-0.2692955732345581,229,0.4944688677787781,388719,456.3475466299999,1000.0
4900,-1.1207749843597412,9.933676719665527,-0.31634342670440674,229,0.2614903450012207,396819,460.74866197999995,1000.0
5000,-1.1239879131317139,9.933691024780273,-0.020970284938812256,229,0.4205445349216461,404919,463.71230317000004,1000.0
5100,-25.31015968322754,9.933698654174805,-0.23019787669181824,229,0.1568850725889206,413019,459.7521632699999,1000.0
5200,-199.89231872558594,9.93371295928955,0.22480514645576477,229,0.19051803648471832,421119,455.03202579000003,1000.0
5300,-1.7051331996917725,9.933716773986816,-0.03608643263578415,229,0.45312580466270447,429219,451.0511443499999,1000.0
5400,-0.9024161100387573,9.933722496032715,-0.5053970813751221,229,0.3128179907798767,437319,452.27084839,1000.0
5500,-2.8992302417755127,9.933730125427246,-0.2289341688156128,229,0.2940058410167694,445419,451.59664139,1000.0
5600,-14.665124893188477,9.933732032775879,-0.09956362098455429,229,0.13881421089172363,453519,450.82495787000005,1000.0
5700,-2.1786913871765137,9.933737754821777,-0.006233207881450653,229,0.23158971965312958,461619,452.81784614000003,1000.0
5800,-1.4009549617767334,9.933743476867676,0.14547544717788696,229,0.34962478280067444,469719,451.54119842,1000.0
5900,-10.31533145904541,9.933745384216309,0.08217450231313705,229,0.220195010304451,477819,455.77534105,1000.0
6000,-9.591572761535645,9.933747291564941,-0.18831981718540192,229,0.18128417432308197,485919,457.3512755400001,1000.0
6100,-18.16534423828125,9.933747291564941,0.1701078563928604,229,0.19092176854610443,494019,453.16081922999996,1000.0
6200,-1.790328025817871,9.933747291564941,-0.4127720594406128,229,0.22002467513084412,502119,448.21791771000005,1000.0
