fps,total_timesteps,value_loss,explained_variance,nupdates,policy_entropy,ep_len_mean,ep_reward_mean
195,128,13.042387008666992,-0.09418678283691406,1,9.932570457458496,,
196,12800,0.7902175784111023,-0.7647321224212646,100,9.932485580444336,500.0,218.27133020833332
195,25600,0.9785080552101135,-0.4738912582397461,200,9.932497024536133,500.0,219.33593068749997
192,38400,0.6803017854690552,-0.5649237632751465,300,9.93238639831543,500.0,215.0209302105263
192,51200,0.34970539808273315,-6.286163806915283,400,9.933382034301758,500.0,219.89977104999997
191,64000,0.6823477149009705,-2.0403196811676025,500,9.935091018676758,500.0,229.60332178000002
192,76800,2.079644203186035,-0.2230314016342163,600,9.936064720153809,500.0,232.47596656
193,89600,0.4080209732055664,-0.5498300790786743,700,9.935644149780273,500.0,233.49942818000002
192,102400,0.4829815924167633,-0.5046545267105103,800,9.940080642700195,500.0,234.69193272000004
193,115200,0.15081773698329926,-0.5860210657119751,900,9.93830680847168,500.0,233.38520441999998
192,128000,0.28317856788635254,-0.8077597618103027,1000,9.938291549682617,500.0,236.23326116000004
193,140800,0.1899091750383377,-2.710186719894409,1100,9.936463356018066,500.0,245.40344828999997
193,153600,0.2035168558359146,-0.8774938583374023,1200,9.933730125427246,500.0,247.75290546
193,166400,0.24458391964435577,-0.8802082538604736,1300,9.934922218322754,500.0,250.22671196000002
193,179200,0.41438546776771545,-0.4493504762649536,1400,9.930437088012695,500.0,251.33785348
193,192000,1.0224570035934448,-1.024216890335083,1500,9.9293212890625,500.0,248.42405937000004
193,204800,0.12950314581394196,-1.0497329235076904,1600,9.922013282775879,500.0,250.48342654999996
193,217600,0.1470445990562439,-0.6078783273696899,1700,9.922525405883789,500.0,249.73469315
193,230400,1.2016828060150146,-0.06814694404602051,1800,9.921281814575195,500.0,248.07978282
193,243200,0.1414998471736908,-0.8276103734970093,1900,9.920164108276367,500.0,257.78970129
193,256000,1.365792989730835,-0.40423619747161865,2000,9.920271873474121,500.0,255.39309198000004
194,268800,0.12887847423553467,-0.3237658739089966,2100,9.921217918395996,500.0,259.05804445
194,281600,0.455244243144989,-0.4683074951171875,2200,9.920587539672852,500.0,274.18633969999996
194,294400,0.3023262023925781,-0.19676685333251953,2300,9.921462059020996,500.0,275.67392439
194,307200,0.14934954047203064,-1.0768041610717773,2400,9.922796249389648,500.0,280.9390579099999
194,320000,2.5699539184570312,-1.1359691619873047,2500,9.92292594909668,500.0,291.01414517999996
194,332800,1.4847898483276367,-0.07003676891326904,2600,9.920373916625977,500.0,301.55585608
194,345600,0.19346314668655396,-0.35026097297668457,2700,9.914946556091309,500.0,317.86524512
194,358400,0.45479121804237366,-0.08269953727722168,2800,9.91343879699707,500.0,343.85209735000007
194,371200,0.12122081965208054,-1.28023099899292,2900,9.904997825622559,500.0,362.81172857000007
194,384000,4.543583393096924,-0.26447129249572754,3000,9.902705192565918,500.0,408.7866164200001
194,396800,0.32454925775527954,-0.18847572803497314,3100,9.89891242980957,500.0,461.00353053000003
194,409600,0.5259227752685547,-0.012693405151367188,3200,9.888395309448242,500.0,533.81860359
194,422400,0.26218706369400024,-0.3847372531890869,3300,9.881769180297852,500.0,644.73742849
195,435200,0.20893853902816772,-0.1690049171447754,3400,9.870360374450684,500.0,745.4524385899999
195,448000,11.00114631652832,-0.9225503206253052,3500,9.85682201385498,500.0,905.3618690500001
195,460800,0.27852851152420044,-0.00047385692596435547,3600,9.850900650024414,500.0,1063.9347249300001
195,473600,0.3176730275154114,-0.13928520679473877,3700,9.845185279846191,500.0,1206.17722301
195,486400,0.23928144574165344,0.08286440372467041,3800,9.83747386932373,500.0,1375.7330029799998
196,499200,0.10598109662532806,0.058785855770111084,3900,9.83306884765625,500.0,1467.48199939
