explained_variance,policy_entropy,nupdates,value_loss,total_timesteps,fps,policy_loss,ep_reward_mean,ep_len_mean
0.03196704387664795,4.2568159103393555,1,4.835801601409912,0,52,0.02580222114920616,,
0.48529672622680664,4.128905296325684,100,0.0036201742477715015,8019,112,-0.18064138293266296,5194.25984375,1001.0
-0.06514596939086914,4.0643720626831055,200,0.0034130096901208162,16119,110,-0.08212355524301529,7355.552085916668,1001.0
-0.17569637298583984,4.058472156524658,300,0.0030708282720297575,24219,109,-0.16599982976913452,8406.6721614,1001.0
-0.1300954818725586,4.022410869598389,400,0.0042405142448842525,32319,109,0.11229057610034943,8934.630755964285,1001.0
0.31209635734558105,3.9481635093688965,500,0.003502728883177042,40419,109,-0.5884238481521606,9394.860212666666,1001.0
-0.053829312324523926,3.9018473625183105,600,0.004720097873359919,48519,108,-0.07914258539676666,9540.730732704544,1001.0
0.09247022867202759,3.8883347511291504,700,0.004699851851910353,56619,108,0.00347336009144783,9835.972009673076,1001.0
0.005221307277679443,3.8555760383605957,800,0.0035367116797715425,64719,108,0.11556477844715118,10092.784568116667,1001.0
0.4472230076789856,3.8166279792785645,900,0.0026454764883965254,72819,108,-0.18811827898025513,10299.87387885294,1001.0
0.26213210821151733,3.776994228363037,1000,0.001780283055268228,80919,108,0.045471835881471634,10512.91413775,1001.0
0.05249619483947754,3.732628345489502,1100,0.002982801292091608,89019,108,-0.014460083097219467,10688.968979238094,1001.0
0.7684044986963272,3.6715354919433594,1200,0.0007609907770529389,97119,108,-0.21969372034072876,10854.723530793477,1001.0
0.5064827799797058,3.6257882118225098,1300,0.0018575359135866165,105219,107,-0.11388486623764038,10986.15582741,1001.0
0.7418762445449829,3.569399356842041,1400,0.0016192219918593764,113319,107,-0.2820321023464203,11454.067679969996,1001.0
0.5509953200817108,3.5182671546936035,1500,0.0016481317579746246,121419,107,-0.053008630871772766,11709.495272819995,1001.0
0.6359314024448395,3.479982852935791,1600,0.0014174887910485268,129519,107,0.0114981010556221,11916.8326581,1001.0
-0.08606100082397461,3.4346461296081543,1700,0.0017544084694236517,137619,107,0.04183739423751831,12099.512235969998,1001.0
0.8414458185434341,3.439113140106201,1800,0.004879326559603214,145719,107,-0.43205398321151733,12115.226280419998,1001.0
-0.6945523023605347,3.414487361907959,1900,0.0012140811886638403,153819,107,-0.016599586233496666,12165.86819537,1001.0
0.805494487285614,3.406911849975586,2000,0.001512068323791027,161919,107,0.054880935698747635,12121.147699399999,1001.0
-0.29967689514160156,3.374946117401123,2100,0.0004410957044456154,170019,108,0.009669758379459381,12191.545880909998,1001.0
