policy_loss,fps,explained_variance,total_timesteps,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
-0.15528260171413422,232,-0.08677458763122559,16119,9.952949523925781,200,2.2486507892608643,423.3512555,1000.0
-0.1263003945350647,235,0.014205098152160645,24219,9.971428871154785,300,2.222781181335449,433.246499625,1000.0
-0.20779827237129211,236,-0.15044188499450684,32319,10.009063720703125,400,3.4423046112060547,449.17311259375003,1000.0
-0.13249747455120087,237,-0.0617680549621582,40419,9.986543655395508,500,4.058642387390137,498.671524275,1000.0
-0.12336646020412445,239,0.08892792463302612,48519,9.963356018066406,600,4.2599687576293945,616.9895193541666,1000.0
-0.3317127227783203,241,-0.0176316499710083,56619,9.952256202697754,700,8.010566711425781,813.601157125,1000.0
-0.0042540207505226135,241,0.009418666362762451,64719,9.927289009094238,800,8.12909984588623,1091.6111781875,1000.0
-0.2818838357925415,241,-0.016178607940673828,72819,9.870110511779785,900,5.942091941833496,1479.477165583333,1000.0
0.29356512427330017,239,-0.32418930530548096,80919,9.829231262207031,1000,9.378644943237305,2040.3787741874999,1000.0
-0.3071058690547943,238,0.15937203168869019,89019,9.78726863861084,1100,9.310089111328125,2629.742773738636,1000.0
-0.003075048327445984,237,0.044570326805114746,97119,9.719681739807129,1200,8.180883407592773,3290.4837122187505,1000.0
0.08976040035486221,235,-0.06107163429260254,105219,9.641494750976562,1300,9.184890747070312,4164.35079335,1000.0
-0.011696964502334595,234,0.04972273111343384,113319,9.613831520080566,1400,8.3770751953125,5278.0499500999995,1000.0
-0.3671554923057556,233,-0.014658093452453613,121419,9.562813758850098,1500,8.457015991210938,6587.349118939999,1000.0
-0.20228195190429688,232,0.034163475036621094,129519,9.543719291687012,1600,8.836484909057617,8123.788955260001,1000.0
-0.3067607581615448,232,0.05054581165313721,137619,9.485993385314941,1700,8.05311393737793,9697.78673067,1000.0
-0.2083682268857956,231,0.02327883243560791,145719,9.424216270446777,1800,7.808113098144531,11511.022953180003,1000.0
0.3835959732532501,231,0.010860145092010498,153819,9.342033386230469,1900,7.700218200683594,13461.33977072,1000.0
-0.155245840549469,231,-0.002100825309753418,161919,9.310457229614258,2000,7.979893684387207,15634.035468509997,1000.0
-0.47786155343055725,231,-0.023335814476013184,170019,9.258338928222656,2100,7.619320869445801,17791.328252159994,1000.0
-0.08158833533525467,230,0.06866592168807983,178119,9.1392822265625,2200,7.37539529800415,20002.6763909,1000.0
-0.3788309693336487,230,0.008190512657165527,186219,9.061385154724121,2300,7.381089210510254,22314.394250409998,1000.0
-0.011228814721107483,230,-0.004109382629394531,194319,9.013060569763184,2400,7.288980007171631,24692.06850135,1000.0
-0.28608936071395874,230,0.03150224685668945,202419,8.935805320739746,2500,7.297476291656494,26986.245316169996,1000.0
-0.31266579031944275,230,0.041320621967315674,210519,8.856293678283691,2600,7.6571502685546875,29402.7791814,1000.0
0.1876286268234253,230,-0.0020055770874023438,218619,8.778098106384277,2700,7.458395481109619,31669.51726998,1000.0
0.1818295419216156,230,0.03064662218093872,226719,8.713767051696777,2800,7.042242527008057,33878.22751306,1000.0
-0.10570737719535828,230,0.0046530961990356445,234819,8.670248985290527,2900,7.166969299316406,36024.47324274,1000.0
-0.13738103210926056,230,-0.036307454109191895,242919,8.639681816101074,3000,6.8117570877075195,38231.79601064,1000.0
0.04445478320121765,230,0.005670785903930664,251019,8.573487281799316,3100,6.161999702453613,40212.93989803999,1000.0
-0.3628244996070862,230,-0.04882919788360596,259119,8.518548965454102,3200,6.512467861175537,42111.75096133,1000.0
-0.21075469255447388,230,-0.020626425743103027,267219,8.438462257385254,3300,6.256110191345215,43926.21413107999,1000.0
-0.4669637084007263,230,-0.1299746036529541,275319,8.369322776794434,3400,6.580497741699219,45763.40749828001,1000.0
-0.032467395067214966,230,0.003787517547607422,283419,8.339444160461426,3500,5.9344635009765625,47634.617287889996,1000.0
-0.011274546384811401,230,0.01565253734588623,291519,8.295332908630371,3600,6.489556312561035,49072.79491102,1000.0
-0.19410647451877594,230,0.04231524467468262,299619,8.233186721801758,3700,6.501884460449219,50783.82426483999,1000.0
-0.313608855009079,230,0.008106410503387451,307719,8.204174995422363,3800,6.586184024810791,52329.982281109995,1000.0
0.2627323865890503,230,0.08116239309310913,315819,8.120094299316406,3900,6.4623565673828125,53929.89101597001,1000.0
-0.2826138138771057,230,-0.015192747116088867,323919,8.082976341247559,4000,6.216747283935547,55472.596957320005,1000.0
0.11993997544050217,230,0.010189473628997803,332019,8.003456115722656,4100,6.1709771156311035,56979.206908640015,1000.0
-0.18487858772277832,230,-0.0016279220581054688,340119,7.971611022949219,4200,6.2018537521362305,58520.23883347998,1000.0
-0.2082730531692505,230,-0.01359713077545166,348219,7.879118919372559,4300,6.346104621887207,60002.199879089996,1000.0
-0.1850353628396988,230,0.01650947332382202,356319,7.822884559631348,4400,6.340586185455322,61540.44295356001,1000.0
-0.3773333430290222,230,-0.003765583038330078,364419,7.755352973937988,4500,5.829109191894531,63068.21542560999,1000.0
-0.17428889870643616,230,-0.0019201040267944336,372519,7.694890022277832,4600,6.196986198425293,64555.826882969995,1000.0
-0.130082905292511,230,-0.0057991743087768555,380619,7.626776695251465,4700,6.246093273162842,66003.67498265998,1000.0
0.08362820744514465,230,-0.009101152420043945,388719,7.5525641441345215,4800,6.489932060241699,67438.22140882,1000.0
-0.05000428482890129,230,0.01667642593383789,396819,7.476031303405762,4900,6.363420486450195,68907.73598742,1000.0
-0.05027119442820549,231,0.01013118028640747,404919,7.405850410461426,5000,6.209983825683594,70226.83345252,1000.0
-0.04755838215351105,231,-0.01844918727874756,413019,7.353337287902832,5100,6.408327579498291,71614.45386503999,1000.0
-0.5324996709823608,231,-0.006972312927246094,421119,7.2898359298706055,5200,6.218567848205566,72951.46807388001,1000.0
-0.3534384071826935,232,0.01992475986480713,429219,7.212517738342285,5300,6.286772727966309,74397.06721738,1000.0
-0.054353538900613785,232,0.011826753616333008,437319,7.126452445983887,5400,6.106919765472412,75799.95281013001,1000.0
-0.08776871114969254,232,-0.01002490520477295,445419,7.085293769836426,5500,6.24350643157959,77270.72021625,1000.0
-0.14072322845458984,233,0.0032421350479125977,453519,6.999117851257324,5600,6.295320987701416,78767.32580174,1000.0
0.0010365024209022522,233,0.00665360689163208,461619,6.939105987548828,5700,6.440333366394043,80127.97251659002,1000.0
