approxkl,policy_entropy,clipfrac,fps,n_updates,value_loss,explained_variance,total_timesteps,serial_timesteps,policy_loss,time_elapsed,ep_len_mean,ep_reward_mean
0.00014863997,9.931449,0.0,174,1,0.72920483,-0.21643328666687012,128,32,-0.0060998984,3.814697265625e-06,,
3.667948e-05,9.92997,0.0,277,2,0.6394533,-0.3150780200958252,256,64,-0.0022772332,0.7352957725524902,,
4.5945577e-05,9.929784,0.0,270,3,0.15221739,-2.2757699489593506,384,96,-0.0032583391,1.1972284317016602,,
4.5614757e-05,9.929892,0.0,290,4,0.16165341,-0.529403805732727,512,128,-0.0028298087,1.6717274188995361,,
4.851013e-05,9.930984,0.0,244,5,0.10881902,-0.9639691114425659,640,160,-0.0036041916,2.113259792327881,,
5.486265e-05,9.933478,0.0,250,6,0.34152597,-0.29223132133483887,768,192,-0.0037472267,2.636768341064453,,
7.338179e-05,9.934104,0.0,272,7,0.1617388,-0.5270299911499023,896,224,-0.003963831,3.147444486618042,,
0.0001008425,9.935437,0.0,258,8,0.08334268,-1.45070481300354,1024,256,-0.005034469,3.617670774459839,,
4.6568304e-05,9.937082,0.0,202,9,0.034801226,-1.0040667057037354,1152,288,-0.0024813656,4.112704753875732,,
4.4134667e-05,9.936437,0.0,265,10,0.0376646,-1.364776611328125,1280,320,-0.0025095989,4.7454493045806885,,
5.4291857e-05,9.935719,0.0,249,11,0.18090105,-0.2315056324005127,1408,352,-0.0027963945,5.228433847427368,,
8.232642e-05,9.933517,0.0,270,12,0.114126086,-0.2680637836456299,1536,384,-0.0041579576,5.741444110870361,,
8.430435e-05,9.931276,0.0,278,13,0.036653396,-4.081002712249756,1664,416,-0.004705096,6.21541690826416,,
0.00012650219,9.929394,0.0,281,14,0.089386374,-1.0550880432128906,1792,448,-0.0061687324,6.675070762634277,,
0.00013260503,9.931752,0.0,268,15,0.051991645,-1.9909648895263672,1920,480,-0.006267883,7.130639553070068,,
6.4340966e-05,9.934618,0.0,33,16,0.10587061,-0.23472201824188232,2048,512,-0.0022669598,7.606873512268066,500.0,177.706901
5.488545e-05,9.934403,0.0,284,17,0.12695153,-0.33791112899780273,2176,544,-0.0031627186,11.407466411590576,500.0,177.706901
8.003122e-05,9.933577,0.0,277,18,0.048895728,-2.0959556102752686,2304,576,-0.0041269003,11.857546091079712,500.0,177.706901
8.8031586e-05,9.933031,0.0,271,19,0.082467645,-0.6869316101074219,2432,608,-0.0048676752,12.319560766220093,500.0,177.706901
6.816189e-05,9.93287,0.0,273,20,0.17579621,-0.9322237968444824,2560,640,-0.0041827564,12.791061878204346,500.0,177.706901
8.104101e-05,9.933172,0.0,275,21,0.23818433,-0.1675482988357544,2688,672,-0.0032417448,13.260310411453247,500.0,177.706901
5.4085314e-05,9.9337845,0.0,288,22,0.13837999,-0.5139143466949463,2816,704,-0.0021031345,13.725032091140747,500.0,177.706901
6.615917e-05,9.934373,0.0,272,23,0.08494196,-1.1813955307006836,2944,736,-0.003979925,14.169894695281982,500.0,177.706901
5.787618e-05,9.936226,0.0,282,24,0.05910877,-2.676643133163452,3072,768,-0.0034062853,14.63978362083435,500.0,177.706901
9.6745105e-05,9.935871,0.0,279,25,0.42637026,-0.23721599578857422,3200,800,-0.004534603,15.092750072479248,500.0,177.706901
6.838811e-05,9.935532,0.0,259,26,0.2274979,-0.010724544525146484,3328,832,-0.003918089,15.551657676696777,500.0,177.706901
0.00013386934,9.936197,0.0,253,27,0.07172464,-4.0831475257873535,3456,864,-0.0064982506,16.045658588409424,500.0,177.706901
9.938018e-05,9.937862,0.0,272,28,0.09530171,-1.8040919303894043,3584,896,-0.0037739275,16.551060676574707,500.0,177.706901
0.00012293577,9.938655,0.0,259,29,0.06138216,-13.42772102355957,3712,928,-0.005225715,17.02145743370056,500.0,177.706901
5.4663724e-05,9.93723,0.0,274,30,0.07974521,-1.907393217086792,3840,960,-0.002158153,17.515931129455566,500.0,177.706901
7.034481e-05,9.93735,0.0,277,31,0.20025101,-0.19221174716949463,3968,992,-0.0042521227,17.98222279548645,500.0,177.706901
5.0309936e-05,9.936954,0.0,31,32,2.3821998,0.016549527645111084,4096,1024,-0.0017878574,18.44485354423523,500.0,183.274839875
6.18558e-05,9.935731,0.0,271,33,0.10288846,-0.47348809242248535,4224,1056,-0.0035303202,22.473357677459717,500.0,183.274839875
7.938167e-05,9.937468,0.0,261,34,0.11018688,-2.5436503887176514,4352,1088,-0.004516077,22.94678831100464,500.0,183.274839875
5.741403e-05,9.939567,0.0,266,35,0.115070485,-2.1750364303588867,4480,1120,-0.0024803034,23.436930418014526,500.0,183.274839875
9.5171956e-05,9.940245,0.0,280,36,0.16822226,-0.3971436023712158,4608,1152,-0.0042776763,23.917388200759888,500.0,183.274839875
