n_updates,time_elapsed,total_timesteps,value_loss,explained_variance,approxkl,fps,policy_entropy,clipfrac,policy_loss,serial_timesteps,ep_len_mean,ep_reward_mean
1,5.0067901611328125e-06,896,0.56942916,-0.48336565494537354,0.0007601449,257,9.931788,0.00083705364,-0.007012485,128,,
2,3.4802052974700928,1792,0.22498694,-0.6549628973007202,0.0004266084,373,9.930167,0.0,-0.0036581336,256,,
3,5.88112473487854,2688,0.21057904,-0.4596744775772095,0.00028691025,336,9.933225,0.0,-0.0028921529,384,,
4,8.54541540145874,3584,0.16977663,-0.3166121244430542,0.0004883082,351,9.93836,0.0,-0.0044567487,512,,
5,11.093799114227295,4480,0.09871848,-0.9607158899307251,0.0006513025,333,9.946254,0.00027901787,-0.0052915495,640,,
6,13.77705693244934,5376,0.1856348,-0.2833116054534912,0.0007752112,364,9.950064,0.0016741073,-0.006704654,768,,
7,16.23357582092285,6272,0.1377576,-0.8663803339004517,0.00083939213,345,9.953427,0.001953125,-0.005681951,896,,
8,18.827110767364502,7168,0.27529147,-0.3625081777572632,0.0007662216,112,9.954349,0.0011160715,-0.0052833515,1024,1000.0,363.83409142857136
9,26.760262489318848,8064,0.24222834,-0.3563699722290039,0.0005675696,359,9.959723,0.00027901787,-0.004126115,1152,1000.0,363.83409142857136
10,29.2563054561615,8960,0.18670405,-0.43815338611602783,0.0006899814,354,9.963375,0.001953125,-0.0060697934,1280,1000.0,363.83409142857136
11,31.786028623580933,9856,0.22538495,-0.5865739583969116,0.0012589514,361,9.964568,0.0055803573,-0.007383387,1408,1000.0,363.83409142857136
12,34.265297651290894,10752,0.19844878,-0.6562124490737915,0.0020394966,360,9.96151,0.014787946,-0.008655414,1536,1000.0,363.83409142857136
13,36.75310659408569,11648,0.34518537,-0.4240257740020752,0.001704537,341,9.960342,0.011997768,-0.0058361855,1664,1000.0,363.83409142857136
14,39.375969648361206,12544,0.21703826,-0.6549111604690552,0.0016429208,343,9.962653,0.011439732,-0.005950425,1792,1000.0,363.83409142857136
15,41.98414397239685,13440,0.2535047,-0.3661925792694092,0.001912818,364,9.964947,0.012276785,-0.005228229,1920,1000.0,363.83409142857136
16,44.44307279586792,14336,0.3990458,-0.1919029951095581,0.0023771194,111,9.963147,0.020089287,-0.006267749,2048,1000.0,447.4685405714285
17,52.482027530670166,15232,0.20843546,-0.38226258754730225,0.002931192,347,9.961723,0.029296875,-0.009649577,2176,1000.0,447.4685405714285
18,55.05981373786926,16128,0.26446882,-0.1201162338256836,0.0028947492,387,9.962648,0.02734375,-0.008277114,2304,1000.0,447.4685405714285
19,57.37264800071716,17024,0.54215187,-0.11676633358001709,0.0024040658,372,9.96048,0.01953125,-0.006508366,2432,1000.0,447.4685405714285
20,59.77906799316406,17920,0.13685918,-0.2556687593460083,0.003488501,349,9.960378,0.043247767,-0.0076874206,2560,1000.0,447.4685405714285
21,62.33983063697815,18816,0.17397474,-0.18183374404907227,0.0028124545,402,9.961472,0.031808034,-0.00674368,2688,1000.0,447.4685405714285
22,64.56731224060059,19712,0.10888184,-0.3385533094406128,0.0036389977,393,9.96046,0.039620534,-0.007150582,2816,1000.0,447.4685405714285
