fps,total_timesteps,policy_entropy,nupdates,explained_variance,value_loss,ep_len_mean,ep_reward_mean
99,35,9.93256950378418,1,-0.033204078674316406,36.34108352661133,,
353,3500,9.933791160583496,100,-0.11268699169158936,6.313295841217041,,
288,7000,9.936151504516602,200,-0.0009694099426269531,105.96186065673828,1000.0,698.8606055714287
310,10500,9.94031810760498,300,-0.13944625854492188,4.924663543701172,1000.0,698.8606055714287
285,14000,9.937631607055664,400,0.0008455514907836914,124.0481185913086,1000.0,723.339097857143
299,17500,9.9400053024292,500,0.06998974084854126,13.62629222869873,1000.0,723.339097857143
287,21000,9.955151557922363,600,0.21611535549163818,3.4064533710479736,1000.0,684.518922904762
296,24500,9.953635215759277,700,0.07646328210830688,25.6662540435791,1000.0,684.518922904762
286,28000,9.931695938110352,800,0.06707996129989624,42.598297119140625,1000.0,696.9256567857145
294,31500,9.929275512695312,900,0.7347705066204071,0.04452071711421013,1000.0,696.9256567857145
288,35000,9.94647216796875,1000,0.05613875389099121,19.72057342529297,1000.0,634.0770210285715
291,38500,9.923543930053711,1100,0.1225312352180481,7.441346168518066,1000.0,634.0770210285715
283,42000,9.894185066223145,1200,-0.08595466613769531,274.6690979003906,1000.0,630.1049103809523
289,45500,9.87813949584961,1300,0.0012227892875671387,76.67955017089844,1000.0,630.1049103809523
283,49000,9.912044525146484,1400,-30.19673728942871,309.1949768066406,1000.0,621.3428889183674
285,52500,9.921181678771973,1500,0.04010874032974243,8.25011920928955,1000.0,621.3428889183674
281,56000,9.916369438171387,1600,-0.00805974006652832,788.5396728515625,1000.0,625.0825382678571
284,59500,9.89419174194336,1700,0.15363770723342896,1.9520390033721924,1000.0,625.0825382678571
280,63000,9.849994659423828,1800,0.002937495708465576,1113.7568359375,1000.0,696.2428216984129
283,66500,9.841443061828613,1900,0.01078343391418457,16.338212966918945,1000.0,696.2428216984129
280,70000,9.83513355255127,2000,0.0038126111030578613,2031.049072265625,1000.0,799.0960265857144
284,73500,9.811859130859375,2100,-0.00016045570373535156,408.7906188964844,1000.0,799.0960265857144
280,77000,9.7913236618042,2200,-6.0091729164123535,2349.079345703125,1000.0,928.7710834155844
283,80500,9.79237174987793,2300,0.0043773651123046875,343.7632751464844,1000.0,928.7710834155844
281,84000,9.781417846679688,2400,0.004064619541168213,2804.899169921875,1000.0,1041.9526245833335
284,87500,9.798014640808105,2500,0.0003725290298461914,647.704833984375,1000.0,1041.9526245833335
282,91000,9.790306091308594,2600,-0.0003510713577270508,3936.33203125,1000.0,1331.960471208791
285,94500,9.783432960510254,2700,-4.8041343688964844e-05,89.5001449584961,1000.0,1331.960471208791
284,98000,9.773387908935547,2800,-3.2067298889160156e-05,3704.49462890625,1000.0,1508.9759944999998
286,101500,9.7550048828125,2900,-0.0001043081283569336,121.80522918701172,1000.0,1508.9759944999998
284,105000,9.70784854888916,3000,0.00018388032913208008,5851.82080078125,1000.0,1828.4419555699997
285,108500,9.700852394104004,3100,1.8477439880371094e-06,153.10874938964844,1000.0,1828.4419555699997
283,112000,9.694238662719727,3200,4.2438507080078125e-05,6773.04443359375,1000.0,2141.6382622
286,115500,9.633540153503418,3300,4.0650367736816406e-05,997.851806640625,1000.0,2141.6382622
284,119000,9.613578796386719,3400,0.00017327070236206055,6095.3046875,1000.0,2576.17494067
285,122500,9.582047462463379,3500,0.00011259317398071289,619.8336791992188,1000.0,2576.17494067
283,126000,9.575145721435547,3600,-1.0848045349121094e-05,7401.94677734375,1000.0,3344.2103237
285,129500,9.571755409240723,3700,-2.372264862060547e-05,1339.4208984375,1000.0,3344.2103237
283,133000,9.549005508422852,3800,-1.1920928955078125e-07,8511.0185546875,1000.0,4268.51817053
285,136500,9.555089950561523,3900,-6.4373016357421875e-06,7863.52783203125,1000.0,4268.51817053
