policy_loss,explained_variance,total_timesteps,policy_entropy,value_loss,fps,nupdates,ep_len_mean,ep_reward_mean
-0.07798238098621368,0.01948368549346924,0,4.2568159103393555,11.959006309509277,61,1,,
-0.06397707015275955,0.3787130117416382,8019,4.257855415344238,0.09107613563537598,131,100,1001.0,1184.3680485
-0.10695288330316544,0.05420154333114624,16119,4.242434501647949,0.023250732570886612,129,200,1001.0,4170.247837
-0.10073180496692657,0.15329384803771973,24219,4.228988170623779,0.035191796720027924,129,300,1001.0,5427.3554227
-0.11070641875267029,-0.06905436515808105,32319,4.2124409675598145,0.013097455725073814,128,400,1001.0,6350.3278792500005
-0.06813422590494156,0.03221482038497925,40419,4.198719501495361,0.035001832991838455,128,500,1001.0,6961.3357416944455
-0.01061713695526123,-0.12045490741729736,48519,4.192757606506348,0.02779368683695793,128,600,1001.0,7444.605661704545
-0.2322305589914322,0.05798465013504028,56619,4.17594051361084,0.015417280606925488,128,700,1001.0,7835.762216961537
-0.15603967010974884,-0.4754739999771118,64719,4.150191307067871,0.01974562183022499,128,800,1001.0,8145.926604433333
-0.07425391674041748,-0.20323550701141357,72819,4.125507831573486,0.011812371201813221,128,900,1001.0,8415.630793352942
-0.031025199219584465,-0.08946108818054199,80919,4.116981506347656,0.01873951032757759,127,1000,1001.0,8644.367477328948
-0.27960699796676636,0.05395054817199707,89019,4.100886821746826,0.015929657965898514,126,1100,1001.0,8843.489697190476
-0.09215547144412994,0.03025209903717041,97119,4.082771301269531,0.012521150521934032,125,1200,1001.0,9032.39653202174
-0.385271817445755,-0.17440497875213623,105219,4.073093414306641,0.008823510259389877,124,1300,1001.0,9207.670031840002
-0.285597026348114,-0.021109700202941895,113319,4.057528495788574,0.014102073386311531,123,1400,1001.0,9857.999688079999
-0.14703184366226196,-0.139276385307312,121419,4.0389790534973145,0.008049359545111656,122,1500,1001.0,10270.027740140002
-0.02340570278465748,-0.07671213150024414,129519,4.017139434814453,0.011483447626233101,121,1600,1001.0,10546.101519290001
0.0826391950249672,-0.17601585388183594,137619,3.9983296394348145,0.010411141440272331,120,1700,1001.0,10768.318921730002
-0.13536623120307922,0.16645514965057373,145719,3.9974772930145264,0.008967776782810688,120,1800,1001.0,10977.069812500002
0.010635904967784882,-0.2367333173751831,153819,3.986725330352783,0.009400689974427223,119,1900,1001.0,11151.33264701
0.09010867029428482,0.11539793014526367,161919,3.9787821769714355,0.008452118374407291,119,2000,1001.0,11310.896401180002
-0.23891104757785797,0.011657655239105225,170019,3.9612274169921875,0.005228593945503235,118,2100,1001.0,11453.76614448
-0.13214631378650665,0.05300629138946533,178119,3.949333667755127,0.008616149425506592,118,2200,1001.0,11582.858282969999
-0.31965354084968567,-0.19685828685760498,186219,3.9317829608917236,0.0047306097112596035,118,2300,1001.0,11709.98876937
-0.30333349108695984,-0.1298750638961792,194319,3.9180908203125,0.00595661997795105,118,2400,1001.0,11828.13828616
0.0469142310321331,-0.04109477996826172,202419,3.907275676727295,0.0070224059745669365,117,2500,1001.0,11932.01690664
0.1435813009738922,-0.01944911479949951,210519,3.879586696624756,0.00842052511870861,117,2600,1001.0,12017.52366641
0.2705034911632538,0.0980302095413208,218619,3.8661608695983887,0.00577451940625906,117,2700,1001.0,12103.702731149997
0.030309300869703293,-0.08391022682189941,226719,3.8583500385284424,0.006475638598203659,117,2800,1001.0,12173.064832880002
-0.08362177759408951,0.19383585453033447,234819,3.844062328338623,0.006067935843020678,117,2900,1001.0,12242.650247169999
0.0017612017691135406,-0.12215876579284668,242919,3.831803560256958,0.006289674434810877,117,3000,1001.0,12302.52415861
0.19625979661941528,0.049836158752441406,251019,3.8221843242645264,0.0076267411932349205,116,3100,1001.0,12354.44416602
7.878988981246948e-06,0.07861554622650146,259119,3.8112869262695312,0.005823043175041676,116,3200,1001.0,12400.53843477
-0.2716437876224518,0.13294148445129395,267219,3.7892518043518066,0.0032958784140646458,116,3300,1001.0,12449.661794160002
-0.2222708910703659,-0.17361140251159668,275319,3.7801623344421387,0.004174268338829279,116,3400,1001.0,12492.966917110001
-0.06981922686100006,0.11293137073516846,283419,3.761430263519287,0.0046352483332157135,116,3500,1001.0,12539.728098090003
0.010124307125806808,0.12608039379119873,291519,3.765052318572998,0.003482367377728224,116,3600,1001.0,12574.275067999999
-0.21472501754760742,0.5675489008426666,299619,3.758659839630127,0.002127044601365924,115,3700,1001.0,12605.396820529999
0.10005100071430206,0.21797621250152588,307719,3.750542163848877,0.0037658927030861378,115,3800,1001.0,12633.945973189999
-0.15165193378925323,0.3501852750778198,315819,3.7422943115234375,0.005591873079538345,115,3900,1001.0,12662.148707169998
0.12430992722511292,0.2347450852394104,323919,3.7297816276550293,0.0031221495009958744,115,4000,1001.0,12691.87539631
-0.030955540016293526,0.4727935791015625,332019,3.71864652633667,0.004546981304883957,115,4100,1001.0,12711.80911595
-0.024924661964178085,0.07915180921554565,340119,3.703705310821533,0.004441342316567898,115,4200,1001.0,12731.552748269994
-0.0018565431237220764,0.27705198526382446,348219,3.6948084831237793,0.003406850155442953,115,4300,1001.0,12754.153016479999
0.10213718563318253,0.34030306339263916,356319,3.6827006340026855,0.0035704676993191242,115,4400,1001.0,12771.113768850002
