explained_variance,value_loss,policy_entropy,nupdates,fps,total_timesteps,ep_len_mean,ep_reward_mean
-0.10485005378723145,9.243585586547852,9.932570457458496,1,190,128,,
-2.6773176193237305,0.10067815333604813,9.92829704284668,100,189,12800,500.0,211.09318274999998
-0.056996703147888184,3.316500663757324,9.89552116394043,200,190,25600,500.0,211.45423637500002
-0.45056724548339844,0.2624819576740265,9.903779029846191,300,187,38400,500.0,222.8566070789474
0.06795388460159302,0.13237324357032776,9.816862106323242,400,187,51200,500.0,231.01571852000004
0.06694787740707397,7.0598368644714355,9.680398941040039,500,187,64000,500.0,274.35669833
0.36137157678604126,0.375455766916275,9.64155101776123,600,190,76800,500.0,479.45773061
0.03206133842468262,0.10925157368183136,9.487363815307617,700,190,89600,500.0,1091.6030438700002
0.00231170654296875,0.03171437606215477,9.200620651245117,800,189,102400,500.0,2286.20169985
-0.06421220302581787,0.044834814965724945,8.798248291015625,900,189,115200,500.0,3418.2387407099995
0.19985347986221313,9.07239055633545,8.51630973815918,1000,188,128000,500.0,4050.9491457400004
-0.4598722457885742,0.016900083050131798,8.608040809631348,1100,189,140800,500.0,4078.67900735
0.5734052956104279,1.4499691133096348e-05,8.972739219665527,1200,188,153600,500.0,3975.00505697
0.024406373500823975,0.0017357892356812954,9.372835159301758,1300,188,166400,500.0,3605.7675619200004
0.00018525123596191406,5.013109330320731e-05,10.130280494689941,1400,188,179200,500.0,3834.8468112300006
1.9431114196777344e-05,3.187791109085083,10.466767311096191,1500,187,192000,500.0,3867.40876743
0.22855651378631592,0.0008481891127303243,11.424421310424805,1600,187,204800,500.0,3839.5512836100006
0.13127082586288452,0.00030283041996881366,12.353440284729004,1700,187,217600,500.0,3778.9520325399994
-0.004868149757385254,0.0021488843485713005,13.344745635986328,1800,186,230400,500.0,3663.5893427599995
-0.10096144676208496,0.002721830504015088,13.604264259338379,1900,186,243200,500.0,3629.36772695
0.009216547012329102,2.597111701965332,13.882399559020996,2000,185,256000,500.0,3497.97803181
0.04723358154296875,0.0016107200644910336,13.963913917541504,2100,185,268800,500.0,3421.2743789300002
0.21179383993148804,0.0004134215705562383,14.359111785888672,2200,185,281600,500.0,3423.3695107299995
-0.08058726787567139,0.0007102122763171792,15.12203598022461,2300,185,294400,500.0,3442.48214183
-0.09310615062713623,0.0017542754067108035,15.491562843322754,2400,185,307200,500.0,3461.37163455
-0.002812027931213379,2.8187038898468018,16.067964553833008,2500,184,320000,500.0,3467.79803857
0.04637175798416138,0.0033231840934604406,16.277616500854492,2600,184,332800,500.0,3410.43792021
-0.14641904830932617,0.0004406528314575553,16.54475212097168,2700,184,345600,500.0,3346.98335243
-0.0018104314804077148,0.00719977542757988,16.99360466003418,2800,183,358400,500.0,3319.75489986
0.002956688404083252,0.0004174801870249212,17.571382522583008,2900,184,371200,500.0,3366.4546164799995
0.0015231966972351074,3.2788500785827637,18.012775421142578,3000,183,384000,500.0,3464.07286061
-0.075966477394104,0.0009915509726852179,18.00429916381836,3100,183,396800,500.0,3475.1340448200003
-6.686644554138184,9.299137673224322e-06,18.630382537841797,3200,183,409600,500.0,3455.78808268
-0.016079306602478027,0.002149665728211403,19.333084106445312,3300,183,422400,500.0,3367.102175630001
-0.03613018989562988,0.00043915759306401014,19.654407501220703,3400,183,435200,500.0,3303.28001643
0.13087373971939087,9.779915809631348,20.275514602661133,3500,182,448000,500.0,3442.3502320499992
0.1534443497657776,0.07855331897735596,20.222564697265625,3600,183,460800,500.0,3897.63173729
0.07504522800445557,0.00949520617723465,19.716083526611328,3700,183,473600,500.0,4110.820663629999
0.40230822563171387,0.024244103580713272,19.792573928833008,3800,183,486400,500.0,4498.042073330001
0.005505859851837158,0.05961001664400101,20.62337875366211,3900,183,499200,500.0,4670.26920641
