explained_variance,fps,nupdates,total_timesteps,policy_loss,value_loss,policy_entropy,ep_len_mean,ep_reward_mean
-0.04452478885650635,50,1,0,-0.12037470936775208,2.9174184799194336,4.2568159103393555,,
-0.294514536857605,86,100,8019,0.012080583721399307,0.16086113452911377,4.256836414337158,1001.0,775.18641675
-0.9984802007675171,85,200,16119,0.20921725034713745,0.2887558937072754,4.256865978240967,1001.0,833.08632025
0.022189319133758545,85,300,24219,0.03990962356328964,0.361998587846756,4.256880283355713,1001.0,790.5197290499999
-0.6423925161361694,84,400,32319,-0.1393551230430603,0.10015217959880829,4.2569122314453125,1001.0,807.6703963571427
-3.876669406890869,84,500,40419,-0.02853451855480671,0.2285783290863037,4.2569122314453125,1001.0,783.88635975
-5.488640308380127,84,600,48519,-0.1409597247838974,0.09823387861251831,4.256930828094482,1001.0,775.8834932499999
-1.5190958976745605,84,700,56619,-0.29575666785240173,0.09372638911008835,4.25693416595459,1001.0,761.9380945769233
-1.739154577255249,84,800,64719,-0.05842026695609093,0.20898675918579102,4.2569475173950195,1001.0,791.1159211333332
-0.4760509729385376,84,900,72819,0.03317306190729141,0.37072843313217163,4.256946563720703,1001.0,796.8997735735293
0.18188703060150146,84,1000,80919,-0.031495556235313416,0.19955414533615112,4.256943225860596,1001.0,794.1052385526317
-2.376533031463623,84,1100,89019,0.0799180269241333,0.17948338389396667,4.256985187530518,1001.0,795.9696988452382
-3.6545701026916504,84,1200,97119,-0.10881994664669037,0.1675793081521988,4.256999492645264,1001.0,806.3134412065216
0.00775676965713501,84,1300,105219,-0.0589977502822876,0.3033079504966736,4.256993293762207,1001.0,802.35319964
-0.45663726329803467,83,1400,113319,0.038691531866788864,0.22333002090454102,4.257022380828857,1001.0,801.5053803800001
-1.9003021717071533,83,1500,121419,-0.06115421652793884,0.23000869154930115,4.2570414543151855,1001.0,801.3697258899999
-7.815569877624512,83,1600,129519,-0.17353230714797974,0.10070522129535675,4.257046222686768,1001.0,789.8288906799999
-0.5284868478775024,83,1700,137619,0.06471806764602661,0.35196128487586975,4.257061004638672,1001.0,787.9605086299999
