nupdates,fps,policy_entropy,value_loss,total_timesteps,policy_loss,explained_variance,ep_reward_mean,ep_len_mean
1,120,9.932570457458496,168.0831298828125,0,-0.18310151994228363,0.013494551181793213,,
100,269,9.836409568786621,122.47400665283203,13959,-0.045244570821523666,0.19386601448059082,325.93418907142853,1000.0
200,270,9.84910774230957,194.99697875976562,28059,-0.15716446936130524,0.0027832388877868652,357.2086404642858,1000.0
300,266,9.866006851196289,369.97686767578125,42159,-0.050194717943668365,0.02506929636001587,404.03301542857145,1000.0
400,265,9.878494262695312,438.2479248046875,56259,0.1476958990097046,-0.0017769336700439453,484.99736373214284,1000.0
500,267,9.912837028503418,1045.84912109375,70359,0.08880254626274109,0.001461029052734375,601.9640329571429,1000.0
600,268,9.95893669128418,981.9522094726562,84459,-0.13174861669540405,0.010031044483184814,700.9483415357141,1000.0
700,270,9.971495628356934,1204.8123779296875,98559,-0.37264373898506165,0.0059389472007751465,892.1244560204083,1000.0
800,272,9.97398567199707,1808.1688232421875,112659,-0.1662905216217041,0.007747828960418701,1129.07344282,1000.0
900,274,9.999314308166504,1594.0487060546875,126759,0.06356668472290039,0.0014334917068481445,1365.47644336,1000.0
1000,274,10.019590377807617,2155.00927734375,140859,-0.012616366147994995,0.038336873054504395,1648.40109027,1000.0
1100,275,10.022353172302246,3098.93359375,154959,0.020533956587314606,0.0025238394737243652,1967.93130052,1000.0
1200,276,10.029250144958496,32605.0859375,169059,-0.15152612328529358,0.0005900263786315918,2276.3078471,1000.0
1300,276,10.034642219543457,1794.3936767578125,183159,0.1626231074333191,0.017432808876037598,2621.11866123,1000.0
1400,276,10.043283462524414,2733.239990234375,197259,-0.40666133165359497,0.03971368074417114,2796.0592375700003,1000.0
1500,277,10.04736328125,2550.42626953125,211359,0.05505749583244324,0.028480708599090576,3024.775397249999,1000.0
1600,277,10.053816795349121,3949.12060546875,225459,-0.20737537741661072,0.0054988861083984375,3210.6130153500003,1000.0
1700,277,10.050966262817383,9019.5439453125,239559,-0.04704577848315239,0.004958033561706543,3504.7556589999995,1000.0
1800,278,10.061666488647461,2958.782470703125,253659,0.0640498697757721,0.0037790536880493164,3610.6545647400008,1000.0
1900,278,10.069305419921875,2712.3916015625,267759,0.2213757038116455,0.007872819900512695,3743.7213121799996,1000.0
2000,278,10.068541526794434,2751.064208984375,281859,0.05899149924516678,0.10167902708053589,3955.7256758000008,1000.0
2100,278,10.072800636291504,3354.19140625,295959,0.13527297973632812,0.08206665515899658,4110.69325449,1000.0
2200,278,10.072599411010742,4196.6533203125,310059,-0.1545903980731964,0.005538761615753174,4172.83919155,1000.0
2300,278,10.072736740112305,31806.693359375,324159,-0.031790606677532196,0.012356460094451904,4462.54349395,1000.0
2400,278,10.079869270324707,5519.66845703125,338259,-0.0957460030913353,0.051070451736450195,4515.4636616,1000.0
2500,278,10.08350658416748,4934.4404296875,352359,-0.3597217798233032,0.02612161636352539,4748.47204063,1000.0
2600,278,10.088252067565918,5155.93798828125,366459,0.06054903566837311,0.04017883539199829,4929.33424148,1000.0
2700,278,10.092618942260742,4911.54150390625,380559,-0.07522749900817871,0.01878666877746582,4982.12771797,1000.0
2800,277,10.096409797668457,41586.44921875,394659,-0.14147236943244934,0.008870363235473633,5127.101064189999,1000.0
2900,278,10.097630500793457,24572.966796875,408759,-0.28980880975723267,0.013007640838623047,5396.722485,1000.0
3000,277,10.102632522583008,4866.93310546875,422859,-0.08736854046583176,0.00511622428894043,5597.034881079999,1000.0
3100,277,10.108293533325195,5647.8486328125,436959,-0.46108222007751465,0.14368683099746704,5903.58499295,1000.0
3200,277,10.11030387878418,11988.62890625,451059,-0.06408322602510452,0.003426790237426758,5939.535047990001,1000.0
3300,277,10.110508918762207,6046.18505859375,465159,0.019160494208335876,0.006030678749084473,6001.84065783,1000.0
3400,277,10.116531372070312,15590.5673828125,479259,-0.10791844129562378,0.017435014247894287,6192.1490093,1000.0
3500,276,10.121663093566895,8626.9912109375,493359,-0.3189314603805542,0.028191208839416504,6459.726767470001,1000.0
3600,276,10.12647533416748,12201.78515625,507459,-0.33503812551498413,0.035483360290527344,6603.337623459999,1000.0
3700,276,10.132462501525879,8534.423828125,521559,0.04245065897703171,0.0582544207572937,6643.919421099999,1000.0
3800,276,10.13441276550293,8333.935546875,535659,-0.2530389130115509,0.09388160705566406,6691.863847239999,1000.0
3900,276,10.137303352355957,41707.12109375,549759,0.12935557961463928,0.01763206720352173,6865.908909759999,1000.0
4000,276,10.144648551940918,20273.8671875,563859,-0.32460445165634155,0.016365110874176025,7117.767709149999,1000.0
4100,275,10.149291038513184,10763.515625,577959,-0.1424715369939804,0.009002983570098877,7220.21634372,1000.0
4200,275,10.151764869689941,13872.3818359375,592059,0.048630863428115845,0.051138877868652344,7429.992256380001,1000.0
4300,275,10.154695510864258,10157.8349609375,606159,-0.2061501145362854,0.004688620567321777,7660.9023354599985,1000.0
4400,275,10.160585403442383,12938.1806640625,620259,-0.13004490733146667,0.07198959589004517,7833.053506289999,1000.0
4500,275,10.160825729370117,12348.2890625,634359,-0.26780077815055847,0.016719698905944824,7924.1456665000005,1000.0
4600,274,10.163971900939941,12786.296875,648459,-0.048711638897657394,0.21313393115997314,8205.140301369998,1000.0
4700,274,10.167734146118164,15307.7001953125,662559,-0.02735711634159088,0.02766132354736328,8429.68016746,1000.0
4800,274,10.168806076049805,11681.234375,676659,-0.028736956417560577,0.007591068744659424,8625.770246349997,1000.0
4900,274,10.17418384552002,13198.51953125,690759,-0.10099676996469498,0.04273933172225952,8528.48832217,1000.0
5000,274,10.178954124450684,13755.9365234375,704859,-0.28210026025772095,0.00798887014389038,8729.827591070001,1000.0
5100,274,10.178679466247559,12105.6572265625,718959,-0.16381996870040894,0.060070812702178955,9009.35053202,1000.0
5200,274,10.181532859802246,20754.47265625,733059,0.05185903608798981,0.004315435886383057,9204.6363166,1000.0
5300,273,10.187077522277832,28285.927734375,747159,-0.28989797830581665,0.0031052231788635254,9333.98845468,1000.0
5400,273,10.188676834106445,14622.271484375,761259,0.26404672861099243,0.00664597749710083,9632.73373944,1000.0
5500,273,10.194803237915039,28584.849609375,775359,-0.19782964885234833,0.0009263753890991211,9935.61621717,1000.0
5600,273,10.195474624633789,25848.986328125,789459,-0.23921902477741241,0.015681684017181396,10236.31114436,1000.0
5700,273,10.196690559387207,12988.5771484375,803559,0.044254153966903687,0.0020450353622436523,10474.853886019999,1000.0
5800,273,10.201420783996582,152122.765625,817659,-0.15957635641098022,0.00011098384857177734,10788.886084650001,1000.0
5900,272,10.209169387817383,20560.041015625,831759,-0.05899427831172943,0.004139542579650879,11087.079977959998,1000.0
6000,272,10.213343620300293,25383.23046875,845859,-0.42535290122032166,0.0005384683609008789,11394.674997459997,1000.0
6100,272,10.215804100036621,31173.90625,859959,-0.06489133834838867,0.0002535581588745117,11699.880391059998,1000.0
6200,272,10.217585563659668,23627.533203125,874059,-0.46135470271110535,0.00209963321685791,11850.69938585,1000.0
6300,272,10.219820022583008,36355.7109375,888159,-0.06554665416479111,0.002420485019683838,12069.859067069998,1000.0
6400,271,10.221207618713379,24543.4375,902259,0.07056210935115814,0.05190253257751465,12141.126409529998,1000.0
6500,271,10.220305442810059,22538.123046875,916359,-0.09923747926950455,0.054426372051239014,12244.915123719997,1000.0
6600,271,10.221776008605957,63386.234375,930459,-0.07806162536144257,0.0037221312522888184,12312.651730250001,1000.0
6700,271,10.224976539611816,47129.03515625,944559,-0.18414762616157532,0.004819989204406738,12566.855670149998,1000.0
6800,271,10.226292610168457,110285.40625,958659,0.19863218069076538,3.892183303833008e-05,12565.662697640004,1000.0
6900,271,10.229127883911133,14390.294921875,972759,-0.13721241056919098,0.001734912395477295,12840.133703779997,1000.0
