policy_loss,value_loss,nupdates,total_timesteps,policy_entropy,explained_variance,fps,ep_len_mean,ep_reward_mean
-0.20749978721141815,23.749492645263672,1,0,4.2568159103393555,0.018925011157989502,60,,
-0.16506892442703247,0.009756293147802353,100,8019,4.387786388397217,0.6303727626800537,117,1001.0,5718.45763375
-0.060134030878543854,0.010267307050526142,200,16119,4.254955291748047,0.9346671476960182,119,1001.0,7734.111391083333
-0.09688781201839447,0.006908347364515066,300,24219,4.227209568023682,0.9271330311894417,119,1001.0,8550.418637300001
0.05907551199197769,0.008590753190219402,400,32319,4.214155673980713,0.40496569871902466,116,1001.0,9010.841260214285
-0.34392261505126953,0.005491088144481182,500,40419,4.156820774078369,-0.1159968376159668,114,1001.0,9327.20116561111
-0.10617367923259735,0.0040724016726017,600,48519,4.082015037536621,0.06030756235122681,113,1001.0,9654.928480749999
0.11998322606086731,0.0030146741773933172,700,56619,4.03009033203125,0.8835115060210228,112,1001.0,9960.512211115383
-0.2055361419916153,0.003536594333127141,800,64719,3.9943079948425293,0.5574625432491302,112,1001.0,10231.450552466667
-0.09432119131088257,0.0009002616861835122,900,72819,3.9126858711242676,0.8206456750631332,111,1001.0,10456.934834750002
-0.08387178182601929,0.0022672757040709257,1000,80919,3.8840880393981934,0.7948570251464844,111,1001.0,10658.742764394736
-0.09232105314731598,0.0009458976564928889,1100,89019,3.85243558883667,0.7786219120025635,111,1001.0,10835.597424297619
-0.10491520911455154,0.0011300805490463972,1200,97119,3.759430408477783,0.7743720263242722,110,1001.0,10999.940251032607
-0.08081381022930145,0.0010504255769774318,1300,105219,3.716582775115967,-0.9115167856216431,110,1001.0,11141.67269408
-0.12355367094278336,0.0011962460121139884,1400,113319,3.6595187187194824,0.6443595588207245,109,1001.0,11583.317933539998
-0.18078267574310303,0.0012377651873975992,1500,121419,3.61907958984375,-0.18040704727172852,109,1001.0,11882.535133879997
-0.06955055892467499,0.001529125147499144,1600,129519,3.5451292991638184,0.04182255268096924,109,1001.0,12115.94337099
-0.11751815676689148,0.0014226784696802497,1700,137619,3.501068592071533,0.15916591882705688,109,1001.0,12332.290803439999
-0.17752155661582947,0.0013600694946944714,1800,145719,3.4572033882141113,0.2699732184410095,109,1001.0,12524.80437522
0.13446402549743652,0.0014930088073015213,1900,153819,3.4278597831726074,0.493313729763031,109,1001.0,12631.393569260003
-0.08244480192661285,0.0023116369266062975,2000,161919,3.393406391143799,0.5298527181148529,109,1001.0,12739.626828110004
-0.049622248858213425,0.0016531875589862466,2100,170019,3.392394542694092,0.17555493116378784,108,1001.0,12826.56214424
-0.20828896760940552,0.0007465825183317065,2200,178119,3.3648104667663574,-0.319915771484375,109,1001.0,12900.04567387
-0.09573318809270859,0.001064143842086196,2300,186219,3.31270170211792,0.6266849339008331,108,1001.0,12956.96647565
-0.025694243609905243,0.0010994632029905915,2400,194319,3.2613558769226074,0.7430937886238098,108,1001.0,12998.500137439998
-0.01593933254480362,0.0007876843446865678,2500,202419,3.1885414123535156,0.7781797051429749,108,1001.0,13023.1260342
-0.32354938983917236,0.0008261141483671963,2600,210519,3.1598427295684814,0.8046781569719315,108,1001.0,13049.32175255
-0.0275283083319664,0.001078205183148384,2700,218619,3.1323587894439697,0.8098773062229156,108,1001.0,13085.442589590002
-0.28052154183387756,0.0009804520523175597,2800,226719,3.097993850708008,0.8893247693777084,108,1001.0,13108.952085779998
-0.05474007502198219,0.0007839195313863456,2900,234819,3.1017343997955322,0.8013191670179367,108,1001.0,13134.41931532
-0.16224505007266998,0.000894979399163276,3000,242919,3.0738487243652344,0.8712830245494843,108,1001.0,13146.879812199997
-0.12884514033794403,0.0006067404756322503,3100,251019,3.036020040512085,0.3347194194793701,108,1001.0,13168.113009970002
-0.11605007946491241,0.0012587930541485548,3200,259119,3.0015640258789062,0.7616698890924454,108,1001.0,13167.136388969999
0.09545117616653442,0.0008757193572819233,3300,267219,2.979809045791626,0.920827604830265,108,1001.0,13179.616052120004
-0.21810835599899292,0.000703014840837568,3400,275319,2.9583449363708496,0.8994528502225876,109,1001.0,13190.581236430002
-0.16103880107402802,0.0005684716743417084,3500,283419,2.91025710105896,0.9511854387819767,109,1001.0,13201.771244369998
-0.13007976114749908,0.0008039172971621156,3600,291519,2.923673391342163,0.9255874752998352,109,1001.0,13217.09451602
-0.094561368227005,0.0014239564770832658,3700,299619,2.9186670780181885,0.8711611479520798,110,1001.0,13222.626970400002
-0.0014850441366434097,0.000910947856027633,3800,307719,2.9033846855163574,0.8976370021700859,110,1001.0,13228.271812959998
-0.15625208616256714,0.0006618154002353549,3900,315819,2.90179443359375,-0.0386432409286499,110,1001.0,13216.779891569999
-0.14192305505275726,0.0007722206646576524,4000,323919,2.9072232246398926,0.7883392721414566,110,1001.0,13220.741423060002
0.05639162287116051,0.00046722046681679785,4100,332019,2.8450262546539307,0.8966617062687874,110,1001.0,13222.35369956
0.0655587688088417,0.0002783594245556742,4200,340119,2.851766586303711,0.9444720149040222,110,1001.0,13223.349569080001
-0.11830943077802658,0.0005501086125150323,4300,348219,2.8484084606170654,0.03874409198760986,110,1001.0,13221.09069075
-0.1190371960401535,0.00043042126344516873,4400,356319,2.8724913597106934,0.9531364813446999,110,1001.0,13233.435125390002
0.11403582245111465,0.0008419619989581406,4500,364419,2.8810715675354004,0.013129711151123047,110,1001.0,13235.580801490001
-0.020659370347857475,0.0008376043406315148,4600,372519,2.8662962913513184,0.8936887755990028,110,1001.0,13221.203950889998
0.055614911019802094,0.0007979472866281867,4700,380619,2.8575098514556885,0.8800454363226891,109,1001.0,13214.64833181
-0.05275411903858185,0.0011151751969009638,4800,388719,2.845399856567383,0.007313847541809082,109,1001.0,13202.916459239997
-0.18265525996685028,0.0013217575615271926,4900,396819,2.8321263790130615,0.8504594713449478,109,1001.0,13197.193211470001
0.15392175316810608,0.0016926340758800507,5000,404919,2.803199529647827,0.7726915180683136,109,1001.0,13206.102228859998
0.03835473954677582,0.000854233861900866,5100,413019,2.822394609451294,0.8181384652853012,109,1001.0,13221.057530459999
-0.07242117822170258,0.000299272796837613,5200,421119,2.839141607284546,0.012813448905944824,109,1001.0,13236.354431730002
0.009576572105288506,0.0007302948506549001,5300,429219,2.830425500869751,0.8756488114595413,109,1001.0,13260.902944790001
0.398926317691803,0.0008521708659827709,5400,437319,2.8221073150634766,0.5670143067836761,109,1001.0,13281.391535200002
-0.16149947047233582,0.0003663396928459406,5500,445419,2.815025568008423,-0.40311551094055176,109,1001.0,13296.559929140001
-0.06694373488426208,0.0006028517964296043,5600,453519,2.8109755516052246,0.8256124407052994,109,1001.0,13311.123484579997
0.015674037858843803,0.0016648093005642295,5700,461619,2.7879366874694824,0.43499600887298584,109,1001.0,13333.64216969
0.06877947598695755,0.0020922604016959667,5800,469719,2.7776241302490234,0.33352845907211304,109,1001.0,13379.60287026
-0.21875274181365967,0.0008236825233325362,5900,477819,2.7657830715179443,0.5601431429386139,109,1001.0,13412.87539199
-0.009082572534680367,0.0015811469638720155,6000,485919,2.765688180923462,-0.05403780937194824,109,1001.0,13454.359985539999
0.11077307164669037,0.0017876159399747849,6100,494019,2.7686727046966553,-0.07811355590820312,109,1001.0,13494.399135410004
0.0326378270983696,0.000963286031037569,6200,502119,2.769747018814087,0.3628312945365906,109,1001.0,13531.91143121
