explained_variance,policy_entropy,total_timesteps,nupdates,value_loss,policy_loss,fps,ep_len_mean,ep_reward_mean
-0.5235394239425659,9.932570457458496,0,1,0.6234394311904907,-0.1418476402759552,111,,
-0.8869005441665649,10.473907470703125,13959,100,0.01840713620185852,-0.2009739875793457,213,1000.0,3.662616357142857
-4.325385570526123,10.521697998046875,28059,200,0.036688465625047684,-0.25174832344055176,205,1000.0,3.9821912857142854
-12.41986083984375,10.576756477355957,42159,300,0.03208374232053757,-0.006005764007568359,203,1000.0,4.240133166666666
-1047.2701416015625,10.624512672424316,56259,400,0.6539666056632996,-0.06362876296043396,201,1000.0,4.41564725
-1.7608904838562012,10.681654930114746,70359,500,0.45920535922050476,0.06661933660507202,205,1000.0,4.980734357142856
-0.2818443775177002,10.734498023986816,84459,600,0.399475634098053,-0.1881462037563324,210,1000.0,5.809444130952381
-1.0416150093078613,10.738649368286133,98559,700,18.724992752075195,0.08852245658636093,212,1000.0,9.530398744897958
-9.119585037231445,10.82844352722168,112659,800,8.44533634185791,0.09221746772527695,210,1000.0,13.554605950000003
-2225.490478515625,10.87162971496582,126759,900,2.121703624725342,-0.22952255606651306,208,1000.0,13.81513893
-1.8631031513214111,10.871811866760254,140859,1000,0.3803280293941498,-0.050716519355773926,208,1000.0,14.043975920000001
0.04900580644607544,10.888411521911621,154959,1100,0.4448089003562927,-0.0372338593006134,209,1000.0,15.34277902
-8.989400863647461,10.890993118286133,169059,1200,7.8280158042907715,-0.11738777905702591,208,1000.0,17.53449208
-5.07879638671875,10.920832633972168,183159,1300,1.3375884294509888,-0.04121831804513931,208,1000.0,18.25941879
-16.203903198242188,10.978785514831543,197259,1400,43.67919158935547,-0.12214011698961258,205,1000.0,26.828658100000002
-19.417137145996094,11.008271217346191,211359,1500,35.9310417175293,-0.12124069780111313,203,1000.0,30.005411480000006
-11.851916313171387,11.023940086364746,225459,1600,69.87496185302734,-0.15740865468978882,201,1000.0,41.86895185
0.020572245121002197,11.085261344909668,239559,1700,120.88133239746094,-0.08359426259994507,197,1000.0,59.63219028
-0.0009856224060058594,11.113438606262207,253659,1800,138.05357360839844,-0.27908003330230713,194,1000.0,77.52338603000001
-0.0020939111709594727,11.174407005310059,267759,1900,139.3441925048828,-0.3023882508277893,192,1000.0,93.72098398999998
-0.0021337270736694336,11.28693962097168,281859,2000,140.13653564453125,-0.10999180376529694,190,1000.0,111.16056
-0.0038782358169555664,11.337019920349121,295959,2100,147.09779357910156,0.03897848725318909,188,1000.0,121.49607461000001
-0.00904691219329834,11.428053855895996,310059,2200,145.27587890625,0.04385405778884888,187,1000.0,130.91546871
-1.9585494995117188,11.45905876159668,324159,2300,132.7583465576172,-0.21456721425056458,186,1000.0,138.99759923
-0.009504199028015137,11.491089820861816,338259,2400,149.78497314453125,-0.10116144269704819,185,1000.0,141.08997238
0.010930240154266357,11.513575553894043,352359,2500,150.95115661621094,-0.29447442293167114,185,1000.0,142.79141866000003
0.011238694190979004,11.526857376098633,366459,2600,190.3421630859375,-0.1630711406469345,185,1000.0,148.28771558999998
-11.9386568069458,11.541807174682617,380559,2700,192.32485961914062,-0.05905531719326973,184,1000.0,153.66827987
0.011921584606170654,11.63560962677002,394659,2800,239.3354034423828,-0.052401281893253326,184,1000.0,163.38547343
-6.216688632965088,11.673429489135742,408759,2900,254.93577575683594,-0.02496185153722763,184,1000.0,175.24220352
-11.381871223449707,11.708451271057129,422859,3000,209.5244903564453,-0.34663259983062744,184,1000.0,181.09758399999998
-7.065010070800781,11.747651100158691,436959,3100,251.2602081298828,0.21489204466342926,184,1000.0,193.49298949999996
-14.850360870361328,11.750706672668457,451059,3200,230.544921875,-0.24098116159439087,184,1000.0,202.01034156000003
0.0010680556297302246,11.78184700012207,465159,3300,404.55242919921875,0.2516465187072754,184,1000.0,210.90822457000002
-15.940013885498047,11.817241668701172,479259,3400,260.2864685058594,-0.45250052213668823,185,1000.0,214.16085455999996
-14.933642387390137,11.817524909973145,493359,3500,321.4638671875,0.014077223837375641,185,1000.0,215.03285759000002
-14.716033935546875,11.841246604919434,507459,3600,173.48025512695312,-0.27498406171798706,185,1000.0,209.78815575000002
-4.5576043128967285,11.842698097229004,521559,3700,400.01434326171875,0.05234426259994507,186,1000.0,211.34442826999995
-4.072446823120117,11.866867065429688,535659,3800,384.3136291503906,-0.3821461498737335,186,1000.0,218.23298688
-5.650968074798584,11.89391040802002,549759,3900,295.1982727050781,-0.04327969253063202,186,1000.0,222.75386328000002
0.015971481800079346,11.899287223815918,563859,4000,464.0375061035156,-0.3744402527809143,186,1000.0,229.57542612
-0.00016772747039794922,11.918855667114258,577959,4100,466.2264099121094,-0.22838644683361053,187,1000.0,244.61888247999997
-1.017789363861084,11.954066276550293,592059,4200,431.41265869140625,-0.19079658389091492,187,1000.0,254.72314498
-0.0047730207443237305,11.96854019165039,606159,4300,501.958984375,-0.11628906428813934,187,1000.0,269.94776384000005
-0.0019178390502929688,12.012846946716309,620259,4400,506.8875427246094,-0.10592490434646606,188,1000.0,282.20406450999997
0.0011453628540039062,12.028721809387207,634359,4500,496.09832763671875,-0.4254419505596161,188,1000.0,288.83528020999995
-1.2085964679718018,12.044951438903809,648459,4600,488.0987854003906,-0.027905777096748352,188,1000.0,299.62309007
-0.0005991458892822266,12.066410064697266,662559,4700,713.859619140625,-0.04518698900938034,189,1000.0,309.80285913000006
0.0035694241523742676,12.121295928955078,676659,4800,804.0936279296875,-0.5531712770462036,189,1000.0,324.0690311
0.0003364682197570801,12.155411720275879,690759,4900,815.4945678710938,-0.14779241383075714,189,1000.0,344.18849345
0.2541545033454895,12.177337646484375,704859,5000,851.4237670898438,-0.0009127035737037659,190,1000.0,362.1243359799999
-6.177383899688721,12.172208786010742,718959,5100,615.7069702148438,-0.16074879467487335,190,1000.0,375.55112569
-0.0002639293670654297,12.217159271240234,733059,5200,953.9026489257812,-0.08386777341365814,190,1000.0,399.73478765
-0.0004298686981201172,12.231001853942871,747159,5300,985.3564453125,-0.05360390990972519,190,1000.0,423.21107533
0.0007842779159545898,12.263066291809082,761259,5400,1075.3404541015625,-0.41589024662971497,190,1000.0,447.09934398000007
-1.0625982284545898,12.293211936950684,775359,5500,1037.271240234375,-0.07205672562122345,191,1000.0,457.96022572000004
0.011954069137573242,12.312849044799805,789459,5600,1152.9693603515625,-0.04481340944766998,191,1000.0,464.8884877499999
-0.00012385845184326172,12.355454444885254,803559,5700,1153.57373046875,0.07715362310409546,191,1000.0,479.09523476999993
7.033348083496094e-06,12.409120559692383,817659,5800,1178.8580322265625,-0.12162238359451294,191,1000.0,495.62652160000005
-0.00019872188568115234,12.413981437683105,831759,5900,1201.61669921875,-0.0656757578253746,191,1000.0,500.6779547600001
0.0013283491134643555,12.454497337341309,845859,6000,1224.3065185546875,-0.316175252199173,191,1000.0,506.1453384799999
-7.700920104980469e-05,12.453266143798828,859959,6100,1241.06201171875,-0.11235315352678299,191,1000.0,510.15376628000007
-0.00017940998077392578,12.471831321716309,874059,6200,1274.882568359375,-0.31338804960250854,191,1000.0,516.2087816300001
-0.00021278858184814453,12.509358406066895,888159,6300,1291.100830078125,-0.3117526173591614,191,1000.0,527.11132474
0.00018286705017089844,12.55341911315918,902259,6400,1295.849365234375,-0.22625595331192017,192,1000.0,529.5460052499999
0.00018656253814697266,12.560627937316895,916359,6500,1340.674072265625,-0.5905987024307251,192,1000.0,534.66341154
5.3882598876953125e-05,12.55455207824707,930459,6600,1338.9761962890625,-0.42875373363494873,192,1000.0,538.3692394799999
-2.3126602172851562e-05,12.57758617401123,944559,6700,1374.069580078125,-0.09050697088241577,192,1000.0,541.2457058399999
7.021427154541016e-05,12.587998390197754,958659,6800,1535.5460205078125,-0.2584286332130432,192,1000.0,548.0792424199999
0.0001150369644165039,12.61965560913086,972759,6900,1579.5050048828125,-0.0942157655954361,192,1000.0,552.81000198
0.0011112689971923828,12.657944679260254,986859,7000,1585.846923828125,-0.08085010945796967,192,1000.0,555.7953753
-7.081031799316406e-05,12.69383716583252,1000959,7100,1624.1590576171875,-0.293027400970459,192,1000.0,559.6679536800001
-3.826618194580078e-05,12.711167335510254,1015059,7200,1629.3458251953125,-0.12449942529201508,192,1000.0,561.47437336
-0.004553794860839844,12.728057861328125,1029159,7300,1664.9464111328125,-0.06486174464225769,193,1000.0,564.3963479399999
0.16439181566238403,12.7369384765625,1043259,7400,1658.9232177734375,-0.1553717702627182,193,1000.0,567.7664942700001
-0.0003120899200439453,12.766509056091309,1057359,7500,1679.843994140625,-0.25582072138786316,193,1000.0,570.29880978
3.8504600524902344e-05,12.810685157775879,1071459,7600,1693.9451904296875,-0.02862074226140976,193,1000.0,571.3709598099999
-0.00010728836059570312,12.836577415466309,1085559,7700,1756.3272705078125,-0.14223088324069977,193,1000.0,574.09767538
-0.0074111223220825195,12.846996307373047,1099659,7800,1752.6492919921875,0.01671922206878662,194,1000.0,573.5306553
-0.003957986831665039,12.873409271240234,1113759,7900,1761.9354248046875,-0.1178157776594162,194,1000.0,576.64276994
0.00010162591934204102,12.914738655090332,1127859,8000,1779.2635498046875,-0.22935855388641357,194,1000.0,580.31264833
0.0009497404098510742,12.958359718322754,1141959,8100,1809.98193359375,-0.0749841034412384,194,1000.0,583.77695812
0.0009366869926452637,12.993358612060547,1156059,8200,1826.5052490234375,-0.03401078283786774,194,1000.0,585.7346872100001
0.000889122486114502,13.004775047302246,1170159,8300,1860.9429931640625,-0.21273759007453918,194,1000.0,594.3290113099999
-0.0011515617370605469,13.001692771911621,1184259,8400,1886.134765625,-0.4565783441066742,195,1000.0,600.85980046
0.001407921314239502,13.007857322692871,1198359,8500,1897.3779296875,0.006470158696174622,195,1000.0,609.94626012
9.894371032714844e-06,13.04891586303711,1212459,8600,1928.0439453125,-0.07530377805233002,195,1000.0,616.0857178800001
9.47117805480957e-05,13.043122291564941,1226559,8700,1956.62548828125,-0.10127308964729309,195,1000.0,621.1513968
3.3974647521972656e-05,13.065704345703125,1240659,8800,1991.27880859375,-0.06709901243448257,196,1000.0,629.65060152
3.1054019927978516e-05,13.086406707763672,1254759,8900,2022.1705322265625,-0.21396049857139587,196,1000.0,638.45176362
-8.14199447631836e-05,13.109360694885254,1268859,9000,2052.147216796875,-0.0594019815325737,196,1000.0,641.6157625999999
-1.0728836059570312e-05,13.141236305236816,1282959,9100,2084.23486328125,0.1036299467086792,196,1000.0,644.91990796
5.6862831115722656e-05,13.209227561950684,1297059,9200,2115.930419921875,-0.007353134453296661,197,1000.0,648.55870914
-1.1444091796875e-05,13.23196029663086,1311159,9300,2145.734375,0.0064057856798172,197,1000.0,652.42809195
6.568431854248047e-05,13.24252700805664,1325259,9400,2170.2392578125,-0.5505916476249695,197,1000.0,653.72471234
-8.320808410644531e-05,13.270458221435547,1339359,9500,2201.650634765625,-0.1229884997010231,198,1000.0,655.74648777
-6.318092346191406e-06,13.301555633544922,1353459,9600,2257.859619140625,-0.1189645528793335,198,1000.0,656.99008363
-4.6372413635253906e-05,13.312561988830566,1367559,9700,2251.669677734375,0.11141642928123474,198,1000.0,657.51122182
-7.045269012451172e-05,13.314362525939941,1381659,9800,2296.46630859375,-0.22879905998706818,198,1000.0,659.21094625
2.3126602172851562e-05,13.336654663085938,1395759,9900,2310.244384765625,0.06017577648162842,199,1000.0,659.1219373299999
-1.7642974853515625e-05,13.361827850341797,1409859,10000,2341.20556640625,-0.29817450046539307,199,1000.0,658.87160655
-0.00019979476928710938,13.394119262695312,1423959,10100,2363.966796875,-0.1973901242017746,199,1000.0,659.2542435400001
-7.033348083496094e-06,13.43508529663086,1438059,10200,2386.846923828125,-0.027338460087776184,199,1000.0,656.9204556499999
-3.2782554626464844e-05,13.488875389099121,1452159,10300,2404.812255859375,-0.14616996049880981,200,1000.0,655.0643925
-0.00011467933654785156,13.518265724182129,1466259,10400,2428.14111328125,-0.43327534198760986,200,1000.0,655.65036073
0.0004773736000061035,13.541309356689453,1480359,10500,2644.673095703125,-0.04746393859386444,200,1000.0,656.11535977
-9.5367431640625e-07,13.560257911682129,1494459,10600,2813.240478515625,0.06858405470848083,200,1000.0,656.3195402499998
8.821487426757812e-06,13.590042114257812,1508559,10700,2829.10205078125,-0.03743496537208557,201,1000.0,657.63542111
0.00015097856521606445,13.59561538696289,1522659,10800,2919.18310546875,-0.049134790897369385,201,1000.0,658.79147885
5.4001808166503906e-05,13.633849143981934,1536759,10900,3026.83642578125,-0.02967519313097,201,1000.0,662.36459068
5.221366882324219e-05,13.653550148010254,1550859,11000,3033.832275390625,-0.44108909368515015,201,1000.0,664.85796919
-3.2067298889160156e-05,13.660445213317871,1564959,11100,3046.123291015625,-0.0344659760594368,201,1000.0,666.3526016199999
7.510185241699219e-06,13.724287986755371,1579059,11200,3052.794677734375,-0.21808966994285583,202,1000.0,667.7162061
3.403425216674805e-05,13.746199607849121,1593159,11300,3066.58349609375,-0.4236646592617035,202,1000.0,670.46526178
0.00038617849349975586,13.73740005493164,1607259,11400,3084.28369140625,-0.04487614333629608,202,1000.0,673.30626237
1.1265277862548828e-05,13.750202178955078,1621359,11500,3066.23828125,0.051732197403907776,202,1000.0,676.82732037
-8.83340835571289e-05,13.75216293334961,1635459,11600,3083.4033203125,0.11524686217308044,203,1000.0,682.0349353400002
3.725290298461914e-05,13.74911117553711,1649559,11700,3052.56884765625,-0.01961156725883484,203,1000.0,690.00719837
-3.826618194580078e-05,13.74649429321289,1663659,11800,3045.565673828125,-0.24250921607017517,203,1000.0,701.249713
4.988908767700195e-05,13.731858253479004,1677759,11900,3051.877685546875,-0.1143723577260971,203,1000.0,717.2172277800001
