policy_entropy,explained_variance,value_loss,fps,nupdates,policy_loss,total_timesteps,ep_reward_mean,ep_len_mean
9.932570457458496,-0.12542200088500977,3.4488635063171387,85,1,0.037739142775535583,0,,
9.725652694702148,-0.4765063524246216,2.326063632965088,220,100,-0.36674171686172485,8019,275.5683975,500.0
9.730669975280762,-0.7915253639221191,3.9519684314727783,226,200,0.25364741683006287,16119,513.2839968125,500.0
9.75313663482666,-0.21252107620239258,5.867924213409424,229,300,0.05323264002799988,24219,958.1566148541666,500.0
9.760481834411621,-0.09297299385070801,6.628310203552246,223,400,-0.18910229206085205,32319,1555.1638865625,500.0
9.740259170532227,-0.04029726982116699,7.155138969421387,219,500,-0.4033234715461731,40419,2305.8906445000002,500.0
9.678509712219238,-0.003685474395751953,6.27691650390625,216,600,-0.36707091331481934,48519,3017.84916575,500.0
9.673150062561035,0.007577419281005859,7.361833095550537,214,700,0.13215267658233643,56619,4129.40553403,500.0
9.623772621154785,0.022635042667388916,7.250937461853027,213,800,0.031827084720134735,64719,5468.422197749999,500.0
9.545450210571289,0.0364842414855957,6.6642560958862305,212,900,-0.03542747348546982,72819,6978.214111119999,500.0
9.514129638671875,-0.005422115325927734,5.8725409507751465,211,1000,-0.14272324740886688,80919,8335.19304784,500.0
9.4276123046875,-0.0033926963806152344,6.955074310302734,212,1100,-0.43285149335861206,89019,9746.454677430002,500.0
9.284195899963379,0.009172022342681885,6.479612827301025,212,1200,-0.06278231739997864,97119,11377.408425380001,500.0
9.218716621398926,-0.010457873344421387,7.396644592285156,213,1300,0.0042476654052734375,105219,13147.596721600003,500.0
9.11008358001709,0.018221795558929443,7.413824558258057,214,1400,-0.12332189083099365,113319,15030.15275763,500.0
9.054535865783691,0.030331194400787354,7.98593282699585,214,1500,0.02860921621322632,121419,16793.75562181,500.0
8.9439115524292,-0.017441153526306152,7.475514888763428,214,1600,-0.058154210448265076,129519,18557.77952105,500.0
8.827140808105469,0.0022031068801879883,6.831928253173828,215,1700,-0.3951805531978607,137619,20419.66831148,500.0
8.713590621948242,0.03144162893295288,7.4032883644104,215,1800,-0.48662322759628296,145719,22263.220050019998,500.0
8.70682430267334,0.015489459037780762,7.3566789627075195,216,1900,-0.2511994540691376,153819,23825.330524339995,500.0
8.56824016571045,-0.012000322341918945,7.146336555480957,216,2000,-0.2745702266693115,161919,25616.98155272,500.0
8.477189064025879,0.004504144191741943,7.372374534606934,216,2100,-0.3545764088630676,170019,27550.719264499996,500.0
8.36548137664795,-0.025363445281982422,7.458264350891113,217,2200,0.15692663192749023,178119,29564.016285289996,500.0
8.299384117126465,0.00832134485244751,7.694051265716553,217,2300,-0.10759535431861877,186219,31474.537035269997,500.0
8.184784889221191,-0.004130840301513672,7.553645133972168,217,2400,0.36615458130836487,194319,33464.05004216,500.0
8.10343074798584,0.013125956058502197,7.266238212585449,217,2500,-0.11506960541009903,202419,35514.386709360006,500.0
7.940093040466309,0.013952314853668213,7.655251979827881,218,2600,0.03354983776807785,210519,37575.9143071,500.0
7.821831703186035,0.1093854308128357,7.511787414550781,218,2700,0.006365396082401276,218619,39537.16554747,500.0
7.734265327453613,0.0024217963218688965,7.342842102050781,218,2800,-0.3173169493675232,226719,41411.88121418,500.0
7.559511661529541,0.031039118766784668,7.821454048156738,219,2900,-0.3036959767341614,234819,43682.662706350005,500.0
7.417031288146973,-0.008685111999511719,7.580000400543213,219,3000,-0.03691664710640907,242919,45840.53841480999,500.0
7.307640075683594,0.008557438850402832,7.739219665527344,219,3100,-0.4910616874694824,251019,48077.02875566999,500.0
7.16742467880249,-0.02408456802368164,7.704649448394775,220,3200,0.09219570457935333,259119,50040.512289549995,500.0
7.013103485107422,0.053207576274871826,7.829855442047119,220,3300,-0.3016161322593689,267219,52169.106389079985,500.0
6.893027305603027,0.014365971088409424,7.567527770996094,220,3400,-0.2306784689426422,275319,53974.57345018999,500.0
6.762755393981934,-0.19241702556610107,7.577794075012207,220,3500,-0.25058090686798096,283419,55391.17061085,500.0
6.681893348693848,0.007849812507629395,7.5242919921875,221,3600,-0.052044082432985306,291519,56809.20945719,500.0
6.584588050842285,0.036168038845062256,7.4749555587768555,221,3700,-0.08911700546741486,299619,57650.798042890005,500.0
6.520359992980957,0.004045009613037109,6.970147609710693,221,3800,-0.26632949709892273,307719,58204.86479124999,500.0
6.461169242858887,0.1522234082221985,6.924845218658447,221,3900,-0.15831473469734192,315819,58867.12130947001,500.0
6.388757228851318,-0.0004709959030151367,6.673704624176025,221,4000,0.14763352274894714,323919,59225.95561942001,500.0
6.3420915603637695,0.0033921003341674805,6.595544338226318,221,4100,0.049999453127384186,332019,59637.71676781001,500.0
6.298928260803223,-0.005006909370422363,6.451169490814209,221,4200,0.08363421261310577,340119,59942.14983817,500.0
6.244903087615967,0.004704117774963379,6.3345770835876465,221,4300,-0.31537580490112305,348219,60181.97949839,500.0
6.199954032897949,0.002545952796936035,6.270511627197266,221,4400,-0.03902263939380646,356319,60449.965741680004,500.0
6.211113929748535,-0.003657817840576172,6.155600547790527,222,4500,-0.11492414772510529,364419,60669.31183986999,500.0
6.202705383300781,-0.004277348518371582,5.97367000579834,222,4600,-0.06929431110620499,372519,60889.12132541001,500.0
6.264949798583984,-0.002540111541748047,5.8454179763793945,222,4700,-0.0563269704580307,380619,61020.706484329996,500.0
6.222827911376953,0.0021295547485351562,5.740225315093994,222,4800,0.09662593901157379,388719,61073.67985231,500.0
6.1957550048828125,0.006795942783355713,5.6789469718933105,222,4900,0.1466412991285324,396819,61030.95458310001,500.0
6.181419849395752,-0.004315972328186035,5.506089210510254,222,5000,-0.10632980614900589,404919,60987.06090640001,500.0
6.202946662902832,0.01042485237121582,5.409979343414307,222,5100,-0.2917812168598175,413019,61009.89506619,500.0
6.249736785888672,-0.013779640197753906,5.427973747253418,222,5200,0.08420254290103912,421119,61047.38969574001,500.0
6.2396769523620605,-0.00828564167022705,5.227557182312012,222,5300,0.3777245879173279,429219,61006.418629570006,500.0
