explained_variance,policy_entropy,value_loss,nupdates,total_timesteps,fps,policy_loss,ep_reward_mean,ep_len_mean
-0.015865802764892578,9.932570457458496,20.15396499633789,1,0,73,-0.49619388580322266,,
-0.04028928279876709,10.001633644104004,5.019979953765869,100,8019,242,-0.41118094325065613,292.24944400000004,1000.0
-1.6919755935668945,10.026732444763184,5.404488563537598,200,16119,246,0.0003955066204071045,425.12570325,1000.0
-0.020650744438171387,9.99735164642334,6.9316277503967285,300,24219,249,-0.13169744610786438,776.6281564166667,1000.0
0.004291534423828125,9.988409042358398,10.554258346557617,400,32319,251,0.06201798468828201,1634.62781875,1000.0
-0.021283864974975586,9.957884788513184,9.370406150817871,500,40419,252,-0.21943414211273193,2497.9463615249997,1000.0
0.0023450255393981934,9.87039852142334,7.907861232757568,600,48519,254,0.08213083446025848,3296.5207091875004,1000.0
-0.015460848808288574,9.787492752075195,7.6357421875,700,56619,255,0.09179508686065674,4042.8075672678574,1000.0
-0.013959527015686035,9.68392276763916,7.302779197692871,800,64719,256,0.25136902928352356,4807.14358203125,1000.0
0.015928328037261963,9.603744506835938,7.073729038238525,900,72819,256,-0.07856743782758713,5505.682727319444,1000.0
-0.009417295455932617,9.481954574584961,7.029040336608887,1000,80919,257,0.05634626746177673,6129.1941277000005,1000.0
-0.018265485763549805,9.398541450500488,6.91311502456665,1100,89019,257,-0.16714408993721008,6689.0945834545455,1000.0
-0.0019693374633789062,9.283434867858887,6.699490547180176,1200,97119,258,-0.21228957176208496,7197.385473135416,1000.0
-0.018230438232421875,9.195502281188965,6.52579402923584,1300,105219,259,0.13398239016532898,7930.61049646,1000.0
-0.0037271976470947266,9.089715003967285,6.3785200119018555,1400,113319,259,0.14280563592910767,8953.17925121,1000.0
6.079673767089844e-06,9.026520729064941,6.3389739990234375,1500,121419,259,-0.4582536518573761,9950.553843419999,1000.0
0.007258772850036621,8.91738224029541,6.18054723739624,1600,129519,259,0.10231496393680573,10815.55626391,1000.0
-0.005675315856933594,8.877062797546387,6.104592800140381,1700,137619,260,-0.05301258713006973,11454.96256478,1000.0
-0.005600452423095703,8.740144729614258,6.109137058258057,1800,145719,260,-0.21558552980422974,12016.456187779999,1000.0
0.004126310348510742,8.601218223571777,6.029799461364746,1900,153819,260,-0.034252315759658813,12480.384826450001,1000.0
0.0021512508392333984,8.484177589416504,6.127724647521973,2000,161919,260,0.008643560111522675,12857.128670949998,1000.0
0.015340089797973633,8.404004096984863,6.229580879211426,2100,170019,261,0.00804504007101059,13132.419812220001,1000.0
-0.07486391067504883,8.289162635803223,6.200685024261475,2200,178119,261,-0.29587090015411377,13353.13973116,1000.0
-0.0012865066528320312,8.148985862731934,6.217332363128662,2300,186219,261,-0.08392096310853958,13533.071744709998,1000.0
-0.006454586982727051,8.087140083312988,6.218416213989258,2400,194319,261,0.20914828777313232,13679.00985206,1000.0
0.0005128383636474609,7.959134578704834,6.291345596313477,2500,202419,261,-0.30631113052368164,13807.873956960002,1000.0
-0.007483363151550293,7.896454811096191,6.390215873718262,2600,210519,261,0.00851564109325409,13933.204202519999,1000.0
-0.0036466121673583984,7.803973197937012,6.380030155181885,2700,218619,262,0.1428278088569641,14045.16634795,1000.0
-0.0052258968353271484,7.725428581237793,6.43268346786499,2800,226719,262,-0.0029011592268943787,14134.37934884,1000.0
-0.0022710561752319336,7.625481605529785,6.404356956481934,2900,234819,262,0.25521203875541687,14225.782652419999,1000.0
-0.0029151439666748047,7.600736141204834,6.498216152191162,3000,242919,262,-0.15594245493412018,14356.217033239998,1000.0
-0.026830315589904785,7.540079593658447,6.644769191741943,3100,251019,262,-0.34671369194984436,14453.877639000002,1000.0
-0.0034641027450561523,7.465401649475098,6.749321937561035,3200,259119,262,-0.032935768365859985,14537.506495830003,1000.0
-0.0001157522201538086,7.474695682525635,6.8537397384643555,3300,267219,262,0.17323583364486694,14610.960145510002,1000.0
-0.004086136817932129,7.434775352478027,6.8414740562438965,3400,275319,263,0.1422819048166275,14669.68311721,1000.0
0.0016986727714538574,7.425673484802246,6.911972999572754,3500,283419,263,-0.07915041595697403,14733.003908259996,1000.0
0.03598380088806152,7.379305839538574,6.937276363372803,3600,291519,263,0.036190152168273926,14780.021281989999,1000.0
-0.003377676010131836,7.2904253005981445,7.0419602394104,3700,299619,263,-0.15759235620498657,14838.72730662,1000.0
-0.0012705326080322266,7.216897010803223,7.191938877105713,3800,307719,263,-0.07705206423997879,14894.483103570003,1000.0
-0.0031201839447021484,7.172192573547363,7.277417182922363,3900,315819,263,-0.05530492216348648,14938.39467229,1000.0
0.0019181370735168457,7.095257759094238,7.330185890197754,4000,323919,263,-0.18256983160972595,14982.01011707,1000.0
0.001007676124572754,7.044704437255859,7.327491760253906,4100,332019,263,-0.1443016529083252,15048.83677935,1000.0
-2.5510787963867188e-05,7.005725860595703,7.4927873611450195,4200,340119,263,-0.563224732875824,15097.194913030002,1000.0
0.002227485179901123,6.979142189025879,7.579301357269287,4300,348219,263,-0.13005000352859497,15146.445678420001,1000.0
-0.00304257869720459,6.935696601867676,7.491680145263672,4400,356319,263,-0.2740326523780823,15181.903097350001,1000.0
0.00406801700592041,6.892098426818848,7.708250522613525,4500,364419,263,-0.296661376953125,15216.040185380001,1000.0
-0.009907126426696777,6.783455848693848,7.719261169433594,4600,372519,263,0.1330067217350006,15256.93103607,1000.0
-0.004930853843688965,6.745755195617676,7.763060569763184,4700,380619,263,-0.184713214635849,15302.317993859999,1000.0
-0.0024362802505493164,6.725682258605957,7.754717826843262,4800,388719,263,0.16021738946437836,15331.676839690004,1000.0
0.0015419721603393555,6.645651817321777,7.889147758483887,4900,396819,264,0.28547728061676025,15353.996991259999,1000.0
-0.007953405380249023,6.611015319824219,7.8195929527282715,5000,404919,264,0.01924930512905121,15374.439216199999,1000.0
0.005038022994995117,6.631796836853027,7.897810459136963,5100,413019,264,-0.35041940212249756,15401.24058,1000.0
0.0677340030670166,6.587630271911621,8.13796329498291,5200,421119,264,-0.5377193689346313,15427.000529859999,1000.0
-0.007921934127807617,6.524958610534668,8.054313659667969,5300,429219,264,0.09362330287694931,15446.355801810003,1000.0
-0.0930171012878418,6.427558898925781,8.210983276367188,5400,437319,264,-0.011747274547815323,15460.991025270003,1000.0
-0.0028570890426635742,6.403058052062988,8.254140853881836,5500,445419,264,0.01599232852458954,15465.100482110001,1000.0
0.0004993081092834473,6.378357887268066,8.222864151000977,5600,453519,264,-0.24600982666015625,15479.583536409998,1000.0
-0.006523251533508301,6.359506130218506,8.292318344116211,5700,461619,264,0.07840371131896973,15491.78387002,1000.0
0.0025066137313842773,6.360937595367432,8.262994766235352,5800,469719,264,-0.03779291361570358,15497.097581860002,1000.0
-0.018610835075378418,6.339660167694092,8.220029830932617,5900,477819,264,-0.06746207177639008,15514.944033319996,1000.0
0.0028694868087768555,6.326682090759277,8.237580299377441,6000,485919,264,-0.15158405900001526,15529.52455715,1000.0
-0.0014214515686035156,6.295022010803223,8.122014999389648,6100,494019,264,0.16017141938209534,15558.95814361,1000.0
0.0012476444244384766,6.289832592010498,8.02896499633789,6200,502119,264,-0.1955099105834961,15582.213263110001,1000.0
