explained_variance,value_loss,fps,nupdates,policy_entropy,policy_loss,total_timesteps,ep_len_mean,ep_reward_mean
0.03670036792755127,11.0026273727417,52,1,4.2568159103393555,-0.13536500930786133,0,,
0.8312774896621704,0.007699859794229269,92,100,4.193727016448975,-0.021596016362309456,8019,1001.0,5065.37432725
0.7105172872543335,0.009059339761734009,92,200,4.104508876800537,-0.04186337813735008,16119,1001.0,6645.361894916667
0.6991382837295532,0.0027231029234826565,92,300,4.039862632751465,-0.15606355667114258,24219,1001.0,7778.835173150002
0.6096579432487488,0.003252260386943817,91,400,4.007018566131592,0.06774850189685822,32319,1001.0,8467.339077714285
0.6024781167507172,0.003784582717344165,91,500,3.9469971656799316,-0.44294440746307373,40419,1001.0,8962.177713666666
0.4187752604484558,0.0030558290891349316,91,600,3.8957571983337402,-0.1716049164533615,48519,1001.0,9373.559895681816
0.03254115581512451,0.0013725387398153543,91,700,3.834526538848877,-0.12391030788421631,56619,1001.0,9670.331147269231
0.48813486099243164,0.003007426392287016,91,800,3.7950778007507324,-0.11430233716964722,64719,1001.0,9886.015670983334
-0.5204800367355347,0.0011842068051919341,91,900,3.735842227935791,0.0006871521472930908,72819,1001.0,10127.018399250002
-0.1105802059173584,0.0016177687793970108,91,1000,3.690735340118408,-0.43171998858451843,80919,1001.0,10318.846169828948
0.6745495200157166,0.0014060897519811988,90,1100,3.6401774883270264,-0.028291530907154083,89019,1001.0,10469.991631642857
0.5137256681919098,0.0006699187797494233,90,1200,3.5192294120788574,-0.09134405851364136,97119,1001.0,10631.71336825
0.5517110228538513,0.0005307877436280251,90,1300,3.4955692291259766,-0.21534518897533417,105219,1001.0,10767.045062
0.5038928687572479,0.0005258165183477104,90,1400,3.429574489593506,-0.027549810707569122,113319,1001.0,11277.354487909999
0.1788262128829956,0.0008864959818311036,90,1500,3.396768093109131,-0.15947046875953674,121419,1001.0,11573.50740369
0.08383649587631226,0.0007010712870396674,90,1600,3.3168277740478516,-0.22860229015350342,129519,1001.0,11775.665703760002
-0.23626291751861572,0.0008883850532583892,90,1700,3.2491378784179688,-0.03958679363131523,137619,1001.0,11940.8941166
0.9701263941824436,0.02215142920613289,90,1800,3.2122654914855957,0.005549013614654541,145719,1001.0,12059.244224069998
0.6600979864597321,0.0033443435095250607,90,1900,3.188232421875,0.14552518725395203,153819,1001.0,12025.296403659999
0.5242122411727905,0.002241593087092042,90,2000,3.172595262527466,0.04647824168205261,161919,1001.0,12127.050820789998
0.9883624324575067,0.010186195373535156,90,2100,3.163902521133423,-0.067935511469841,170019,1001.0,12182.983950559998
0.9970893263816833,0.012045072391629219,90,2200,3.174423933029175,-0.01282934844493866,178119,1001.0,11997.618562680002
0.9531961120665073,0.01654795929789543,90,2300,3.1854300498962402,0.10132426023483276,186219,1001.0,11567.890740370001
0.940869115293026,0.0006488129729405046,90,2400,3.1966404914855957,0.04283090680837631,194319,1001.0,11353.298318789999
0.8909643068909645,0.0006792157655581832,90,2500,3.1943275928497314,0.21300697326660156,202419,1001.0,11237.679879959998
0.9459764659404755,0.000336316239554435,90,2600,3.2137718200683594,0.00529426708817482,210519,1001.0,11256.255555880001
0.9975516141857952,0.0032690123189240694,90,2700,3.2332663536071777,-0.1707894504070282,218619,1001.0,11138.167254750002
0.9947189777158201,0.009565217420458794,90,2800,3.217799663543701,0.004964340478181839,226719,1001.0,11018.731339319998
0.873225212097168,0.0011087162420153618,90,2900,3.158076524734497,0.05871245637536049,234819,1001.0,10775.488717159998
0.9895190969109535,0.007359241135418415,90,3000,3.119574785232544,0.11633019149303436,242919,1001.0,10779.71246374
0.8878899589180946,0.0004679430858232081,90,3100,3.109987497329712,-0.3295787274837494,251019,1001.0,10676.769871919998
-0.1979306936264038,0.0011992845684289932,90,3200,3.0953657627105713,-0.1076510101556778,259119,1001.0,10568.361285219999
0.9302357584238052,0.0002799408102873713,90,3300,3.074610948562622,-0.17754343152046204,267219,1001.0,10579.402225189999
