nupdates,value_loss,fps,policy_loss,policy_entropy,explained_variance,total_timesteps,ep_reward_mean,ep_len_mean
1,10.886453628540039,50,-0.06895335018634796,4.2568159103393555,-0.022473454475402832,0,,
100,0.039374854415655136,110,-0.08427499234676361,4.393482208251953,0.7350512146949768,8019,7207.5781895,1001.0
200,0.005331160966306925,108,0.023082859814167023,4.389504432678223,-0.034568190574645996,16119,8092.501230999999,1001.0
300,0.002364461775869131,107,0.13588069379329681,4.345871448516846,0.008573770523071289,24219,8676.45171705,1001.0
400,0.004408727400004864,107,0.005588553845882416,4.304881572723389,0.19030535221099854,32319,9059.705520821428,1001.0
500,0.0023356080055236816,107,-0.3021732568740845,4.263546466827393,-0.4049886465072632,40419,9517.378679861113,1001.0
600,0.002285418100655079,107,-0.27457311749458313,4.225612163543701,-0.47351300716400146,48519,9873.786228727273,1001.0
700,0.011140723712742329,106,-0.06967699527740479,4.212311744689941,0.5127037465572357,56619,10136.968954346154,1001.0
800,0.006839460227638483,106,-0.23034068942070007,4.223384857177734,0.946088545024395,64719,10166.591463166666,1001.0
900,0.0025392360985279083,106,-0.027047419920563698,4.195052623748779,0.9600480534136295,72819,10353.62640514706,1001.0
1000,0.0019621241372078657,106,-0.23199528455734253,4.1646013259887695,0.9188841804862022,80919,10548.186055592107,1001.0
1100,0.0014991925563663244,106,-0.027705825865268707,4.144772529602051,-0.06236696243286133,89019,10696.711680666669,1001.0
1200,0.0011436723871156573,106,0.0022621601819992065,4.123772621154785,0.932658240199089,97119,10825.916788456521,1001.0
1300,0.0006711911410093307,106,-0.10141526907682419,4.13633394241333,0.5179980099201202,105219,10948.679694570003,1001.0
1400,0.0014047053409740329,106,-0.19846764206886292,4.115284442901611,0.9156464487314224,113319,11314.93440056,1001.0
1500,0.0018597524613142014,106,0.19879215955734253,4.103806018829346,0.8588353246450424,121419,11550.67874006,1001.0
1600,0.0015578672755509615,106,-0.19290362298488617,4.113752841949463,0.9700317699462175,129519,11784.469942969996,1001.0
1700,0.0015628201654180884,106,0.008120737969875336,4.106246471405029,0.96732122823596,137619,11835.704403569998,1001.0
1800,0.00206838920712471,106,-0.03593806177377701,4.085964202880859,0.9457977563142776,145719,11928.240525780004,1001.0
1900,0.0008818571222946048,106,0.09025219082832336,4.074093341827393,0.8848519697785378,153819,12005.798487170001,1001.0
2000,0.0012852379586547613,106,-0.09779291599988937,4.072913646697998,0.910371907055378,161919,12219.038916020003,1001.0
2100,0.0016675948863849044,106,-0.12994661927223206,4.081506252288818,0.8148066103458405,170019,12300.94697634,1001.0
2200,0.0003916211426258087,106,0.06429765373468399,4.103127956390381,-0.3608973026275635,178119,12350.827779879999,1001.0
2300,0.0008232059190049767,106,-0.1777896136045456,4.101215839385986,0.904567264020443,186219,12392.096562400004,1001.0
2400,0.0008637459832243621,106,-0.19312500953674316,4.070909023284912,0.29685479402542114,194319,12444.67160335,1001.0
2500,0.001412062207236886,106,0.04288642480969429,4.065296649932861,0.722954124212265,202419,12468.074854850003,1001.0
2600,0.0007184959831647575,106,0.04331532493233681,4.0706377029418945,0.349170446395874,210519,12531.757353469999,1001.0
2700,0.0010894493898376822,106,-0.2550923228263855,4.117025852203369,0.7424190640449524,218619,12575.024985569997,1001.0
2800,0.0012262191157788038,106,0.09314106404781342,4.113662242889404,0.7562666088342667,226719,12615.00901266,1001.0
2900,0.0015785325085744262,106,-0.27704480290412903,4.090260028839111,0.8308107703924179,234819,12717.727411449998,1001.0
3000,0.0008834304171614349,106,-0.014831693843007088,4.036227703094482,0.886659175157547,242919,12754.430865440003,1001.0
3100,0.005782014224678278,106,-0.23693965375423431,3.9901556968688965,0.31615281105041504,251019,12780.13824779,1001.0
3200,0.0010268099140375853,106,-0.16787835955619812,3.9349770545959473,0.7251753211021423,259119,12825.111062990003,1001.0
3300,0.0005278380704112351,106,-0.12937448918819427,3.9126219749450684,0.8230982273817062,267219,12843.930416169998,1001.0
3400,0.0012149738613516092,106,0.205364391207695,3.8960938453674316,0.7731086015701294,275319,12865.213096510002,1001.0
3500,0.0005825064145028591,106,0.0954425185918808,3.858027935028076,0.24116432666778564,283419,12898.091283579999,1001.0
