fps,policy_loss,explained_variance,value_loss,nupdates,total_timesteps,policy_entropy,ep_len_mean,ep_reward_mean
72,0.49073082208633423,0.011195361614227295,8.824464797973633,1,0,9.932570457458496,,
221,-0.03937671333551407,-0.699501633644104,4.177171230316162,100,8019,9.919548034667969,1000.0,487.2710976249999
229,-0.32483652234077454,-0.37186288833618164,6.9777679443359375,200,16119,9.904853820800781,1000.0,1138.576993875
235,-0.1346236914396286,-0.06307411193847656,6.769601345062256,300,24219,9.935194969177246,1000.0,1838.60010325
236,0.1006682813167572,-0.0251467227935791,6.212934970855713,400,32319,9.926437377929688,1000.0,2424.85935996875
234,-0.2979947030544281,-0.022230029106140137,7.8768744468688965,500,40419,9.860878944396973,1000.0,3387.455002275
231,0.05197615176439285,-0.05230748653411865,9.291857719421387,600,48519,9.779253005981445,1000.0,4642.066905666667
228,0.16740083694458008,-0.11856961250305176,9.250907897949219,700,56619,9.705422401428223,1000.0,6011.352774642857
225,-0.3126535713672638,0.02010256052017212,9.061744689941406,800,64719,9.701696395874023,1000.0,7355.095280671874
222,-0.03815147280693054,-0.289750337600708,9.016919136047363,900,72819,9.689485549926758,1000.0,8742.558623111112
220,-0.1485404521226883,-0.20118260383605957,7.400568962097168,1000,80919,9.673989295959473,1000.0,9964.0169860625
219,0.19782361388206482,-0.8461083173751831,7.844599723815918,1100,89019,9.66561222076416,1000.0,11062.393243863637
217,-0.01999320089817047,-0.349695086479187,6.862500190734863,1200,97119,9.589828491210938,1000.0,12093.839565906252
216,-0.19372153282165527,-0.004033207893371582,6.671151638031006,1300,105219,9.5089111328125,1000.0,13604.04583611
215,-0.3208642601966858,0.07016003131866455,6.8993940353393555,1400,113319,9.420639038085938,1000.0,15854.02813098
215,-0.41396966576576233,0.06028425693511963,7.387321472167969,1500,121419,9.393189430236816,1000.0,18259.78311187
215,-0.23337984085083008,0.06966948509216309,7.930569648742676,1600,129519,9.319799423217773,1000.0,20700.06274043
215,0.11316944658756256,0.03786653280258179,7.276573181152344,1700,137619,9.198410987854004,1000.0,23433.292056010003
215,-0.15653809905052185,-0.006857514381408691,8.440149307250977,1800,145719,9.086469650268555,1000.0,26346.344109289996
215,0.3083590865135193,-0.01679706573486328,8.049321174621582,1900,153819,8.981905937194824,1000.0,29138.720322839996
216,-0.251967191696167,0.019450366497039795,9.091714859008789,2000,161919,8.95823860168457,1000.0,32174.769365430006
216,-0.15341205894947052,0.007441401481628418,8.767549514770508,2100,170019,8.88278865814209,1000.0,35109.11143902
216,0.053845614194869995,0.0028057098388671875,8.987441062927246,2200,178119,8.828104019165039,1000.0,38171.21115376
217,-0.10898058116436005,-0.02206587791442871,8.740682601928711,2300,186219,8.764589309692383,1000.0,41260.407460020004
217,-0.24256521463394165,0.032512545585632324,8.12049674987793,2400,194319,8.65853214263916,1000.0,44236.429338379996
217,-0.619820773601532,0.049118876457214355,8.024007797241211,2500,202419,8.552292823791504,1000.0,47574.89849288
218,-0.026116840541362762,-0.007777810096740723,7.510847568511963,2600,210519,8.418776512145996,1000.0,50691.50856509
218,-0.08600366860628128,-0.013027071952819824,8.11131477355957,2700,218619,8.300162315368652,1000.0,54033.98838913001
218,-0.06833675503730774,-0.007363796234130859,7.642463684082031,2800,226719,8.182097434997559,1000.0,57248.23649954
218,0.23591355979442596,-0.005477190017700195,8.059150695800781,2900,234819,8.015410423278809,1000.0,60808.019736379996
218,-0.20033448934555054,0.006659865379333496,8.46415901184082,3000,242919,7.9003424644470215,1000.0,64174.107369200006
219,-0.3241000771522522,0.0060274600982666016,8.34906005859375,3100,251019,7.806756019592285,1000.0,67579.05783492001
219,-0.42915967106819153,-0.0001455545425415039,8.516862869262695,3200,259119,7.7093095779418945,1000.0,70823.4790543
219,-0.17870303988456726,0.011742472648620605,8.244882583618164,3300,267219,7.633175849914551,1000.0,73969.01106263002
219,-0.009791456162929535,0.11017084121704102,8.358919143676758,3400,275319,7.524449348449707,1000.0,77118.67611304001
220,0.275016188621521,0.002414882183074951,8.257394790649414,3500,283419,7.384925842285156,1000.0,80227.96833234999
220,-0.08913171291351318,-0.019715070724487305,8.229146957397461,3600,291519,7.2579827308654785,1000.0,83919.8232452
220,-0.5206003785133362,-0.020799756050109863,8.319855690002441,3700,299619,7.122065544128418,1000.0,87725.26134576001
220,0.07312928140163422,-0.008377790451049805,8.456727981567383,3800,307719,6.979693412780762,1000.0,91483.51866381001
220,-0.3496749997138977,-0.002003908157348633,8.39760971069336,3900,315819,6.840418815612793,1000.0,95218.78776677
220,-0.36814919114112854,0.01088625192642212,8.458425521850586,4000,323919,6.695255279541016,1000.0,98885.07716132
221,-0.28357040882110596,0.0014861822128295898,8.408365249633789,4100,332019,6.593691825866699,1000.0,102406.03348053999
221,-0.3070891499519348,-0.0007636547088623047,8.40820598602295,4200,340119,6.442877769470215,1000.0,105328.14803312998
221,0.11939265578985214,0.00994884967803955,8.141500473022461,4300,348219,6.3532209396362305,1000.0,108151.47934213998
221,-0.3665255010128021,-0.009068012237548828,7.990853309631348,4400,356319,6.2018046379089355,1000.0,110818.25223186001
222,-0.23772315680980682,0.0021049976348876953,7.373826026916504,4500,364419,6.141204833984375,1000.0,112699.29636943
222,0.024209536612033844,-0.009255528450012207,7.209872245788574,4600,372519,6.044880390167236,1000.0,115073.68372835999
222,-0.02805229276418686,-0.0016486644744873047,7.1670708656311035,4700,380619,5.9737935066223145,1000.0,117149.67833295999
222,-0.5695030093193054,0.19053667783737183,7.258087158203125,4800,388719,5.8885087966918945,1000.0,118871.34521770003
222,-0.15649966895580292,0.008360981941223145,6.962206840515137,4900,396819,5.832533836364746,1000.0,120152.83434428001
222,-0.13063961267471313,0.001037299633026123,6.833975315093994,5000,404919,5.790759086608887,1000.0,121173.39143347001
222,0.5889795422554016,0.00465548038482666,6.705626010894775,5100,413019,5.714145183563232,1000.0,122021.28309772002
223,0.14947165548801422,-0.01085197925567627,6.526092529296875,5200,421119,5.682464122772217,1000.0,122526.07241233999
223,0.04085434228181839,-0.002002239227294922,6.436855316162109,5300,429219,5.7159223556518555,1000.0,122937.96193878
223,0.3069133162498474,0.002586543560028076,6.353589057922363,5400,437319,5.684540271759033,1000.0,123108.52668076001
223,-0.29368406534194946,-0.01920032501220703,6.237608432769775,5500,445419,5.703528881072998,1000.0,123489.76476548001
223,-0.32107844948768616,-0.001021265983581543,6.161444187164307,5600,453519,5.6779680252075195,1000.0,123604.77712068998
223,-0.11864916980266571,-0.010289549827575684,5.810876369476318,5700,461619,5.712482929229736,1000.0,122632.196345
223,0.024954352527856827,-0.005887866020202637,5.771355628967285,5800,469719,5.776382923126221,1000.0,123196.14899245997
223,0.10001543164253235,-0.00307309627532959,5.75881814956665,5900,477819,5.797206401824951,1000.0,123224.04276152
224,-0.2888413369655609,0.0011392831802368164,5.738356113433838,6000,485919,5.797482013702393,1000.0,122881.67186325001
224,0.03933214768767357,0.005995452404022217,5.812635898590088,6100,494019,5.749693393707275,1000.0,122870.13186344
224,0.028149347752332687,-0.04289400577545166,5.757025241851807,6200,502119,5.720816135406494,1000.0,122920.23327589
