fps,total_timesteps,value_loss,nupdates,policy_entropy,explained_variance,policy_loss,ep_len_mean,ep_reward_mean
63,0,1.1704673767089844,1,9.932570457458496,-0.351110577583313,-0.27097856998443604,,
219,8019,0.24543742835521698,100,9.9326171875,-8.718451499938965,0.06212354451417923,1000.0,450.17077
223,16119,0.6910476684570312,200,9.93264102935791,-2.917088031768799,-0.10394220799207687,1000.0,435.72468712499995
223,24219,38.585060119628906,300,9.932676315307617,-0.0019829273223876953,0.5766971111297607,1000.0,445.32655233333327
223,32319,0.3445727229118347,400,9.932690620422363,-3.055495262145996,-0.27811071276664734,1000.0,438.75377878124993
223,40419,0.38944363594055176,500,9.932757377624512,-2.073906183242798,0.15926474332809448,1000.0,447.96225905
223,48519,0.23263606429100037,600,9.932787895202637,-3.7233500480651855,-0.06585812568664551,1000.0,443.6765723333333
224,56619,0.3849729895591736,700,9.932790756225586,-3.4332752227783203,-0.30315494537353516,1000.0,441.3185939821429
223,64719,0.6064944267272949,800,9.93280029296875,-1.6033082008361816,-0.16160359978675842,1000.0,443.32580976562497
224,72819,0.30817800760269165,900,9.932846069335938,-5.279764652252197,-0.19811074435710907,1000.0,441.82624975
223,80919,0.4163513779640198,1000,9.932877540588379,-2.9614784717559814,-0.22412848472595215,1000.0,445.59415064999996
223,89019,0.789047360420227,1100,9.93289852142334,-1.8472795486450195,-0.06726005673408508,1000.0,446.4761328522727
224,97119,0.3080166280269623,1200,9.932906150817871,-1.5405983924865723,-0.4653123617172241,1000.0,444.48507915625004
224,105219,0.9325257539749146,1300,9.932929039001465,-1.1271545886993408,-0.44150158762931824,1000.0,444.95176873
224,113319,0.20907802879810333,1400,9.93293571472168,-15.314676284790039,-0.42629849910736084,1000.0,447.17001340999997
224,121419,0.528865396976471,1500,9.932962417602539,-1.004340410232544,0.03959929943084717,1000.0,451.77795221
224,129519,0.2655591368675232,1600,9.932951927185059,-19.284330368041992,0.18002961575984955,1000.0,449.08298706
224,137619,0.2587532699108124,1700,9.932995796203613,-117.82576751708984,-0.045879513025283813,1000.0,447.5294721700001
224,145719,0.4488086700439453,1800,9.933037757873535,-2.275052309036255,0.21264031529426575,1000.0,453.01868969
225,153819,0.33906716108322144,1900,9.933098793029785,-5.095242500305176,-0.5883385539054871,1000.0,451.08306373000005
225,161919,0.4503140449523926,2000,9.933152198791504,-2.8822755813598633,0.21260812878608704,1000.0,454.88937488999994
225,170019,0.23699107766151428,2100,9.93317985534668,-26.13520050048828,-0.20048096776008606,1000.0,453.43477585
225,178119,0.25166159868240356,2200,9.933218955993652,-24.553245544433594,-0.19534249603748322,1000.0,447.8793132599999
225,186219,0.7532359957695007,2300,9.933228492736816,-1.904686689376831,-0.32181766629219055,1000.0,447.53503125999987
225,194319,0.26161980628967285,2400,9.93330192565918,-15.400554656982422,0.14029844105243683,1000.0,447.95020105
225,202419,0.8267820477485657,2500,9.933335304260254,-1.2380409240722656,-0.4269026517868042,1000.0,452.03661136000005
225,210519,0.2194121778011322,2600,9.933342933654785,-5.610096454620361,-0.024628281593322754,1000.0,447.1267760899999
225,218619,0.3085464537143707,2700,9.933380126953125,-6.481398582458496,-0.3117530047893524,1000.0,451.62022041000006
225,226719,0.298366904258728,2800,9.933418273925781,-2.898258924484253,-0.007002867758274078,1000.0,449.99902534000006
225,234819,0.2834988236427307,2900,9.933472633361816,-4.8693037033081055,0.021544866263866425,1000.0,454.02919291000006
225,242919,0.2015981674194336,3000,9.933477401733398,-31.182762145996094,0.11915240436792374,1000.0,451.75362182000003
225,251019,0.2909378111362457,3100,9.933526039123535,-11.161896705627441,0.21147364377975464,1000.0,452.78396343000003
225,259119,0.4111784100532532,3200,9.933555603027344,-1.2667768001556396,-0.35561373829841614,1000.0,454.28597473999986
225,267219,0.4047933518886566,3300,9.933594703674316,-1.3716990947723389,-0.08072040975093842,1000.0,450.52277761000005
225,275319,2.1257665157318115,3400,9.9336519241333,-0.48979806900024414,-0.12703117728233337,1000.0,451.9533197
225,283419,0.5075318217277527,3500,9.933706283569336,-1.3655872344970703,-0.07790027558803558,1000.0,454.4049157099999
225,291519,0.28104761242866516,3600,9.933737754821777,-6.9685845375061035,-0.17767322063446045,1000.0,457.48014643000005
226,299619,0.5558915138244629,3700,9.93373966217041,-1.5539500713348389,-0.2650560140609741,1000.0,459.96625338999996
226,307719,0.21825960278511047,3800,9.933747291564941,-28.079341888427734,-0.06983765959739685,1000.0,463.39367543000003
226,315819,0.23456767201423645,3900,9.933792114257812,-1.8997583389282227,-0.12145420163869858,1000.0,457.4613669
226,323919,0.43260422348976135,4000,9.933836936950684,-2.681105852127075,-0.2632882595062256,1000.0,456.48999631
226,332019,0.2593875527381897,4100,9.933837890625,-4.212246894836426,-0.19743087887763977,1000.0,461.42782131
226,340119,0.441905677318573,4200,9.933846473693848,-3.2643165588378906,0.13511329889297485,1000.0,457.30130329
226,348219,0.2465881109237671,4300,9.93389892578125,-51.563846588134766,-0.035166382789611816,1000.0,457.90951313
226,356319,0.19356700778007507,4400,9.93392276763916,-16.631162643432617,-0.07694225013256073,1000.0,454.3518846200001
226,364419,0.32739174365997314,4500,9.933966636657715,-2.175684690475464,-0.2948003113269806,1000.0,456.21197041000005
226,372519,0.252347469329834,4600,9.934000015258789,-14.971781730651855,-0.08355490118265152,1000.0,459.3709799999999
226,380619,0.2387721985578537,4700,9.934050559997559,-7.194882392883301,-0.06565941870212555,1000.0,456.51664256
226,388719,0.23326823115348816,4800,9.934112548828125,-11.996979713439941,-0.2509315609931946,1000.0,456.88278424000003
226,396819,0.40873733162879944,4900,9.934098243713379,-1.5639686584472656,-0.12280356884002686,1000.0,453.41471347999993
226,404919,0.21462082862854004,5000,9.934115409851074,-3.447469711303711,-0.024606943130493164,1000.0,449.62862538
226,413019,1.7224467992782593,5100,9.934182167053223,-0.6073923110961914,-0.2711714804172516,1000.0,448.84039666000007
226,421119,0.21842670440673828,5200,9.934226036071777,-21.739643096923828,-0.19287724792957306,1000.0,447.4153812100001
226,429219,0.3201095461845398,5300,9.934258460998535,-3.2150983810424805,-0.6764388680458069,1000.0,444.50863258000004
226,437319,0.2269260436296463,5400,9.934292793273926,-4.789702892303467,-0.39415687322616577,1000.0,439.95280864999995
226,445419,0.20646722614765167,5500,9.934341430664062,-6.419511795043945,-0.3198491334915161,1000.0,441.42022548
226,453519,0.35575568675994873,5600,9.934401512145996,-2.735053300857544,-0.2565366327762604,1000.0,438.58807143999996
226,461619,0.2767208218574524,5700,9.934446334838867,-17.9466609954834,0.19057467579841614,1000.0,438.9090915699999
226,469719,0.23577089607715607,5800,9.934466361999512,-7.236084938049316,-0.011393144726753235,1000.0,439.79805966
