eplenmean,ent_coef_loss,mean 100 episode reward,current_lr,policy_loss,qf1_loss,ep_rewmean,fps,qf2_loss,value_loss,episodes,n_updates,total timesteps,entropy,ent_coef,time_elapsed
1001.0,-4.1576686,37.2,0.0003,-15.096493,1.8427993,673.0040453333332,58,1.7994008,0.14529087,4,2903,3003,4.0116215,0.419417,51
1001.0,-8.131025,24.4,0.0003,-20.690739,0.06459137,1165.8696754285713,59,0.036405258,0.057632655,8,6907,7007,4.12693,0.13179544,118
1001.0,-4.686597,17.6,0.0003,-22.01554,0.10552488,1106.4493124545454,59,0.11319268,0.07808356,12,10911,11011,3.3823638,0.047660217,186
1001.0,-5.4954844,15.0,0.0003,-20.849182,0.066121235,1153.3467785333335,59,0.11118554,0.025428597,16,14915,15015,3.0492039,0.02283355,253
1001.0,-1.8277432,14.3,0.0003,-20.359001,0.0548499,1342.4912765789475,59,0.07000839,0.020133454,20,18919,19019,2.2795682,0.021805901,321
1001.0,0.7943781,13.5,0.0003,-18.55589,0.041761927,1430.0118683478263,59,0.030683871,0.01809878,24,22923,23023,2.043611,0.018388696,388
1001.0,0.3445862,11.9,0.0003,-16.649437,0.03474272,1294.7932769259262,59,0.02626846,0.015093567,28,26927,27027,1.9054644,0.016139189,456
1001.0,-0.6401899,10.7,0.0003,-15.873522,0.032305337,1189.647983806452,59,0.028472226,0.018814052,32,30931,31031,1.2480445,0.011316397,522
1001.0,2.0961561,10.1,0.0003,-15.832592,0.03473731,1149.0940989142855,59,0.042356342,0.04569356,36,34935,35035,1.3519015,0.013824631,591
1001.0,0.6865864,10.0,0.0003,-15.471718,0.02925682,1204.3146823333332,59,0.030422788,0.016929569,40,38939,39039,1.1337676,0.010860204,661
1001.0,-1.8347548,9.3,0.0003,-13.914316,0.012267658,1131.0657049534884,59,0.016335372,0.0129114175,44,42943,43043,1.07308,0.008823012,728
1001.0,2.136754,11.1,0.0003,-12.407159,0.015898634,1548.306218595745,59,0.014203994,0.0055233208,48,46947,47047,0.74766225,0.0071436516,794
1001.0,-1.165343,11.4,0.0003,-12.865053,0.008808494,1710.113860137255,59,0.010732859,0.010219735,52,50951,51051,1.106877,0.007347435,862
