fps,explained_variance,policy_entropy,total_timesteps,value_loss,nupdates,ep_reward_mean,ep_len_mean
80,0.15454918146133423,12.77044677734375,65,3.8246994018554688,1,,
160,-9.833203315734863,12.770524024963379,6500,0.4212477505207062,100,206.89913184615386,500.0
164,-0.14200496673583984,12.774465560913086,13000,0.6124308705329895,200,207.87339242307692,500.0
165,0.12699532508850098,12.781060218811035,19500,0.7259301543235779,300,199.4261840769231,500.0
166,-0.8895511627197266,12.787151336669922,26000,1.8929117918014526,400,216.30103471153842,500.0
166,-5.28184175491333,12.795119285583496,32500,2.6245574951171875,500,222.18567010769235,500.0
166,-2.871399164199829,12.824677467346191,39000,6.464362144470215,600,213.75157315384618,500.0
166,-2.990675449371338,12.833662033081055,45500,14.810420036315918,700,195.41179453846152,500.0
167,-1.861952304840088,12.835832595825195,52000,26.364885330200195,800,176.10808501999998,500.0
167,-1.0067687034606934,12.890050888061523,58500,34.89686965942383,900,182.10129832999996,500.0
167,0.028406500816345215,12.911468505859375,65000,90.38835144042969,1000,190.28577366000002,500.0
167,0.027675271034240723,12.906953811645508,71500,222.4053955078125,1100,201.47441005000002,500.0
167,-0.8509396314620972,12.926687240600586,78000,121.84281921386719,1200,183.17467051,500.0
167,-0.07838916778564453,12.96607780456543,84500,209.07994079589844,1300,165.63071511,500.0
167,0.009646117687225342,12.944129943847656,91000,358.7687072753906,1400,190.58952873000007,500.0
167,0.1609366536140442,12.943869590759277,97500,417.4520263671875,1500,214.24063123999997,500.0
167,0.012861907482147217,13.009645462036133,104000,565.5867309570312,1600,218.87328076000003,500.0
167,-0.7162525653839111,13.038919448852539,110500,523.444091796875,1700,225.13241879000006,500.0
167,-3.1728906631469727,13.05745792388916,117000,457.5899658203125,1800,208.79160565,500.0
167,-7.703009605407715,13.070463180541992,123500,449.6324157714844,1900,206.51025304000004,500.0
167,0.23910999298095703,13.09217643737793,130000,919.365966796875,2000,218.41836483000003,500.0
167,0.0013045072555541992,13.133848190307617,136500,1137.4105224609375,2100,217.63478163999997,500.0
