value_loss,total_timesteps,explained_variance,nupdates,fps,policy_loss,policy_entropy,ep_reward_mean,ep_len_mean
7.103539943695068,0,-0.03340280055999756,1,56,0.16661211848258972,4.2568159103393555,,
0.007774936500936747,8019,0.6004084944725037,100,121,-0.42294880747795105,3.7684130668640137,6975.4287085000005,1001.0
0.007014374248683453,16119,0.9162051156163216,200,117,-0.0812988430261612,3.771909236907959,8311.373446416666,1001.0
0.01446155272424221,24219,0.7924346774816513,300,117,-0.20682303607463837,3.7571864128112793,8974.7106861,1001.0
0.015607285313308239,32319,0.9647840484976768,400,116,-0.11670523881912231,3.7662711143493652,9126.707655785714,1001.0
0.007755792234092951,40419,0.9699730556458235,500,115,-0.22441545128822327,3.742008686065674,9164.997157333335,1001.0
0.004484896082431078,48519,0.9499962292611599,600,115,-0.1041121706366539,3.730029582977295,9532.396398318182,1001.0
0.0474822111427784,56619,0.6618016064167023,700,114,-0.004669688642024994,3.6977992057800293,9899.19189169231,1001.0
0.004417748656123877,64719,0.7513194233179092,800,114,0.1327807754278183,3.7133898735046387,9968.17901386667,1001.0
0.0057996422983706,72819,0.9532331041991711,900,114,-0.38148143887519836,3.7700085639953613,9822.737050882353,1001.0
0.0069938600063323975,80919,0.9245726838707924,1000,115,-0.02215409092605114,3.7615559101104736,9967.94496651316,1001.0
0.0011643593898043036,89019,0.9843470938503742,1100,115,0.15185494720935822,3.727722644805908,10203.980593714286,1001.0
0.0016326910117641091,97119,0.9554981850087643,1200,115,-0.08642825484275818,3.722377300262451,10360.298011358695,1001.0
0.0035213518422096968,105219,0.9398156628012657,1300,115,0.040049780160188675,3.7257132530212402,10468.30310872,1001.0
0.024631431326270103,113319,-0.21984732151031494,1400,115,-0.24307651817798615,3.76493501663208,10766.55169362,1001.0
0.004881399217993021,121419,0.6187539398670197,1500,115,-0.07157304883003235,3.7530579566955566,10841.09891466,1001.0
0.008329680189490318,129519,0.04143005609512329,1600,115,-0.2174280881881714,3.7462680339813232,10840.752481540003,1001.0
0.005228050518780947,137619,0.7187848091125488,1700,115,0.08534795045852661,3.7473788261413574,11135.590193380001,1001.0
0.001165841706097126,145719,0.8476618528366089,1800,115,-0.09801394492387772,3.711547374725342,11190.350530610001,1001.0
0.034489262849092484,153819,0.6772769689559937,1900,114,0.1664920449256897,3.720162868499756,11108.917008749999,1001.0
