value_loss,nupdates,policy_entropy,total_timesteps,fps,explained_variance,ep_len_mean,ep_reward_mean
12.6140775680542,1,9.93256950378418,35,100,-0.11544179916381836,,
299.18365478515625,100,9.93165397644043,3500,367,0.014210700988769531,,
14.23212718963623,200,9.931468963623047,7000,286,-0.017120003700256348,1000.0,671.9986974285714
0.19780652225017548,300,9.936150550842285,10500,316,-0.08056974411010742,1000.0,671.9986974285714
7.586635112762451,400,9.941892623901367,14000,295,-0.1685338020324707,1000.0,508.37401150000005
0.10590500384569168,500,9.955610275268555,17500,313,0.32452392578125,1000.0,508.37401150000005
100.42388153076172,600,9.969182968139648,21000,302,-0.010446667671203613,1000.0,395.6372854285715
40.64102554321289,700,9.950265884399414,24500,313,0.04625976085662842,1000.0,395.6372854285715
33.56980514526367,800,9.915632247924805,28000,301,0.11404776573181152,1000.0,442.9227045357143
107.91786193847656,900,9.890572547912598,31500,309,0.0018425583839416504,1000.0,442.9227045357143
178.6260986328125,1000,9.868668556213379,35000,301,-0.04768204689025879,1000.0,662.5284226857142
0.2549077570438385,1100,9.886144638061523,38500,308,0.1919461488723755,1000.0,662.5284226857142
306.8379211425781,1200,9.8936185836792,42000,301,0.0012967586517333984,1000.0,702.6953767142857
55.59035873413086,1300,9.896306991577148,45500,307,0.09377658367156982,1000.0,702.6953767142857
459.2322998046875,1400,9.881903648376465,49000,303,0.007898211479187012,1000.0,839.495368510204
249.76043701171875,1500,9.858711242675781,52500,307,0.0036493539810180664,1000.0,839.495368510204
873.7869262695312,1600,9.834673881530762,56000,301,0.0009087920188903809,1000.0,1085.8626637678572
9.705473899841309,1700,9.822186470031738,59500,305,0.002444624900817871,1000.0,1085.8626637678572
1176.1826171875,1800,9.84530258178711,63000,301,0.02828967571258545,1000.0,1107.1315863809525
169.17791748046875,1900,9.803153991699219,66500,305,0.00040155649185180664,1000.0,1107.1315863809525
1321.6527099609375,2000,9.804758071899414,70000,301,0.0016819238662719727,1000.0,1241.0866821999996
240.68113708496094,2100,9.7498197555542,73500,303,0.0006777644157409668,1000.0,1241.0866821999996
1875.5189208984375,2200,9.695451736450195,77000,300,3.2186508178710938e-06,1000.0,1453.2560111558441
582.3023681640625,2300,9.661139488220215,80500,302,0.0012630820274353027,1000.0,1453.2560111558441
