time_elapsed,total_timesteps,explained_variance,policy_loss,fps,clipfrac,serial_timesteps,approxkl,value_loss,policy_entropy,n_updates,ep_reward_mean,ep_len_mean
173.02701091766357,48384,-0.029806017875671387,-0.007057513,327,0.045479912,6912,0.0037754439,0.019505616,9.894637,54,1603.5979292142856,1000.0
175.75937724113464,49280,-0.03792417049407959,-0.0053579737,112,0.03627232,7040,0.0031980232,0.30123,9.892663,55,1932.9202341632654,1000.0
183.69609904289246,50176,0.04445868730545044,-0.00529686,315,0.021484375,7168,0.0022849143,0.027571412,9.889406,56,1932.9202341632654,1000.0
186.53949093818665,51072,0.00587153434753418,-0.0028329664,328,0.003627232,7296,0.0014154022,0.026615275,9.8867235,57,1932.9202341632654,1000.0
189.26494574546814,51968,0.009932160377502441,-0.008119409,356,0.0733817,7424,0.005185162,0.025428165,9.886818,58,1932.9202341632654,1000.0
191.78093934059143,52864,0.023110687732696533,-0.0023638308,356,0.0066964286,7552,0.0015391873,0.06654432,9.889427,59,1932.9202341632654,1000.0
194.29534316062927,53760,-0.008503437042236328,-0.002673008,297,0.013950894,7680,0.0021557023,0.026516218,9.893111,60,1932.9202341632654,1000.0
197.30631256103516,54656,0.031266987323760986,-0.008900705,318,0.054687504,7808,0.0044082915,0.03500477,9.899954,61,1932.9202341632654,1000.0
200.12250900268555,55552,0.03353166580200195,-0.0037857625,322,0.02483259,7936,0.002793873,0.13890104,9.905788,62,1932.9202341632654,1000.0
202.90144181251526,56448,-0.007992863655090332,-0.007256665,115,0.043805804,8064,0.0037130734,0.33874154,9.909318,63,2290.2713527857145,1000.0
210.639995098114,57344,0.06997787952423096,-0.0040760934,311,0.041015625,8192,0.0035271836,0.015298028,9.91112,64,2290.2713527857145,1000.0
213.51639556884766,58240,-0.02226579189300537,-0.0059523624,284,0.06696428,8320,0.004664186,0.021642057,9.912416,65,2290.2713527857145,1000.0
216.67014169692993,59136,0.062223970890045166,-0.0077143773,311,0.06612723,8448,0.004834662,0.022766957,9.910233,66,2290.2713527857145,1000.0
